Number,Theme,Subtheme,Year,RRP (USD),Value new (USD)
5120-1,Service Packs,Technic,1993,5.5,9.57
5235-1,Service Packs,Technic,1993,4.5,7.35
5267-1,Service Packs,Technic,1993,4.0,2.35
5276-1,Service Packs,Technic,1993,4.5,21.42
5277-1,Service Packs,Technic,1993,4.0,8.4
5280-1,Service Packs,Technic,1993,3.25,2.24
5521-1,Model Team,,1993,36.5,299.29
5581-1,Model Team,,1993,79.0,540.0
6020-1,Castle,Dragon Knights,1993,4.5,112.5
6043-1,Castle,Dragon Knights,1993,12.0,78.76
6048-1,Castle,Dragon Knights,1993,26.0,229.85
6056-1,Castle,Dragon Knights,1993,20.0,139.3
6076-1,Castle,Dragon Knights,1993,43.0,420.0
6082-1,Castle,Dragon Knights,1993,64.0,756.06
6105-1,Castle,Accessories,1993,6.75,165.59
6237-1,Pirates,,1993,3.0,101.84
6252-1,Pirates,Accessories,1993,7.25,75.0
6266-1,Pirates,Imperial Guards,1993,17.5,235.85
6268-1,Pirates,,1993,39.75,630.63
6286-1,Pirates,,1993,126.5,1932.09
6319-1,Town,Accessories,1993,4.5,26.24
6342-1,Town,Coastguard,1993,17.5,93.49
6344-1,Town,Police,1993,21.0,107.03
6345-1,Town,Flight,1993,34.0,177.3
6398-1,Town,Police,1993,73.0,450.0
6403-1,Town,Paradisa,1993,13.25,119.75
6409-1,Town,Paradisa,1993,21.0,138.13
6513-1,Town,Boats,1993,3.25,28.43
6536-1,Town,Flight,1993,4.5,26.8
6539-1,Town,Racing,1993,42.0,146.02
6552-1,Town,Leisure,1993,29.75,187.96
6663-1,Town,Vehicles,1993,7.25,30.37
6664-1,Town,Police,1993,7.25,45.0
6667-1,Town,Maintenance,1993,9.25,75.14
6670-1,Town,Vehicles,1993,9.25,36.67
6813-1,Space,Space Police 2,1993,3.0,72.5
6814-1,Space,Ice Planet 2002,1993,3.0,61.41
6834-1,Space,Ice Planet 2002,1993,4.0,119.94
6852-1,Space,Space Police 2,1993,6.0,51.04
6879-1,Space,Ice Planet 2002,1993,8.0,93.02
6898-1,Space,Ice Planet 2002,1993,15.0,103.62
6973-1,Space,Ice Planet 2002,1993,45.0,974.61
6983-1,Space,Ice Planet 2002,1993,60.0,641.9
8022-1,Technic,Universal,1993,15.5,29.9
8042-1,Technic,Universal,1993,38.5,129.88
8082-1,Technic,Universal,1993,99.0,188.37
8714-1,Technic,Supplementary,1993,9.0,90.0
8818-1,Technic,,1993,13.25,38.04
8824-1,Technic,,1993,25.5,45.0
8872-1,Technic,,1993,82.0,413.45
9365-1,Dacta,,1993,69.0,449.0
9610-1,Dacta,Technic,1993,12.5,26.0
9612-1,Dacta,Technic,1993,15.0,36.95
9614-1,Dacta,Technic,1993,15.0,10.0
1782-1,Town,Divers,1997,50.0,200.0
1783-1,Primo,,1997,1.0,3.99
