Number,Theme,Subtheme,Year,RRP (USD),Value new (USD)
41775-5,Unikitty,Blind Bags Series 1,2018,3.99,3.1
41775-6,Unikitty,Blind Bags Series 1,2018,3.99,2.14
41775-7,Unikitty,Blind Bags Series 1,2018,3.99,2.55
41775-8,Unikitty,Blind Bags Series 1,2018,3.99,2.12
41775-9,Unikitty,Blind Bags Series 1,2018,3.99,2.49
41775-10,Unikitty,Blind Bags Series 1,2018,3.99,2.57
41775-11,Unikitty,Blind Bags Series 1,2018,3.99,3.17
41775-12,Unikitty,Blind Bags Series 1,2018,3.99,2.14
42071-1,Technic,,2018,19.99,23.98
42072-1,Technic,,2018,19.99,21.61
42073-1,Technic,,2018,19.99,26.21
42074-1,Technic,,2018,39.99,47.14
42075-1,Technic,,2018,49.99,55.45
42076-1,Technic,,2018,89.99,74.02
42077-1,Technic,,2018,109.99,101.2
42078-1,Technic,,2018,179.99,243.73
42079-1,Technic,,2018,69.99,80.99
42080-1,Technic,,2018,149.99,142.74
42081-1,Technic,,2018,139.99,117.36
42082-1,Technic,,2018,299.99,262.99
42083-1,Technic,,2018,349.99,319.38
42084-1,Technic,,2018,14.99,10.95
45025-1,Education,Duplo,2018,219.95,204.78
60170-1,City,Mountain Police,2018,6.99,8.84
60171-1,City,Mountain Police,2018,9.99,9.63
60172-1,City,Mountain Police,2018,39.99,36.33
60173-1,City,Mountain Police,2018,59.99,56.31
60174-1,City,Mountain Police,2018,89.99,115.53
60175-1,City,Mountain Police,2018,49.99,52.0
60176-1,City,Mountain Police,2018,19.99,15.66
60177-1,City,Great Vehicles,2018,9.99,12.48
60178-1,City,Great Vehicles,2018,9.99,11.17
60179-1,City,Medical,2018,19.99,26.35
60180-1,City,Great Vehicles,2018,19.99,22.65
60181-1,City,Great Vehicles,2018,19.99,28.01
60182-1,City,Great Vehicles,2018,29.99,47.23
60183-1,City,Great Vehicles,2018,29.99,35.8
60184-1,City,Mining,2018,9.99,12.39
60185-1,City,Mining,2018,19.99,18.82
60186-1,City,Mining,2018,49.99,56.77
60188-1,City,Mining,2018,99.99,117.05
60190-1,City,Arctic,2018,6.99,9.26
60191-1,City,Arctic,2018,9.99,9.86
60192-1,City,Arctic,2018,24.99,26.02
60193-1,City,Arctic,2018,39.99,46.44
60194-1,City,Arctic,2018,59.99,67.43
60195-1,City,Arctic,2018,119.99,108.09
60196-1,City,Arctic,2018,79.99,89.97
60197-1,City,Trains,2018,159.99,112.41
60198-1,City,Trains,2018,229.99,167.66
60200-1,City,Town,2018,149.99,195.26
60201-1,City,Seasonal,2018,29.99,22.43
60202-1,City,Town,2018,39.99,51.96
60204-1,City,Medical,2018,99.99,161.82
60205-1,City,Trains,2018,19.99,17.43
60238-1,City,Trains,2018,15.99,17.46
70633-1,Ninjago,Spinjitzu Masters,2018,9.99,19.74
70634-1,Ninjago,Spinjitzu Masters,2018,9.99,12.89
70635-1,Ninjago,Spinjitzu Masters,2018,9.99,20.0
70636-1,Ninjago,Spinjitzu Masters,2018,9.99,7.6
70637-1,Ninjago,Spinjitzu Masters,2018,9.99,9.72
70638-1,Ninjago,Sons of Garmadon,2018,19.99,30.81
70639-1,Ninjago,Sons of Garmadon,2018,29.99,60.28
70640-1,Ninjago,Sons of Garmadon,2018,39.99,56.28
70641-1,Ninjago,Sons of Garmadon,2018,39.99,63.61
70642-1,Ninjago,Sons of Garmadon,2018,49.99,109.34
70643-1,Ninjago,Sons of Garmadon,2018,69.99,166.25
70644-1,Ninjago,Dragon Masters,2018,14.99,16.24
70645-1,Ninjago,Dragon Masters,2018,14.99,14.31
70646-1,Ninjago,Dragon Masters,2018,14.99,12.6
70647-1,Ninjago,Dragon Masters,2018,14.99,13.97
70648-1,Ninjago,Dragon Masters,2018,14.99,13.81
70650-1,Ninjago,Hunted,2018,19.99,25.77
70651-1,Ninjago,Hunted,2018,19.99,38.73
70652-1,Ninjago,Hunted,2018,39.99,84.89
70653-1,Ninjago,Hunted,2018,69.99,104.22
70654-1,Ninjago,Hunted,2018,109.99,143.05
70655-1,Ninjago,Hunted,2018,129.99,151.82
70657-1,The LEGO Ninjago Movie,,2018,229.99,514.39
70658-1,Ninjago,Hunted,2018,49.99,124.86
70918-1,The LEGO Batman Movie,,2018,19.99,25.17
70919-1,The LEGO Batman Movie,,2018,29.99,33.19
70920-1,The LEGO Batman Movie,,2018,29.99,32.07
70921-1,The LEGO Batman Movie,,2018,49.99,54.37
70923-1,The LEGO Batman Movie,,2018,79.99,121.59
71020-1,Collectable Minifigures,The LEGO Batman Movie Series 2,2018,3.99,4.49
71020-2,Collectable Minifigures,The LEGO Batman Movie Series 2,2018,3.99,4.7
71020-3,Collectable Minifigures,The LEGO Batman Movie Series 2,2018,3.99,4.88
71020-4,Collectable Minifigures,The LEGO Batman Movie Series 2,2018,3.99,5.43
71020-5,Collectable Minifigures,The LEGO Batman Movie Series 2,2018,3.99,5.41
71020-6,Collectable Minifigures,The LEGO Batman Movie Series 2,2018,3.99,7.9
71020-7,Collectable Minifigures,The LEGO Batman Movie Series 2,2018,3.99,9.04
71020-8,Collectable Minifigures,The LEGO Batman Movie Series 2,2018,3.99,5.19
71020-9,Collectable Minifigures,The LEGO Batman Movie Series 2,2018,3.99,4.07
71020-10,Collectable Minifigures,The LEGO Batman Movie Series 2,2018,3.99,3.96
71020-11,Collectable Minifigures,The LEGO Batman Movie Series 2,2018,3.99,4.28
71020-12,Collectable Minifigures,The LEGO Batman Movie Series 2,2018,3.99,3.99
71020-13,Collectable Minifigures,The LEGO Batman Movie Series 2,2018,3.99,4.33
71020-14,Collectable Minifigures,The LEGO Batman Movie Series 2,2018,3.99,3.51
71020-15,Collectable Minifigures,The LEGO Batman Movie Series 2,2018,3.99,4.83
71020-16,Collectable Minifigures,The LEGO Batman Movie Series 2,2018,3.99,4.98
71020-17,Collectable Minifigures,The LEGO Batman Movie Series 2,2018,3.99,4.16
71020-18,Collectable Minifigures,The LEGO Batman Movie Series 2,2018,3.99,5.94
71020-19,Collectable Minifigures,The LEGO Batman Movie Series 2,2018,3.99,4.29
71020-20,Collectable Minifigures,The LEGO Batman Movie Series 2,2018,3.99,5.85
71021-1,Collectable Minifigures,Series 18,2018,3.99,8.0
71021-2,Collectable Minifigures,Series 18,2018,3.99,4.67
71021-3,Collectable Minifigures,Series 18,2018,3.99,4.6
71021-4,Collectable Minifigures,Series 18,2018,3.99,8.85
71021-5,Collectable Minifigures,Series 18,2018,3.99,4.17
71021-6,Collectable Minifigures,Series 18,2018,3.99,6.89
71021-7,Collectable Minifigures,Series 18,2018,3.99,7.93
71021-8,Collectable Minifigures,Series 18,2018,3.99,20.32
71021-9,Collectable Minifigures,Series 18,2018,3.99,4.1
71021-10,Collectable Minifigures,Series 18,2018,3.99,4.59
71021-11,Collectable Minifigures,Series 18,2018,3.99,7.63
71021-12,Collectable Minifigures,Series 18,2018,3.99,5.54
71021-13,Collectable Minifigures,Series 18,2018,3.99,4.63
71021-14,Collectable Minifigures,Series 18,2018,3.99,4.82
71021-15,Collectable Minifigures,Series 18,2018,3.99,4.21
71021-16,Collectable Minifigures,Series 18,2018,3.99,5.53
71021-17,Collectable Minifigures,Series 18,2018,3.99,5.82
71022-1,Collectable Minifigures,Harry Potter,2018,3.99,8.69
71022-2,Collectable Minifigures,Harry Potter,2018,3.99,8.26
71022-3,Collectable Minifigures,Harry Potter,2018,3.99,5.77
71022-4,Collectable Minifigures,Harry Potter,2018,3.99,4.8
71022-5,Collectable Minifigures,Harry Potter,2018,3.99,20.95
71022-6,Collectable Minifigures,Harry Potter,2018,3.99,4.88
71022-7,Collectable Minifigures,Harry Potter,2018,3.99,4.96
71022-8,Collectable Minifigures,Harry Potter,2018,3.99,4.56
71022-9,Collectable Minifigures,Harry Potter,2018,3.99,10.48
71022-10,Collectable Minifigures,Harry Potter,2018,3.99,15.07
71022-11,Collectable Minifigures,Harry Potter,2018,3.99,16.99
71022-12,Collectable Minifigures,Harry Potter,2018,3.99,4.66
71022-13,Collectable Minifigures,Harry Potter,2018,3.99,5.02
71022-14,Collectable Minifigures,Harry Potter,2018,3.99,14.57
71022-15,Collectable Minifigures,Harry Potter,2018,3.99,13.44
71022-16,Collectable Minifigures,Harry Potter,2018,3.99,11.13
71022-17,Collectable Minifigures,Harry Potter,2018,3.99,5.85
71022-18,Collectable Minifigures,Harry Potter,2018,3.99,3.65
71022-19,Collectable Minifigures,Harry Potter,2018,3.99,4.56
71022-20,Collectable Minifigures,Harry Potter,2018,3.99,3.36
71022-21,Collectable Minifigures,Harry Potter,2018,3.99,4.77
71022-22,Collectable Minifigures,Harry Potter,2018,3.99,22.55
71043-1,Harry Potter,General,2018,399.99,389.1
72001-1,Nexo Knights,Season 5,2018,19.99,28.89
72002-1,Nexo Knights,Season 5,2018,19.99,35.65
72003-1,Nexo Knights,Season 5,2018,29.99,59.59
72004-1,Nexo Knights,Season 5,2018,39.99,86.91
72005-1,Nexo Knights,Season 5,2018,49.99,58.27
72006-1,Nexo Knights,Season 5,2018,59.99,99.0
75181-1,Star Wars,Ultimate Collector Series,2018,199.99,367.2
75193-1,Star Wars,MicroFighters,2018,9.99,15.17
75194-1,Star Wars,Microfighters,2018,9.99,13.73
75195-1,Star Wars,MicroFighters,2018,19.99,18.59
75196-1,Star Wars,MicroFighters,2018,19.99,20.45
75197-1,Star Wars,The Last Jedi,2018,14.99,19.58
75198-1,Star Wars,Episode IV,2018,14.99,20.44
75199-1,Star Wars,The Clone Wars,2018,29.99,43.32
75200-1,Star Wars,The Last Jedi,2018,29.99,34.43
75201-1,Star Wars,The Last Jedi,2018,39.99,58.13
75202-1,Star Wars,The Last Jedi,2018,84.99,71.32
75203-1,Star Wars,Episode V,2018,29.99,39.7
75204-1,Star Wars,Legends,2018,29.99,45.61
75205-1,Star Wars,Episode IV,2018,39.99,55.9
75206-1,Star Wars,Episode II,2018,14.99,29.01
75207-1,Star Wars,Solo,2018,14.99,21.26
75208-1,Star Wars,Episode V,2018,29.99,42.34
75209-1,Star Wars,Solo,2018,29.99,29.71
75210-1,Star Wars,Solo,2018,39.99,38.57
75211-1,Star Wars,Solo,2018,69.99,112.38
75212-1,Star Wars,Solo,2018,169.99,178.37
75213-1,Star Wars,Seasonal,2018,39.99,34.62
75214-1,Star Wars,The Clone Wars,2018,19.99,32.93
75215-1,Star Wars,Solo,2018,29.99,32.33
75216-1,Star Wars,The Last Jedi,2018,69.99,69.13
75217-1,Star Wars,Solo,2018,89.99,92.76
75218-1,Star Wars,Episode IV,2018,79.99,117.29
75219-1,Star Wars,Solo,2018,99.99,98.03
75220-1,Star Wars,Episode IV,2018,139.99,150.62
75221-1,Star Wars,Episode IV,2018,89.99,126.72
75222-1,Star Wars,Master Builder Series,2018,349.99,508.93
75230-1,Star Wars,The Last Jedi,2018,69.99,89.85
75533-1,Star Wars,Buildable Figures,2018,29.99,72.1
75534-1,Star Wars,Buildable Figures,2018,39.99,53.96
75535-1,Star Wars,Buildable Figures,2018,24.99,21.27
75536-1,Star Wars,Buildable Figures,2018,24.99,54.52
75537-1,Star Wars,Buildable Figures,2018,29.99,39.95
75884-1,Speed Champions,Ford,2018,14.99,26.23
75885-1,Speed Champions,Ford,2018,14.99,27.14
75886-1,Speed Champions,Ferrari,2018,14.99,29.28
75887-1,Speed Champions,Porsche,2018,14.99,37.36
75888-1,Speed Champions,Porsche,2018,29.99,57.76
75889-1,Speed Champions,Ferrari,2018,99.99,138.94
75926-1,Jurassic World,Fallen Kingdom,2018,19.99,30.18
75927-1,Jurassic World,Fallen Kingdom,2018,29.99,50.11
75928-1,Jurassic World,Fallen Kingdom,2018,39.99,78.41
75929-1,Jurassic World,Fallen Kingdom,2018,79.99,101.15
75930-1,Jurassic World,Fallen Kingdom,2018,129.99,190.76
75931-1,Jurassic World,Fallen Kingdom,2018,39.99,65.63
75932-1,Jurassic World,Jurassic Park,2018,39.99,55.0
75933-1,Jurassic World,Fallen Kingdom,2018,69.99,129.48
75950-1,Harry Potter,Chamber of Secrets,2018,14.99,25.49
75951-1,Harry Potter,Fantastic Beasts,2018,19.99,24.63
75952-1,Harry Potter,Fantastic Beasts,2018,49.99,65.41
75953-1,Harry Potter,Chamber of Secrets,2018,69.99,64.83
75954-1,Harry Potter,Philosopher's Stone,2018,99.99,105.68
75955-1,Harry Potter,Prisoner of Azkaban,2018,79.99,84.8
75956-1,Harry Potter,Philosopher's Stone,2018,39.99,58.05
75987-1,Overwatch,Promotional,2018,25.0,34.21
76089-1,Marvel Super Heroes,Mighty Micros,2018,9.99,11.5
76090-1,Marvel Super Heroes,Mighty Micros,2018,9.99,12.75
76091-1,Marvel Super Heroes,Mighty Micros,2018,9.99,14.09
76092-1,DC Comics Super Heroes,Mighty Micros,2018,9.99,14.75
76093-1,DC Comics Super Heroes,Mighty Micros,2018,9.99,11.74
76094-1,DC Comics Super Heroes,Mighty Micros,2018,9.99,10.2
76095-1,DC Comics Super Heroes,DC Extended Universe,2018,29.99,54.04
76096-1,DC Comics Super Heroes,Justice League,2018,19.99,26.15
76097-1,DC Comics Super Heroes,Justice League,2018,39.99,47.11
76098-1,DC Comics Super Heroes,Justice League,2018,29.99,81.17
76099-1,Marvel Super Heroes,Black Panther,2018,19.99,35.5
76100-1,Marvel Super Heroes,Black Panther,2018,29.99,49.2
76101-1,Marvel Super Heroes,Avengers: Infinity War,2018,14.99,17.09
76102-1,Marvel Super Heroes,Avengers: Infinity War,2018,19.99,38.58
76103-1,Marvel Super Heroes,Avengers: Infinity War,2018,39.99,85.01
76104-1,Marvel Super Heroes,Avengers: Infinity War,2018,29.99,41.11
76105-1,Marvel Super Heroes,Avengers: Age of Ultron,2018,119.99,160.29
76107-1,Marvel Super Heroes,Avengers: Infinity War,2018,69.99,77.8
76108-1,Marvel Super Heroes,Avengers: Infinity War,2018,99.99,189.04
76109-1,Marvel Super Heroes,Ant-Man and the Wasp,2018,19.99,32.91
76110-1,DC Comics Super Heroes,Batman,2018,19.99,28.39
76111-1,DC Comics Super Heroes,Batman,2018,29.99,28.65
76112-1,DC Comics Super Heroes,Batman,2018,99.99,96.96
88005-1,Powered Up,,2018,9.99,13.69
853744-1,DC Comics Super Heroes,DC Extended Universe,2018,12.99,16.97
853758-1,Ninjago,Sons of Garmadon,2018,8.99,11.4
853759-1,Ninjago,Sons of Garmadon,2018,8.99,15.21
853760-1,Gear,Miscellaneous,2018,14.99,8.97
853774-1,Friends,Miscellaneous,2018,8.99,11.33
853775-1,Friends,Miscellaneous,2018,8.99,11.33
853776-1,Friends,Miscellaneous,2018,8.99,11.33
853777-1,Friends,Miscellaneous,2018,8.99,11.33
853778-1,Friends,Miscellaneous,2018,8.99,11.33
853796-1,Seasonal,Christmas,2018,7.99,11.23
853815-1,Seasonal,Christmas,2018,7.99,13.06
5005236-1,Friends,Miscellaneous,2018,6.99,4.45
5005249-1,Seasonal,Easter,2018,5.99,4.87
10264-1,Creator Expert,Modular Buildings Collection,2019,199.99,217.92
10265-1,Creator Expert,Vehicles,2019,149.99,119.75
10266-1,Creator Expert,Space,2019,99.99,94.25
10267-1,Creator Expert,Winter Village,2019,99.99,119.05
10269-1,Creator Expert,Vehicles,2019,99.99,91.57
10766-1,Toy Story,Toy Story 4,2019,9.99,10.3
10767-1,Toy Story,Toy Story 4,2019,19.99,18.37
10768-1,Toy Story,Toy Story 4,2019,24.99,21.89
10769-1,Toy Story,Toy Story 4,2019,34.99,29.3
10770-1,Toy Story,Toy Story 4,2019,49.99,34.0
10771-1,Toy Story,Toy Story 4,2019,19.99,19.93
10883-1,Duplo,,2019,9.99,8.52
10884-1,Duplo,,2019,14.99,11.59
10885-1,Duplo,,2019,19.99,18.91
10886-1,Duplo,,2019,19.99,16.01
10887-1,Duplo,,2019,39.99,30.02
10889-1,Duplo,Mickey,2019,49.99,60.03
10893-1,Duplo,Marvel Super Hero Adventures,2019,19.99,15.08
10894-1,Duplo,Toy Story,2019,19.99,17.7
10895-1,Duplo,The LEGO Movie 2,2019,29.99,22.64
10897-1,Duplo,Minnie,2019,9.99,10.75
10898-1,Duplo,Mickey,2019,9.99,5.14
10899-1,Duplo,Frozen,2019,49.99,44.79
10900-1,Duplo,,2019,9.99,9.25
10901-1,Duplo,,2019,19.99,14.3
10902-1,Duplo,,2019,29.99,25.04
10903-1,Duplo,,2019,49.99,44.39
10904-1,Duplo,,2019,9.99,10.38
10906-1,Duplo,,2019,59.99,60.01
10907-1,Duplo,,2019,99.99,93.68
10908-1,Duplo,,2019,9.99,7.92
10910-1,Duplo,,2019,19.99,17.94
11001-1,Classic,,2019,9.99,6.97
11002-1,Classic,,2019,19.99,21.4
11003-1,Classic,,2019,29.99,28.55
11004-1,Classic,,2019,29.99,39.35
11005-1,Classic,,2019,39.99,35.0
21043-1,Architecture,Skylines,2019,49.99,56.42
21044-1,Architecture,Skylines,2019,49.99,48.75
21045-1,Architecture,Landmark Series,2019,79.99,74.93
21046-1,Architecture,Landmark Series,2019,129.99,95.63
21148-1,Minecraft,Bigfigs,2019,14.99,28.2
21149-1,Minecraft,Bigfigs,2019,14.99,23.69
21150-1,Minecraft,Bigfigs,2019,14.99,24.87
21151-1,Minecraft,Minifig-scale,2019,19.99,21.38
21152-1,Minecraft,Minifig-scale,2019,39.99,39.74
21153-1,Minecraft,Minifig-scale,2019,19.99,19.42
21154-1,Minecraft,Minifig-scale,2019,29.99,32.67
21155-1,Minecraft,Minifig-scale,2019,79.99,80.88
21316-1,Ideas,Licensed,2019,59.99,78.82
21317-1,Ideas,Licensed,2019,89.99,115.52
21318-1,Ideas,,2019,199.99,194.28
21319-1,Ideas,Licensed,2019,59.99,65.06
21320-1,Ideas,,2019,59.99,70.47
30362-1,City,Sky Police,2019,3.99,4.15
30365-1,City,Space,2019,3.99,4.21
30410-1,Friends,,2019,3.99,3.1
30460-1,The LEGO Movie 2,,2019,3.99,4.34
30553-1,Disney,Frozen II,2019,3.99,4.39
30571-1,Creator,Promotional,2019,3.99,4.31
30624-1,Star Wars,Episode IV,2019,3.99,9.61
31086-1,Creator,3 in 1,2019,14.99,14.9
31087-1,Creator,3 in 1,2019,12.99,12.05
31088-1,Creator,3 in 1,2019,14.99,11.66
31089-1,Creator,3 in 1,2019,19.99,14.91
31090-1,Creator,3 in 1,2019,19.99,18.14
31091-1,Creator,3 in 1,2019,24.99,25.51
31092-1,Creator,3 in 1,2019,9.99,9.29
31093-1,Creator,3 in 1,2019,39.99,28.09
31094-1,Creator,3 in 1,2019,29.99,26.16
31095-1,Creator,3 in 1,2019,49.99,49.6
31096-1,Creator,3 in 1,2019,59.99,47.98
31097-1,Creator,3 in 1,2019,79.99,74.38
31098-1,Creator,3 in 1,2019,29.99,28.83
40186-1,Seasonal,Chinese Traditional Festivals,2019,9.99,17.66
40334-1,Marvel Super Heroes,The Avengers,2019,19.99,33.28
40336-1,Hidden Side,Promotional,2019,12.99,18.45
40341-1,Xtra,,2019,3.99,6.17
40342-1,Ninjago,Secrets of the Forbidden Spinjitzu,2019,12.99,14.84
40343-1,Marvel Super Heroes,Spider-Man: Far From Home,2019,14.99,21.17
40344-1,Collectable Minifigures,Combi-pack,2019,12.99,13.46
40345-1,City,Space,2019,12.99,16.24
40348-1,BrickHeadz,Seasonal,2019,9.99,13.88
40349-1,BrickHeadz,Seasonal,2019,9.99,16.52
40350-1,BrickHeadz,Seasonal,2019,9.99,11.33
40351-1,BrickHeadz,Seasonal,2019,9.99,18.82
40352-1,BrickHeadz,Seasonal,2019,9.99,16.36
40353-1,BrickHeadz,Seasonal,2019,19.99,20.2
40354-1,BrickHeadz,Seasonal,2019,9.99,15.37
40367-1,BrickHeadz,Miscellaneous,2019,9.99,12.36
40368-1,Xtra,,2019,3.99,6.9
41158-1,Disney,Aladdin,2019,9.99,9.33
41159-1,Disney,Cinderella,2019,19.99,20.49
41160-1,Disney,The Little Mermaid,2019,24.99,28.24
41161-1,Disney,Aladdin,2019,29.99,42.98
41162-1,Disney,Disney Princess,2019,39.99,72.81
41163-1,Disney,Tangled,2019,9.99,10.11
41164-1,Disney,Frozen II,2019,49.99,39.74
41165-1,Disney,Frozen II,2019,19.99,15.51
41166-1,Disney,Frozen II,2019,29.99,21.72
41167-1,Disney,Frozen II,2019,79.99,59.61
41168-1,Disney,Frozen II,2019,39.99,32.37
41169-1,Disney,Frozen II,2019,14.99,11.69
41337-1,Friends,Amusement Park,2019,29.99,23.2
41354-1,Friends,Heart Box,2019,7.99,16.85
41355-1,Friends,Heart Box,2019,7.99,4.71
41356-1,Friends,Heart Box,2019,7.99,14.98
41357-1,Friends,Heart Box,2019,7.99,11.13
41358-1,Friends,Heart Box,2019,7.99,7.19
41359-1,Friends,Heart Box,2019,19.99,20.03
41360-1,Friends,,2019,9.99,8.43
41361-1,Friends,,2019,19.99,18.23
41362-1,Friends,,2019,29.99,26.15
41363-1,Friends,,2019,14.99,10.81
41364-1,Friends,,2019,19.99,17.07
41365-1,Friends,,2019,24.99,29.76
41366-1,Friends,,2019,29.99,25.55
41367-1,Friends,,2019,39.99,37.28
41368-1,Friends,,2019,49.99,44.16
41369-1,Friends,,2019,69.99,73.38
41371-1,Friends,,2019,29.99,27.61
41372-1,Friends,,2019,29.99,37.61
41373-1,Friends,Amusement Park,2019,39.99,34.68
41374-1,Friends,,2019,49.99,52.09
41375-1,Friends,Amusement Park,2019,129.99,112.74
41376-1,Friends,,2019,19.99,20.11
41378-1,Friends,,2019,39.99,35.58
41379-1,Friends,,2019,59.99,47.81
41380-1,Friends,,2019,59.99,59.17
41381-1,Friends,,2019,89.99,93.08
41382-1,Friends,Seasonal,2019,29.99,22.47
41383-1,Friends,,2019,9.99,11.84
41384-1,Friends,Heart Box,2019,7.99,7.97
41385-1,Friends,Heart Box,2019,7.99,6.08
41386-1,Friends,Heart Box,2019,7.99,5.79
41387-1,Friends,Heart Box,2019,7.99,7.97
41388-1,Friends,Heart Box,2019,7.99,8.06
41634-1,BrickHeadz,The LEGO Movie 2,2019,14.99,81.98
41635-1,BrickHeadz,The LEGO Movie 2,2019,14.99,57.0
41636-1,BrickHeadz,The LEGO Movie 2,2019,9.99,78.33
41637-1,BrickHeadz,The LEGO Movie 2,2019,9.99,71.85
42088-1,Technic,,2019,9.99,11.94
42089-1,Technic,,2019,14.99,25.65
42090-1,Technic,,2019,19.99,22.09
42091-1,Technic,,2019,19.99,19.17
42092-1,Technic,,2019,39.99,28.42
42093-1,Technic,,2019,49.99,44.11
42094-1,Technic,,2019,79.99,79.5
42095-1,Technic,,2019,99.99,74.17
42096-1,Technic,,2019,149.99,125.64
42097-1,Technic,,2019,99.99,99.68
42098-1,Technic,,2019,179.99,164.54
42099-1,Technic,,2019,249.99,197.21
42100-1,Technic,,2019,449.99,374.56
42110-1,Technic,,2019,199.99,144.23
43172-1,Disney,Frozen,2019,79.99,65.85
60203-1,City,Town,2019,89.99,75.09
60206-1,City,Sky Police,2019,9.99,9.96
60207-1,City,Sky Police,2019,29.99,19.24
60208-1,City,Sky Police,2019,39.99,22.21
60209-1,City,Sky Police,2019,59.99,52.95
60210-1,City,Sky Police,2019,89.99,63.33
60212-1,City,Fire,2019,9.99,8.14
60213-1,City,Fire,2019,19.99,12.93
60214-1,City,Fire,2019,39.99,27.97
60215-1,City,Fire,2019,69.99,55.92
60216-1,City,Fire,2019,99.99,89.68
60217-1,City,Fire,2019,59.99,43.8
60218-1,City,Great Vehicles,2019,9.99,11.24
60219-1,City,Construction,2019,9.99,9.73
60220-1,City,Great Vehicles,2019,19.99,18.22
60221-1,City,Great Vehicles,2019,19.99,17.11
60222-1,City,Great Vehicles,2019,19.99,21.69
60223-1,City,Great Vehicles,2019,29.99,39.5
60224-1,City,Space,2019,9.99,11.05
60225-1,City,Space,2019,29.99,25.14
60226-1,City,Space,2019,39.99,27.47
60227-1,City,Space,2019,59.99,56.71
60228-1,City,Space,2019,99.99,88.29
60229-1,City,Space,2019,149.99,144.89
60230-1,City,Space,2019,39.99,37.26
60231-1,City,Fire,2019,29.99,21.47
60232-1,City,Town,2019,49.99,31.51
60233-1,City,Town,2019,89.99,82.37
60234-1,City,Town,2019,39.99,32.87
60235-1,City,Seasonal,2019,29.99,23.88
60236-1,City,Town,2019,14.99,13.94
60237-1,City,Town,2019,14.99,11.36
60239-1,City,Sky Police,2019,9.99,8.96
60240-1,City,Great Vehicles,2019,9.99,13.87
70418-1,Hidden Side,,2019,19.99,17.02
70419-1,Hidden Side,,2019,29.99,27.85
70420-1,Hidden Side,,2019,29.99,26.39
70421-1,Hidden Side,,2019,39.99,32.57
70422-1,Hidden Side,,2019,49.99,44.7
70423-1,Hidden Side,,2019,59.99,52.81
70424-1,Hidden Side,,2019,79.99,79.53
70425-1,Hidden Side,,2019,129.99,126.1
70659-1,Ninjago,Spinjitzu,2019,9.99,12.76
70660-1,Ninjago,Spinjitzu,2019,9.99,11.29
70661-1,Ninjago,Spinjitzu,2019,9.99,11.33
70662-1,Ninjago,Spinjitzu,2019,9.99,10.11
70663-1,Ninjago,Spinjitzu,2019,19.99,21.99
70664-1,Ninjago,Spinjitzu,2019,19.99,22.02
70665-1,Ninjago,Legacy,2019,14.99,16.89
70666-1,Ninjago,Legacy,2019,19.99,26.44
70667-1,Ninjago,Legacy,2019,29.99,41.38
70668-1,Ninjago,Legacy,2019,39.99,61.54
70669-1,Ninjago,Legacy,2019,49.99,82.9
70670-1,Ninjago,Legacy,2019,79.99,113.53
70671-1,Ninjago,Secrets of the Forbidden Spinjitzu,2019,14.99,16.62
70672-1,Ninjago,Secrets of the Forbidden Spinjitzu,2019,19.99,25.03
70673-1,Ninjago,Secrets of the Forbidden Spinjitzu,2019,29.99,33.25
70674-1,Ninjago,Secrets of the Forbidden Spinjitzu,2019,39.99,51.86
70675-1,Ninjago,Secrets of the Forbidden Spinjitzu,2019,49.99,52.95
70676-1,Ninjago,Secrets of the Forbidden Spinjitzu,2019,79.99,99.49
70677-1,Ninjago,Secrets of the Forbidden Spinjitzu,2019,129.99,153.05
70678-1,Ninjago,Secrets of the Forbidden Spinjitzu,2019,99.99,132.2
70679-1,Ninjago,Legacy,2019,84.99,128.08
70680-1,Ninjago,Legacy,2019,9.99,11.37
70681-1,Ninjago,Spinjitzu Slam,2019,9.99,10.59
70682-1,Ninjago,Spinjitzu Slam,2019,9.99,10.7
70683-1,Ninjago,Spinjitzu Slam,2019,9.99,11.25
70684-1,Ninjago,Spinjitzu Slam,2019,19.99,19.67
70820-1,The LEGO Movie 2,Miscellaneous,2019,49.99,27.02
70821-1,The LEGO Movie 2,,2019,19.99,17.97
70822-1,The LEGO Movie 2,,2019,9.99,6.56
70823-1,The LEGO Movie 2,,2019,14.99,11.81
70824-1,The LEGO Movie 2,,2019,19.99,11.04
70825-1,The LEGO Movie 2,,2019,39.99,19.91
70826-1,The LEGO Movie 2,,2019,29.99,27.98
70827-1,The LEGO Movie 2,,2019,29.99,23.41
70828-1,The LEGO Movie 2,,2019,79.99,46.68
70829-1,The LEGO Movie 2,,2019,49.99,40.19
70830-1,The LEGO Movie 2,,2019,69.99,42.41
70831-1,The LEGO Movie 2,,2019,69.99,53.79
70832-1,The LEGO Movie 2,,2019,29.99,17.8
70833-1,The LEGO Movie 2,,2019,29.99,18.49
70834-1,The LEGO Movie 2,,2019,59.99,53.78
70835-1,The LEGO Movie 2,,2019,119.99,89.84
70836-1,The LEGO Movie 2,,2019,19.99,14.4
70837-1,The LEGO Movie 2,,2019,69.99,35.48
70838-1,The LEGO Movie 2,,2019,99.99,63.85
70839-1,The LEGO Movie 2,,2019,149.99,176.73
70840-1,The LEGO Movie 2,,2019,299.99,547.62
70841-1,The LEGO Movie 2,,2019,9.99,13.01
70842-1,The LEGO Movie 2,,2019,29.99,31.69
