Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"10255-1","Creator Expert","Modular Buildings Collection",2017,"Assembly Square",9,4002,229.99,279.99,339.99,259.99,5702015865272,,58.2,48,17,,"",1,1,0,,0,1,,,,,,,,,238.9500,224.0700,"01/01/2017","31/12/2023"
"10256-1","Creator Expert","Buildings",2017,"Taj Mahal",,5923,299.99,369.99,449.99,321.67,5702016173536,,58.5,49,19,,"",0,0,0,,0,0,,,,,,,,,410.1200,303.9600,"01/12/2017","31/12/2020"
"10257-1","Creator Expert","Fairground",2017,"Carousel",7,2670,159.99,199.99,249.99,179.99,5702015865289,,57.8,47.5,8.5,,"",0,0,0,,0,0,,,,,,,,,361.8700,261.6500,"01/06/2017","31/12/2019"
"10258-1","Creator Expert","Vehicles",2017,"London Bus",,1686,109.99,139.99,179.99,119.99,5702015865296,,47.5,37.4,10.7,,"",0,0,0,,0,0,,,,,,,,,112.7800,95.7400,"01/08/2017","31/12/2021"
"10259-1","Creator Expert","Winter Village",2017,"Winter Village Station",5,902,74.99,79.99,99.99,69.99,5702015865302,,47.8,28.1,7.3,,"",0,0,0,,0,0,,,,,,,,,177.6000,145.3900,"01/10/2017","31/12/2018"
"10703-1","Classic","",2017,"Creative Builder Box",,502,19.99,,,24.99,5702015868860,673419267366,26.2,22.2,14.3,,"",0,0,0,,0,0,,,,,,,,,40.0500,22.8900,"01/01/2017","31/12/2018"
"10704-1","Classic","",2017,"Creative Box",,900,29.99,,,34.99,5702015869379,673419267373,26,38,14,,"",0,0,0,,0,0,,,,,,,,,36.3000,15.0000,"01/01/2017","31/12/2018"
"10706-1","Classic","",2017,"Blue Creative Box",,78,4.99,4.99,6.99,4.99,,673419267380,12.192,9.0932,7.7978,0.113398,"",0,0,0,,0,0,,,,,,,,,5.7500,4.0000,"01/01/2017","31/12/2018"
"10707-1","Classic","",2017,"Red Creative Box",,55,4.99,4.99,6.99,4.99,,673419267397,12.192,9.0932,7.7978,0.0907184,"",0,0,0,,0,0,,,,,,,,,6.7700,4.0000,"01/01/2017","31/12/2018"
"10708-1","Classic","",2017,"Green Creative Box",,66,4.99,4.99,6.99,4.99,,673419267403,12.192,9.0932,7.7978,0.09525432,"",0,0,0,,0,0,,,,,,,,,4.9200,3.5800,"01/01/2017","31/12/2018"
"10709-1","Classic","",2017,"Orange Creative Box",,60,4.99,4.99,6.99,4.99,,673419267410,12.192,9.0932,7.7978,0.0907184,"",0,0,0,,0,0,,,,,,,,,6.0500,2.0400,"01/01/2017","31/12/2018"
"10730-1","Juniors","Cars 3",2017,"Lightning McQueen Speed Launcher",1,47,7.99,9.99,12.99,9.99,,673419264136,15.6972,14.097,4.4958,0.1224698,"",0,0,0,,0,0,,,,,,,,,15.7600,5.8500,"01/06/2017","31/12/2018"
"10731-1","Juniors","Cars 3",2017,"Cruz Ramirez Race Simulator",1,59,7.99,9.99,12.99,9.99,,673419266703,15.6972,14.097,4.4958,0.1270058,"",0,0,0,,0,0,,,,,,,,,14.5800,8.2700,"01/06/2017","31/12/2018"
"10732-1","Juniors","Cars 3",2017,"Guido and Luigi's Pit Stop",2,75,7.99,9.99,12.99,9.99,,673419266710,15.6972,14.097,4.4958,0.1270058,"",0,0,0,,0,0,,,,,,,,,16.2000,9.0000,"01/06/2017","31/07/2018"
"10733-1","Juniors","Cars 3",2017,"Mater's Junkyard",1,62,7.99,9.99,12.99,9.99,,673419266727,15.6972,14.097,4.4958,0.1270058,"",0,0,0,,0,0,,,,,,,,,20.2400,14.9800,"01/06/2017","31/07/2018"
"10734-1","Juniors","City",2017,"Demolition Site",3,175,24.99,29.99,39.99,29.99,5702015868334,673419266734,35.4076,19.1008,7.0104,0.5579181,"",0,0,0,,0,0,,,,,,,,,39.9900,20.0000,"",""
"10735-1","Juniors","City",2017,"Police Truck Chase",2,90,14.99,19.99,24.99,19.99,5702015868341,673419266741,26.2128,19.1008,4.5974,0.285763,"",0,0,0,,0,0,,,,,,,,,23.7000,13.1000,"",""
"10736-1","Juniors","Disney Princess",2017,"Anna and Elsa's Frozen Playground",2,94,19.99,24.99,29.99,24.99,,673419266758,26.2128,19.1008,6.096,0.3311222,"",0,0,0,,0,0,,,,,,,,,41.3200,40.2000,"01/01/2017","31/12/2018"
"10737-1","Juniors","DC Comics Super Heroes",2017,"Batman vs. Mr. Freeze",2,63,12.99,14.99,17.99,14.99,,673419266765,19.1008,14.097,6.096,0.172365,"",0,0,0,,0,0,,,,,,,,,18.4900,6.7500,"01/01/2017","31/12/2018"
"10738-1","Juniors","Disney Princess",2017,"Snow White's Forest Cottage",1,67,12.99,14.99,17.99,14.99,,673419266772,19.1008,14.097,4.5974,0.1542213,"",0,0,0,,0,0,,,,,,,,,24.8000,22.5000,"01/08/2017","31/07/2018"
"10739-1","Juniors","Ninjago",2017,"Shark Attack",3,108,15.99,19.99,24.99,19.99,,673419266789,20.4978,19.1008,4.5974,0.2177242,"",0,0,0,,0,0,,,,,,,,,21.2800,9.6800,"01/08/2017","31/12/2018"
"10740-1","Juniors","City",2017,"Fire Patrol Suitcase",2,110,17.99,19.99,24.99,19.99,5702015868792,673419266796,28.4988,26.2128,6.4008,0.7620345,"",0,0,0,,0,0,,,,,,,,,20.0000,11.6800,"",""
"10742-1","Juniors","Cars 3",2017,"Willy's Butte Speed Training",2,95,15.99,19.99,24.99,19.99,,673419266802,20.4978,19.1008,6.096,0.2540115,"",0,0,0,,0,0,,,,,,,,,20.6400,18.0000,"01/06/2017","31/07/2018"
"10743-1","Juniors","Cars 3",2017,"Smokey's Garage",3,116,19.99,19.99,29.99,24.99,,673419266819,26.2128,19.1008,4.5974,0.3356581,"",0,0,0,,0,0,,,,,,,,,56.4200,32.4500,"01/06/2017","31/12/2018"
"10744-1","Juniors","Cars 3",2017,"Thunder Hollow Crazy 8 Race",4,191,29.99,34.99,44.99,39.99,,673419266826,28.194,26.2128,5.8928,0.4808075,"",0,0,0,,0,0,,,,,,,,,58.9900,39.3000,"01/06/2017","31/12/2018"
"10745-1","Juniors","Cars 3",2017,"Florida 500 Final Race",5,266,44.99,49.99,64.99,49.99,,673419266833,38.2016,26.2128,7.0612,0.7076035,"",0,0,0,,0,0,,,,,,,,,76.0000,42.9700,"01/08/2017","31/12/2018"
