Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"624-1","Basic","Supplementaries",1996,"Basic Motor, 9V",,27,,26,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,32.4400,19.3400,"",""
"626-1","Basic","Supplementaries",1996,"Building Plate, Green",,1,7.49,4.99,7.99,,5702014906260,,25.5,25.5,0.35,0.12,"",0,0,0,,0,0,,,,,,,,,7.2500,9.4500,"",""
"627-1","Basic","Supplementaries",1996,"Building Plate, Blue",,1,,5.5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,11.9900,10.0000,"",""
"628-1","Basic","Supplementaries",1996,"X-Large Baseplate Grey",,1,10.49,14.99,19.99,,5702010906284,,,,,0.25,"",0,0,0,,0,0,,,,,,,,,15.1600,15.0000,"",""
"629-1","Basic","Supplementaries",1996,"Three Building Plates",,3,,5.5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"630-1","Basic","Supplementaries",1996,"Brick Separator, Green",,1,1.99,2.49,2.99,,673419182195,,,,,,"",0,0,0,,0,0,,,,,,,,,1.2500,0.8400,"",""
"631-1","Basic","Supplementaries",1996,"Doors and Windows",,52,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,17.8300,6.5600,"",""
"632-1","Basic","Supplementaries",1996,"Wheels and Tyres",,60,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,15.2200,6.9500,"",""
"633-1","Basic","Supplementaries",1996,"Roof Tiles",,50,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,14.8200,9.9300,"",""
"634-1","Basic","Supplementaries",1996,"Extra Bricks in Red",,62,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,12.0900,6.5900,"",""
"635-1","Basic","Supplementaries",1996,"Extra Bricks in White",,62,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,8.5900,,"",""
