Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"10270-1","Creator Expert","Modular Buildings Collection",2020,"Bookshop",5,2504,159.99,179.99,199.99,179.99,5702016667974,,57.8,37.3,10.2,2.946,"",1,1,0,,0,1,,,,,,,,,156.9300,154.3600,"01/01/2020","31/12/2022"
"10271-1","Creator Expert","Vehicles",2020,"Fiat 500",,960,69.99,89.99,129.99,79.99,5702016667981,,47.8,28,7,1.107,"",0,0,0,,0,0,,,,,,,,,77.4300,50.0000,"01/03/2020","31/12/2022"
"10272-1","Creator Expert","Buildings",2020,"Old Trafford - Manchester United",,3898,244.99,299.99,349.99,279.99,5702016667998,,58.2,48,17,,"",0,0,0,,0,0,,,,,,,,,243.7800,200.4900,"01/02/2020","31/12/2022"
"10273-1","Creator Expert","Fairground",2020,"Haunted House",10,3231,219.99,249.99,299.99,249.99,5702016668001,,48,58.2,12.4,,"",0,0,0,,0,0,,,,,,,,,214.3800,200.5400,"01/06/2020","31/12/2023"
"10274-1","Creator Expert","Vehicles",2020,"Ghostbusters ECTO-1",,2352,174.99,199.99,259.99,199.99,5702016668018,,58.2,37.8,11.8,,"",0,0,0,,0,0,,,,,,,,,171.2000,143.2000,"15/11/2020","31/12/2023"
"10275-1","Creator Expert","Winter Village",2020,"Elf Club House",4,1197,79.99,99.99,139.99,89.99,5702016668025,,47.6,28,7.2,1.324,"",0,0,0,,0,0,,,,,,,,,97.7000,94.1700,"01/10/2020","31/12/2022"
"10276-1","Creator Expert","Buildings",2020,"Colosseum",,9036,439.99,549.99,649.99,499.99,5702016668032,,53.5,48.4,28.4,,"",0,0,0,,0,0,,,,,,,,,566.1000,431.4100,"27/11/2020","31/12/2023"
"10277-1","Creator Expert","Trains",2020,"Crocodile Locomotive",2,1271,89.99,99.99,149.99,99.99,5702016757460,,53.6,27.8,8.7,1.54,"",0,0,0,,0,0,,,,,,,,,119.3500,107.2100,"01/07/2020","31/12/2021"
"10909-1","Duplo","",2020,"Heart Box",,80,17.99,19.99,24.99,19.99,5702016617733,673419318808,28.2,26.2,11.8,0.94,"",0,0,0,,0,0,,,,,,,,,18.8800,,"",""
"10913-1","Duplo","",2020,"Brick Box",2,65,24.99,29.99,39.99,29.99,5702016617740,673419318815,37,18,18,1.01,"",0,0,0,,0,0,,,,,,,,,22.5800,,"01/01/2020","31/12/2023"
"10914-1","Duplo","",2020,"Deluxe Brick Box",2,85,44.99,49.99,69.99,49.99,5702016617757,673419318822,37,26.2,18,1.42,"",0,0,0,,0,0,,,,,,,,,48.3400,,"01/01/2020","31/12/2023"
"10915-1","Duplo","",2020,"Alphabet Truck",2,36,24.99,24.99,34.99,29.99,5702016617764,673419318839,38.2,26.2,9.4,0.85,"",0,0,0,,0,0,,,,,,,,,26.1600,,"",""
"10917-1","Duplo","",2020,"Fire Truck",,6,4.99,6.99,9.99,4.86,5702016618075,673419318846,12.6,20.5,6.7,0.149,"",0,0,0,,0,0,,,,,,,,,5.0300,3.9500,"01/01/2020","31/12/2020"
"10918-1","Duplo","",2020,"Tow Truck",,7,4.99,6.99,9.99,4.99,5702016618082,673419318853,12.7,20.2,6.9,0.15,"",0,0,0,,0,0,,,,,,,,,4.6900,,"01/01/2020","31/12/2020"
"10919-1","Duplo","",2020,"Batcave",3,33,29.99,29.99,39.99,34.99,5702016618099,673419318860,35.4,19.1,7,0.5,"",0,0,0,,0,0,,,,,,,,,26.1900,,"01/06/2020","31/12/2021"
"10920-1","Duplo","",2020,"Elsa and Olaf's Tea Party",2,17,17.99,19.99,29.99,19.99,5702016618105,673419318877,26.2,19.1,6.1,0.24,"",0,0,0,,0,0,,,,,,,,,23.3200,,"01/01/2020","31/12/2022"
"10921-1","Duplo","Marvel Super Hero Adventures",2020,"Super Heroes Lab",3,30,24.99,29.99,39.99,29.99,5702016618112,673419318884,35.4,19.1,7,0.47,"",0,0,0,,0,0,,,,,,,,,24.8000,,"01/01/2020","31/12/2021"
"10922-1","Duplo","Disney Princess",2020,"Ariel's Undersea Castle",1,35,24.99,29.99,39.99,29.99,5702016618129,673419318891,28.2,26.2,9.6,0.58,"",0,0,0,,0,0,,,,,,,,,22.2100,29.9500,"01/06/2020","31/12/2021"
"10924-1","Duplo","Cars",2020,"Lightning McQueen's Race Day",2,42,24.99,29.99,39.99,29.99,5702016618136,673419318907,38.2,26.2,7.1,0.69,"",0,0,0,,0,0,,,,,,,,,29.2300,,"01/06/2020","31/12/2021"
"10925-1","Duplo","",2020,"Playroom",2,17,12.99,14.99,19.99,14.99,5702016618143,673419318914,16.2,20.6,8,0.4,"",0,0,0,,0,0,,,,,,,,,10.9200,,"01/01/2020","31/12/2021"
"10926-1","Duplo","",2020,"Bedroom",2,16,12.99,14.99,19.99,14.99,5702016618150,673419318921,16.2,20.6,8,0.38,"",0,0,0,,0,0,,,,,,,,,10.6900,,"01/01/2020","31/12/2021"
"10927-1","Duplo","",2020,"Pizza Stand",1,18,9.99,9.99,13.99,9.99,5702016618167,673419318938,20.5,19.1,7.3,0.26,"",0,0,0,,0,0,,,,,,,,,8.4800,,"01/01/2020","31/12/2021"
"10928-1","Duplo","",2020,"Bakery",2,46,34.99,34.99,49.99,39.99,5702016618174,673419318945,38.2,26.2,9.4,0.82,"",0,0,0,,0,0,,,,,,,,,35.5800,,"01/01/2020","31/07/2021"
"10929-1","Duplo","",2020,"Modular Playhouse",3,129,54.99,59.99,79.99,59.99,5702016618181,673419318952,37.8,48,14,2.2,"",0,0,0,,0,0,,,,,,,,,57.7000,,"01/01/2020","31/12/2022"
"10930-1","Duplo","",2020,"Bulldozer",1,10,8.99,9.99,13.99,9.99,5702016618198,673419318969,19.1,14.1,9.1,0.22,"",0,0,0,,0,0,,,,,,,,,7.9700,,"01/06/2020","31/12/2022"
"10931-1","Duplo","",2020,"Truck & Tracked Excavator",2,20,17.99,19.99,24.99,19.99,5702016618204,673419318976,28.2,26.2,9.6,0.58,"",0,0,0,,0,0,,,,,,,,,14.7100,,"01/06/2020","31/07/2023"
"10932-1","Duplo","",2020,"Wrecking Ball Demolition",3,56,54.99,59.99,79.99,59.99,5702016618211,,48,37.8,9.4,,"",0,0,0,,0,0,,,,,,,,,46.5300,,"01/06/2020","31/12/2021"
"10933-1","Duplo","",2020,"Tower Crane & Construction",5,123,114.99,129.99,179.99,129.99,5702016618228,,58.2,48,12.4,,"",0,0,0,,0,0,,,,,,,,,99.0900,,"01/06/2020","31/12/2022"
"10934-1","Duplo","",2020,"Creative Animals",,175,54.99,59.99,79.99,59.99,5702016668049,,26.2,37.3,21.5,,"",0,0,0,,0,0,,,,,,,,,32.9900,,"01/02/2020","31/12/2022"
"11006-1","Classic","",2020,"Creative Blue Bricks",,52,4.49,4.99,6.99,4.99,5702016616576,673419317092,12.2,9.1,5.9,0.08,"",0,0,0,,0,0,,,,,,,,,5.0200,,"01/01/2020","31/12/2022"
"11007-1","Classic","",2020,"Creative Green Bricks",,60,4.99,4.99,6.99,4.99,5702016616583,673419317108,12.2,9.1,5.9,0.08,"",0,0,0,,0,0,,,,,,,,,4.1100,,"01/01/2020","31/07/2021"
"11008-1","Classic","",2020,"Bricks and Houses",,270,17.99,19.99,24.99,19.99,5702016616590,673419317115,26.2,19.1,7.2,0.47,"",0,0,0,,0,0,,,,,,,,,11.1600,9.7000,"01/01/2020","31/12/2022"
"11009-1","Classic","",2020,"Bricks and Lights",,441,24.99,29.99,39.99,29.99,5702016616606,,26.2,22.2,9.5,,"",0,0,0,,0,0,,,,,,,,,19.7000,,"01/01/2020","31/12/2021"
"11010-1","Classic","",2020,"White Baseplate",,1,7.99,7.99,9.99,8.99,5702016616613,673419317139,26,30.8,0.3,0.1,"",0,0,0,,0,0,,,,,,,,,7.2800,,"",""
"11011-1","Classic","",2020,"Bricks and Animals",,1500,54.99,59.99,79.99,59.99,5702016668056,,26.2,37.3,21.5,,"",0,0,0,,0,0,,,,,,,,,38.0900,,"01/02/2020","31/12/2022"
"11717-1","Classic","",2020,"Bricks Bricks Plates",,1504,59.99,69.99,89.99,69.99,5702016722154,,48,37.8,9.4,,"",0,0,0,,0,0,,,,,,,,,46.7500,,"01/05/2020","31/12/2022"
"11929-1","Miscellaneous","",2020,"Parts for The LEGO Games Book",,0,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"11930-1","Miscellaneous","",2020,"Parts for Halloween Ideas",,0,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"11931-1","Miscellaneous","",2020,"Parts for Cute Ideas",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"11933-1","Miscellaneous","",2020,"Epic History parts",,53,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"11934-1","Jurassic World","Miscellaneous",2020,"Parts for Jurassic World Build Your Own Adventure",,,,,,,5702016728514,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"11936-1","City","Book Parts",2020,"Parts for City: Build your own Adventure",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"11938-1","Creator","Magazine Gift",2020,"Robot",,45,,,,,5702016830422,,,,,,"",0,0,0,,0,0,,,,,,,,,5.3100,,"",""
"11939-1","Creator","Magazine Gift",2020,"Octopus",,63,,,,,5702016830439,,,,,,"",0,0,0,,0,0,,,,,,,,,5.0800,,"",""
"11940-1","Creator","Magazine Gift",2020,"Castle",,52,,,,,5702016830446,,,,,,"",0,0,0,,0,0,,,,,,,,,4.8700,,"",""
"11941-1","Creator","Magazine Gift",2020,"Frog",,56,,,,,5702016830453,,,,,,"",0,0,0,,0,0,,,,,,,,,4.7100,,"",""
"11942-1","Creator","Magazine Gift",2020,"Lunar Lander",,45,,,,,5702016830460,,,,,,"",0,0,0,,0,0,,,,,,,,,5.4400,,"",""
"11943-1","Creator","Magazine Gift",2020,"Ant",,25,,,,,5702016830576,,,,,,"",0,0,0,,0,0,,,,,,,,,5.9300,,"",""
"21051-1","Architecture","Skylines",2020,"Tokyo",,547,54.99,59.99,79.99,59.99,5702016617337,673419319409,26.2,19.1,7.2,0.58,"",0,0,0,,0,0,,,,,,,,,55.8500,40.8000,"01/01/2020","31/12/2022"
"21052-1","Architecture","Skylines",2020,"Dubai",,740,54.99,59.99,79.99,59.99,5702016617344,673419319416,26.2,19.1,7.2,0.59,"",0,0,0,,0,0,,,,,,,,,58.9400,46.5500,"01/01/2020","31/12/2021"
"21054-1","Architecture","Landmark Series",2020,"The White House",,1483,89.99,99.99,149.99,99.99,5702016617368,673419318310,38.2,26.2,9.4,1.57,"",0,0,0,,0,0,,,,,,,,,85.6600,65.7700,"01/06/2020","31/12/2023"
"21156-1","Minecraft","Bigfigs",2020,"BigFig Creeper and Ocelot",,184,12.99,14.99,19.99,14.61,5702016618235,673419319003,14.1,19.1,4.6,0.16,"",0,0,0,,0,0,,,,,,,,,19.0000,12.6500,"01/01/2020","31/12/2020"
"21157-1","Minecraft","Bigfigs",2020,"BigFig Pig with Baby Zombie",,159,12.99,14.99,19.99,14.61,5702016618242,673419319010,14.1,19.1,4.6,0.17,"",0,0,0,,0,0,,,,,,,,,15.2400,11.3100,"01/01/2020","31/12/2020"
"21158-1","Minecraft","Minifig-scale",2020,"The Panda Nursery",1,204,19.99,19.99,24.99,19.99,5702016618259,673419319027,26.2,19.1,6.1,0.32,"",0,0,0,,0,0,,,,,,,,,19.9200,12.8300,"01/01/2020","31/12/2022"
"21159-1","Minecraft","Minifig-scale",2020,"The Pillager Outpost",4,303,29.99,29.99,39.99,29.99,5702016618266,673419319034,35.4,19.1,5.9,0.47,"",0,0,0,,0,0,,,,,,,,,27.7800,25.7500,"01/01/2020","31/12/2021"
"21160-1","Minecraft","Minifig-scale",2020,"The Illager Raid",5,562,59.99,59.99,79.99,69.99,5702016618273,673419319041,38.2,26.2,7.1,0.84,"",0,0,0,,0,0,,,,,,,,,59.0900,58.9900,"01/01/2020","31/12/2022"
"21161-1","Minecraft","Minifig-scale",2020,"The Crafting Box 3.0",4,564,69.99,69.99,99.99,79.99,5702016618280,673419319058,48,28.2,7.4,1.3,"",0,0,0,,0,0,,,,,,,,,67.6400,50.6200,"01/06/2020","31/12/2022"
"21162-1","Minecraft","Minifig-scale",2020,"The Taiga Adventure",2,74,8.99,9.99,13.99,9.99,5702016618297,673419319065,14.1,12.2,4.6,0.1,"",0,0,0,,0,0,,,,,,,,,10.0700,11.2400,"01/01/2020","31/12/2021"
"21163-1","Minecraft","Minifig-scale",2020,"The Redstone Battle",4,504,44.99,39.99,49.99,54.99,5702016618303,673419319072,28.2,26.2,7.6,0.65,"",0,0,0,,0,0,,,,,,,,,47.3200,28.2500,"01/06/2020","31/12/2021"
"21165-1","Minecraft","Minifig-scale",2020,"The Bee Farm",2,238,17.99,19.99,24.99,19.99,5702016913774,673419340205,,,,,"",0,0,0,,0,0,,,,,,,,,20.5700,15.8000,"",""
