Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"620-3","Bricks and More","",2010,"Blue Building Plate",,1,7.49,4.99,7.99,,5702014602724,673419130783,25.5,25.5,0.36,0.11,"",0,0,0,,0,0,,,,,,,,,10.1400,5.9000,"",""
"2010-2","Miscellaneous","Employee gift",2010,"Happy Holidays - The Christmas Game",,139,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,113.4200,,"",""
"2824-1","City","Seasonal",2010,"City Advent Calendar",6,271,24.99,34.99,39.99,,5702014602434,673419130028,38.2,26.19,7.06,0.43,"",0,0,0,,0,0,,,,,,,,,38.7800,14.5400,"",""
"3177-1","City","Traffic",2010,"Small Car",1,43,3.99,4.99,6.99,,5702014601819,673419129473,12.19,9.09,5.84,0.06,"",0,0,0,,0,0,,,,,,,,,14.6700,5.6100,"01/01/2010","31/12/2012"
"3178-1","City","Airport",2010,"Seaplane",1,102,8.49,10.99,14.99,,5702014601826,673419129480,19.1,14.1,6.1,0.18,"",0,0,0,,0,0,,,,,,,,,24.4900,5.0300,"01/01/2010","31/12/2012"
"3179-1","City","Traffic",2010,"Repair Truck",1,118,9.99,12.99,17.99,,5702014601833,673419129497,26.19,14.1,6.1,0.21,"",0,0,0,,0,0,,,,,,,,,32.2200,11.7800,"01/01/2010","31/12/2011"
"3180-1","City","Traffic",2010,"Tank Truck",1,222,14.99,19.99,26.99,,5702014601840,673419129503,35.41,19.1,9.09,0.49,"",0,0,0,,0,0,,,,,,,,,84.2200,27.6400,"01/01/2010","31/12/2011"
"3181-1","City","Airport",2010,"Passenger Plane",3,309,35.99,39.99,54.99,,5702014601857,673419078382,48.01,28.19,7.39,0.76,"",0,0,0,,0,0,,,,,,,,,94.3800,33.6600,"01/01/2010","31/12/2012"
"3181-2","City","Airport",2010,"Passenger Plane - ANA version",3,309,,,,,,,48,28.2,7.4,,"",0,0,0,,0,0,,,,,,,,,282.5400,,"01/01/2010","31/12/2012"
"3182-1","City","Airport",2010,"Airport",5,703,81.99,99.99,129.99,,5702014601864,673419129527,58.19,37.8,10.31,1.96,"",0,0,0,,0,0,,,,,,,,,288.9000,95.2900,"01/02/2010","31/12/2012"
"3221-1","City","Traffic",2010,"LEGO City Truck",2,278,29.99,34.99,44.99,,5702014601871,673419129534,48.01,28.19,6.1,0.68,"",0,0,0,,0,0,,,,,,,,,139.4200,47.3100,"01/06/2010","31/12/2012"
