Number,Theme,Subtheme,Year,RRP (USD),Value used (USD)
70637-1,Ninjago,Spinjitzu Masters,2018,9.99,7.94
70638-1,Ninjago,Sons of Garmadon,2018,19.99,16.15
70639-1,Ninjago,Sons of Garmadon,2018,29.99,44.79
70640-1,Ninjago,Sons of Garmadon,2018,39.99,40.44
70641-1,Ninjago,Sons of Garmadon,2018,39.99,40.25
70642-1,Ninjago,Sons of Garmadon,2018,49.99,109.46
70643-1,Ninjago,Sons of Garmadon,2018,69.99,110.08
70644-1,Ninjago,Dragon Masters,2018,14.99,11.56
70645-1,Ninjago,Dragon Masters,2018,14.99,7.25
70647-1,Ninjago,Dragon Masters,2018,14.99,11.13
70648-1,Ninjago,Dragon Masters,2018,14.99,3.4
70650-1,Ninjago,Hunted,2018,19.99,12.96
70651-1,Ninjago,Hunted,2018,19.99,21.95
70652-1,Ninjago,Hunted,2018,39.99,58.32
70653-1,Ninjago,Hunted,2018,69.99,78.36
70654-1,Ninjago,Hunted,2018,109.99,107.78
70655-1,Ninjago,Hunted,2018,129.99,105.81
70657-1,The LEGO Ninjago Movie,,2018,229.99,437.06
70658-1,Ninjago,Hunted,2018,49.99,90.0
70918-1,The LEGO Batman Movie,,2018,19.99,17.5
70919-1,The LEGO Batman Movie,,2018,29.99,25.19
70920-1,The LEGO Batman Movie,,2018,29.99,39.6
70921-1,The LEGO Batman Movie,,2018,49.99,31.95
70923-1,The LEGO Batman Movie,,2018,79.99,82.16
71020-1,Collectable Minifigures,The LEGO Batman Movie Series 2,2018,3.99,3.72
71020-2,Collectable Minifigures,The LEGO Batman Movie Series 2,2018,3.99,3.49
71020-3,Collectable Minifigures,The LEGO Batman Movie Series 2,2018,3.99,3.29
71020-4,Collectable Minifigures,The LEGO Batman Movie Series 2,2018,3.99,4.47
71020-5,Collectable Minifigures,The LEGO Batman Movie Series 2,2018,3.99,3.55
71020-6,Collectable Minifigures,The LEGO Batman Movie Series 2,2018,3.99,6.11
71020-7,Collectable Minifigures,The LEGO Batman Movie Series 2,2018,3.99,5.32
71020-8,Collectable Minifigures,The LEGO Batman Movie Series 2,2018,3.99,3.45
71020-9,Collectable Minifigures,The LEGO Batman Movie Series 2,2018,3.99,3.22
71020-10,Collectable Minifigures,The LEGO Batman Movie Series 2,2018,3.99,2.88
71020-11,Collectable Minifigures,The LEGO Batman Movie Series 2,2018,3.99,3.51
71020-12,Collectable Minifigures,The LEGO Batman Movie Series 2,2018,3.99,2.63
71020-13,Collectable Minifigures,The LEGO Batman Movie Series 2,2018,3.99,3.32
71020-14,Collectable Minifigures,The LEGO Batman Movie Series 2,2018,3.99,3.16
71020-15,Collectable Minifigures,The LEGO Batman Movie Series 2,2018,3.99,3.05
71020-16,Collectable Minifigures,The LEGO Batman Movie Series 2,2018,3.99,4.47
71020-17,Collectable Minifigures,The LEGO Batman Movie Series 2,2018,3.99,3.7
71020-18,Collectable Minifigures,The LEGO Batman Movie Series 2,2018,3.99,3.63
71020-19,Collectable Minifigures,The LEGO Batman Movie Series 2,2018,3.99,3.83
71020-20,Collectable Minifigures,The LEGO Batman Movie Series 2,2018,3.99,3.25
71021-1,Collectable Minifigures,Series 18,2018,3.99,6.21
71021-2,Collectable Minifigures,Series 18,2018,3.99,2.84
71021-3,Collectable Minifigures,Series 18,2018,3.99,2.82
71021-4,Collectable Minifigures,Series 18,2018,3.99,7.23
71021-5,Collectable Minifigures,Series 18,2018,3.99,3.19
71021-6,Collectable Minifigures,Series 18,2018,3.99,5.28
71021-7,Collectable Minifigures,Series 18,2018,3.99,6.79
71021-8,Collectable Minifigures,Series 18,2018,3.99,15.14
71021-9,Collectable Minifigures,Series 18,2018,3.99,2.88
71021-10,Collectable Minifigures,Series 18,2018,3.99,3.5
71021-11,Collectable Minifigures,Series 18,2018,3.99,5.68
71021-12,Collectable Minifigures,Series 18,2018,3.99,3.91
71021-13,Collectable Minifigures,Series 18,2018,3.99,4.77
71021-14,Collectable Minifigures,Series 18,2018,3.99,3.6
71021-15,Collectable Minifigures,Series 18,2018,3.99,3.16
71021-16,Collectable Minifigures,Series 18,2018,3.99,5.12
71021-17,Collectable Minifigures,Series 18,2018,3.99,5.21
71022-1,Collectable Minifigures,Harry Potter,2018,3.99,6.26
71022-2,Collectable Minifigures,Harry Potter,2018,3.99,5.38
71022-3,Collectable Minifigures,Harry Potter,2018,3.99,4.07
71022-4,Collectable Minifigures,Harry Potter,2018,3.99,3.86
71022-5,Collectable Minifigures,Harry Potter,2018,3.99,14.25
71022-6,Collectable Minifigures,Harry Potter,2018,3.99,3.91
71022-7,Collectable Minifigures,Harry Potter,2018,3.99,3.91
71022-8,Collectable Minifigures,Harry Potter,2018,3.99,3.11
71022-9,Collectable Minifigures,Harry Potter,2018,3.99,7.0
71022-10,Collectable Minifigures,Harry Potter,2018,3.99,9.6
71022-11,Collectable Minifigures,Harry Potter,2018,3.99,12.95
71022-12,Collectable Minifigures,Harry Potter,2018,3.99,3.3
71022-13,Collectable Minifigures,Harry Potter,2018,3.99,3.18
71022-14,Collectable Minifigures,Harry Potter,2018,3.99,10.72
71022-15,Collectable Minifigures,Harry Potter,2018,3.99,10.18
71022-16,Collectable Minifigures,Harry Potter,2018,3.99,6.4
71022-17,Collectable Minifigures,Harry Potter,2018,3.99,4.54
71022-18,Collectable Minifigures,Harry Potter,2018,3.99,2.91
71022-19,Collectable Minifigures,Harry Potter,2018,3.99,2.59
71022-20,Collectable Minifigures,Harry Potter,2018,3.99,2.98
71022-21,Collectable Minifigures,Harry Potter,2018,3.99,3.64
71022-22,Collectable Minifigures,Harry Potter,2018,3.99,17.03
71043-1,Harry Potter,General,2018,399.99,342.5
72001-1,Nexo Knights,Season 5,2018,19.99,16.04
72002-1,Nexo Knights,Season 5,2018,19.99,11.76
72003-1,Nexo Knights,Season 5,2018,29.99,33.65
72004-1,Nexo Knights,Season 5,2018,39.99,42.48
72005-1,Nexo Knights,Season 5,2018,49.99,44.99
72006-1,Nexo Knights,Season 5,2018,59.99,66.16
75181-1,Star Wars,Ultimate Collector Series,2018,199.99,256.0
75193-1,Star Wars,MicroFighters,2018,9.99,9.58
75194-1,Star Wars,Microfighters,2018,9.99,7.92
75195-1,Star Wars,MicroFighters,2018,19.99,12.7
75196-1,Star Wars,MicroFighters,2018,19.99,16.58
75197-1,Star Wars,The Last Jedi,2018,14.99,11.6
75198-1,Star Wars,Episode IV,2018,14.99,17.61
75199-1,Star Wars,The Clone Wars,2018,29.99,30.56
75200-1,Star Wars,The Last Jedi,2018,29.99,24.67
75201-1,Star Wars,The Last Jedi,2018,39.99,49.8
75202-1,Star Wars,The Last Jedi,2018,84.99,47.4
75203-1,Star Wars,Episode V,2018,29.99,37.44
75204-1,Star Wars,Legends,2018,29.99,33.75
75205-1,Star Wars,Episode IV,2018,39.99,42.33
75206-1,Star Wars,Episode II,2018,14.99,24.55
75207-1,Star Wars,Solo,2018,14.99,14.94
75208-1,Star Wars,Episode V,2018,29.99,39.41
75209-1,Star Wars,Solo,2018,29.99,25.34
75210-1,Star Wars,Solo,2018,39.99,27.19
75211-1,Star Wars,Solo,2018,69.99,108.58
75212-1,Star Wars,Solo,2018,169.99,160.75
75213-1,Star Wars,Seasonal,2018,39.99,25.0
75214-1,Star Wars,The Clone Wars,2018,19.99,20.06
75215-1,Star Wars,Solo,2018,29.99,25.84
75216-1,Star Wars,The Last Jedi,2018,69.99,55.0
75217-1,Star Wars,Solo,2018,89.99,65.18
75218-1,Star Wars,Episode IV,2018,79.99,101.18
75219-1,Star Wars,Solo,2018,99.99,90.73
75220-1,Star Wars,Episode IV,2018,139.99,148.9
75221-1,Star Wars,Episode IV,2018,89.99,105.15
75222-1,Star Wars,Master Builder Series,2018,349.99,423.49
75230-1,Star Wars,The Last Jedi,2018,69.99,70.7
75533-1,Star Wars,Buildable Figures,2018,29.99,53.56
75534-1,Star Wars,Buildable Figures,2018,39.99,34.43
75535-1,Star Wars,Buildable Figures,2018,24.99,13.0
75536-1,Star Wars,Buildable Figures,2018,24.99,37.91
75537-1,Star Wars,Buildable Figures,2018,29.99,30.82
75884-1,Speed Champions,Ford,2018,14.99,18.73
75885-1,Speed Champions,Ford,2018,14.99,20.96
75886-1,Speed Champions,Ferrari,2018,14.99,22.77
75887-1,Speed Champions,Porsche,2018,14.99,22.11
75888-1,Speed Champions,Porsche,2018,29.99,42.08
75889-1,Speed Champions,Ferrari,2018,99.99,85.0
75926-1,Jurassic World,Fallen Kingdom,2018,19.99,17.96
75927-1,Jurassic World,Fallen Kingdom,2018,29.99,29.12
75928-1,Jurassic World,Fallen Kingdom,2018,39.99,42.03
75929-1,Jurassic World,Fallen Kingdom,2018,79.99,71.6
75930-1,Jurassic World,Fallen Kingdom,2018,129.99,146.1
75931-1,Jurassic World,Fallen Kingdom,2018,39.99,44.34
75932-1,Jurassic World,Jurassic Park,2018,39.99,38.36
75933-1,Jurassic World,Fallen Kingdom,2018,69.99,85.96
75950-1,Harry Potter,Chamber of Secrets,2018,14.99,16.22
75951-1,Harry Potter,Fantastic Beasts,2018,19.99,16.81
75952-1,Harry Potter,Fantastic Beasts,2018,49.99,43.19
75953-1,Harry Potter,Chamber of Secrets,2018,69.99,44.53
75954-1,Harry Potter,Philosopher's Stone,2018,99.99,82.53
75955-1,Harry Potter,Prisoner of Azkaban,2018,79.99,62.64
75956-1,Harry Potter,Philosopher's Stone,2018,39.99,43.72
75987-1,Overwatch,Promotional,2018,25.0,22.5
76089-1,Marvel Super Heroes,Mighty Micros,2018,9.99,9.61
76090-1,Marvel Super Heroes,Mighty Micros,2018,9.99,11.31
76091-1,Marvel Super Heroes,Mighty Micros,2018,9.99,6.78
76092-1,DC Comics Super Heroes,Mighty Micros,2018,9.99,9.09
76093-1,DC Comics Super Heroes,Mighty Micros,2018,9.99,8.91
76094-1,DC Comics Super Heroes,Mighty Micros,2018,9.99,7.83
76095-1,DC Comics Super Heroes,DC Extended Universe,2018,29.99,40.59
76096-1,DC Comics Super Heroes,Justice League,2018,19.99,15.0
76097-1,DC Comics Super Heroes,Justice League,2018,39.99,35.6
76098-1,DC Comics Super Heroes,Justice League,2018,29.99,86.5
76099-1,Marvel Super Heroes,Black Panther,2018,19.99,23.62
76100-1,Marvel Super Heroes,Black Panther,2018,29.99,35.0
76101-1,Marvel Super Heroes,Avengers: Infinity War,2018,14.99,11.55
76102-1,Marvel Super Heroes,Avengers: Infinity War,2018,19.99,28.61
76103-1,Marvel Super Heroes,Avengers: Infinity War,2018,39.99,65.29
76104-1,Marvel Super Heroes,Avengers: Infinity War,2018,29.99,30.6
76105-1,Marvel Super Heroes,Avengers: Age of Ultron,2018,119.99,134.82
76107-1,Marvel Super Heroes,Avengers: Infinity War,2018,69.99,58.7
76108-1,Marvel Super Heroes,Avengers: Infinity War,2018,99.99,146.94
76109-1,Marvel Super Heroes,Ant-Man and the Wasp,2018,19.99,24.37
76110-1,DC Comics Super Heroes,Batman,2018,19.99,20.43
76111-1,DC Comics Super Heroes,Batman,2018,29.99,21.97
76112-1,DC Comics Super Heroes,Batman,2018,99.99,69.26
88005-1,Powered Up,,2018,9.99,11.43
853744-1,DC Comics Super Heroes,DC Extended Universe,2018,12.99,19.01
853758-1,Ninjago,Sons of Garmadon,2018,8.99,7.0
853759-1,Ninjago,Sons of Garmadon,2018,8.99,8.5
853760-1,Gear,Miscellaneous,2018,14.99,6.5
853778-1,Friends,Miscellaneous,2018,8.99,10.0
853796-1,Seasonal,Christmas,2018,7.99,9.21
5005236-1,Friends,Miscellaneous,2018,6.99,2.88
5005249-1,Seasonal,Easter,2018,5.99,3.19
10264-1,Creator Expert,Modular Buildings Collection,2019,199.99,201.4
10265-1,Creator Expert,Vehicles,2019,149.99,99.86
10266-1,Creator Expert,Space,2019,99.99,77.63
10267-1,Creator Expert,Winter Village,2019,99.99,109.29
10269-1,Creator Expert,Vehicles,2019,99.99,78.0
10766-1,Toy Story,Toy Story 4,2019,9.99,8.47
10767-1,Toy Story,Toy Story 4,2019,19.99,11.27
10768-1,Toy Story,Toy Story 4,2019,24.99,20.24
10769-1,Toy Story,Toy Story 4,2019,34.99,16.25
10770-1,Toy Story,Toy Story 4,2019,49.99,15.0
10771-1,Toy Story,Toy Story 4,2019,19.99,17.7
10883-1,Duplo,,2019,9.99,5.66
10889-1,Duplo,Mickey,2019,49.99,50.0
10894-1,Duplo,Toy Story,2019,19.99,6.83
10895-1,Duplo,The LEGO Movie 2,2019,29.99,19.99
10900-1,Duplo,,2019,9.99,7.99
10902-1,Duplo,,2019,29.99,19.25
10903-1,Duplo,,2019,49.99,37.47
10904-1,Duplo,,2019,9.99,6.83
11001-1,Classic,,2019,9.99,4.75
11002-1,Classic,,2019,19.99,14.5
11005-1,Classic,,2019,39.99,42.43
21043-1,Architecture,Skylines,2019,49.99,39.06
21044-1,Architecture,Skylines,2019,49.99,31.47
21045-1,Architecture,Landmark Series,2019,79.99,60.39
21046-1,Architecture,Landmark Series,2019,129.99,69.78
21148-1,Minecraft,Bigfigs,2019,14.99,12.34
21149-1,Minecraft,Bigfigs,2019,14.99,11.59
21150-1,Minecraft,Bigfigs,2019,14.99,14.1
21151-1,Minecraft,Minifig-scale,2019,19.99,14.4
21152-1,Minecraft,Minifig-scale,2019,39.99,27.38
21153-1,Minecraft,Minifig-scale,2019,19.99,14.16
21154-1,Minecraft,Minifig-scale,2019,29.99,26.23
21155-1,Minecraft,Minifig-scale,2019,79.99,64.67
21316-1,Ideas,Licensed,2019,59.99,55.53
21317-1,Ideas,Licensed,2019,89.99,103.68
21318-1,Ideas,,2019,199.99,152.35
21319-1,Ideas,Licensed,2019,59.99,46.65
21320-1,Ideas,,2019,59.99,51.7
30365-1,City,Space,2019,3.99,2.88
30460-1,The LEGO Movie 2,,2019,3.99,1.75
30553-1,Disney,Frozen II,2019,3.99,3.39
30571-1,Creator,Promotional,2019,3.99,2.85
30624-1,Star Wars,Episode IV,2019,3.99,10.5
31086-1,Creator,3 in 1,2019,14.99,5.99
31087-1,Creator,3 in 1,2019,12.99,7.4
31088-1,Creator,3 in 1,2019,14.99,10.03
31089-1,Creator,3 in 1,2019,19.99,18.51
31090-1,Creator,3 in 1,2019,19.99,12.32
31091-1,Creator,3 in 1,2019,24.99,20.41
31092-1,Creator,3 in 1,2019,9.99,6.8
31093-1,Creator,3 in 1,2019,39.99,24.0
31094-1,Creator,3 in 1,2019,29.99,17.54
31095-1,Creator,3 in 1,2019,49.99,40.99
31096-1,Creator,3 in 1,2019,59.99,42.47
31097-1,Creator,3 in 1,2019,79.99,59.0
31098-1,Creator,3 in 1,2019,29.99,18.08
40186-1,Seasonal,Chinese Traditional Festivals,2019,9.99,11.94
40334-1,Marvel Super Heroes,The Avengers,2019,19.99,26.75
40336-1,Hidden Side,Promotional,2019,12.99,14.3
40345-1,City,Space,2019,12.99,22.42
40348-1,BrickHeadz,Seasonal,2019,9.99,10.2
40349-1,BrickHeadz,Seasonal,2019,9.99,10.65
40350-1,BrickHeadz,Seasonal,2019,9.99,8.23
40351-1,BrickHeadz,Seasonal,2019,9.99,15.29
40352-1,BrickHeadz,Seasonal,2019,9.99,12.46
40353-1,BrickHeadz,Seasonal,2019,19.99,16.96
40354-1,BrickHeadz,Seasonal,2019,9.99,12.99
40367-1,BrickHeadz,Miscellaneous,2019,9.99,12.65
40368-1,Xtra,,2019,3.99,5.56
41158-1,Disney,Aladdin,2019,9.99,10.81
41159-1,Disney,Cinderella,2019,19.99,15.98
41160-1,Disney,The Little Mermaid,2019,24.99,26.0
41161-1,Disney,Aladdin,2019,29.99,36.0
41162-1,Disney,Disney Princess,2019,39.99,59.95
41164-1,Disney,Frozen II,2019,49.99,22.0
41165-1,Disney,Frozen II,2019,19.99,9.75
41168-1,Disney,Frozen II,2019,39.99,23.0
41169-1,Disney,Frozen II,2019,14.99,4.88
41337-1,Friends,Amusement Park,2019,29.99,16.05
41354-1,Friends,Heart Box,2019,7.99,6.25
41355-1,Friends,Heart Box,2019,7.99,7.23
41356-1,Friends,Heart Box,2019,7.99,4.87
41357-1,Friends,Heart Box,2019,7.99,4.87
41358-1,Friends,Heart Box,2019,7.99,6.71
41359-1,Friends,Heart Box,2019,19.99,12.17
41360-1,Friends,,2019,9.99,6.95
41361-1,Friends,,2019,19.99,12.0
41363-1,Friends,,2019,14.99,7.93
41364-1,Friends,,2019,19.99,12.0
41365-1,Friends,,2019,24.99,20.39
41366-1,Friends,,2019,29.99,20.0
41367-1,Friends,,2019,39.99,28.0
41369-1,Friends,,2019,69.99,40.0
41371-1,Friends,,2019,29.99,20.13
41372-1,Friends,,2019,29.99,20.0
41373-1,Friends,Amusement Park,2019,39.99,26.64
41374-1,Friends,,2019,49.99,38.0
41375-1,Friends,Amusement Park,2019,129.99,99.0
41376-1,Friends,,2019,19.99,18.0
41378-1,Friends,,2019,39.99,27.99
41379-1,Friends,,2019,59.99,45.75
41380-1,Friends,,2019,59.99,45.0
41381-1,Friends,,2019,89.99,59.84
41383-1,Friends,,2019,9.99,5.4
41384-1,Friends,Heart Box,2019,7.99,6.79
41388-1,Friends,Heart Box,2019,7.99,2.59
41634-1,BrickHeadz,The LEGO Movie 2,2019,14.99,68.52
41635-1,BrickHeadz,The LEGO Movie 2,2019,14.99,60.0
41636-1,BrickHeadz,The LEGO Movie 2,2019,9.99,42.0
41637-1,BrickHeadz,The LEGO Movie 2,2019,9.99,28.0
42088-1,Technic,,2019,9.99,6.88
42089-1,Technic,,2019,14.99,12.32
42090-1,Technic,,2019,19.99,7.85
42091-1,Technic,,2019,19.99,7.57
42092-1,Technic,,2019,39.99,21.21
42093-1,Technic,,2019,49.99,30.24
42094-1,Technic,,2019,79.99,56.6
42095-1,Technic,,2019,99.99,62.13
42096-1,Technic,,2019,149.99,101.71
42097-1,Technic,,2019,99.99,69.6
42098-1,Technic,,2019,179.99,149.52
42099-1,Technic,,2019,249.99,152.29
42100-1,Technic,,2019,449.99,322.13
42110-1,Technic,,2019,199.99,128.9
43172-1,Disney,Frozen,2019,79.99,50.0
60203-1,City,Town,2019,89.99,78.0
60206-1,City,Sky Police,2019,9.99,5.75
60207-1,City,Sky Police,2019,29.99,19.46
60208-1,City,Sky Police,2019,39.99,14.13
60209-1,City,Sky Police,2019,59.99,37.4
60210-1,City,Sky Police,2019,89.99,49.99
60212-1,City,Fire,2019,9.99,7.5
60213-1,City,Fire,2019,19.99,9.49
60214-1,City,Fire,2019,39.99,19.86
60215-1,City,Fire,2019,69.99,45.14
60216-1,City,Fire,2019,99.99,79.2
60217-1,City,Fire,2019,59.99,28.31
60218-1,City,Great Vehicles,2019,9.99,6.78
60219-1,City,Construction,2019,9.99,8.24
60220-1,City,Great Vehicles,2019,19.99,10.64
60221-1,City,Great Vehicles,2019,19.99,13.55
60222-1,City,Great Vehicles,2019,19.99,16.97
60223-1,City,Great Vehicles,2019,29.99,28.1
60224-1,City,Space,2019,9.99,8.13
60225-1,City,Space,2019,29.99,26.0
60226-1,City,Space,2019,39.99,19.95
60227-1,City,Space,2019,59.99,50.0
60228-1,City,Space,2019,99.99,64.08
60229-1,City,Space,2019,149.99,84.95
60230-1,City,Space,2019,39.99,34.97
60231-1,City,Fire,2019,29.99,16.67
60232-1,City,Town,2019,49.99,25.01
60233-1,City,Town,2019,89.99,55.0
60234-1,City,Town,2019,39.99,32.0
60235-1,City,Seasonal,2019,29.99,15.05
60236-1,City,Town,2019,14.99,7.3
60237-1,City,Town,2019,14.99,7.25
60239-1,City,Sky Police,2019,9.99,5.8
60240-1,City,Great Vehicles,2019,9.99,8.12
70418-1,Hidden Side,,2019,19.99,9.65
70419-1,Hidden Side,,2019,29.99,20.97
70420-1,Hidden Side,,2019,29.99,20.07
70421-1,Hidden Side,,2019,39.99,15.56
70422-1,Hidden Side,,2019,49.99,41.0
70423-1,Hidden Side,,2019,59.99,35.89
70424-1,Hidden Side,,2019,79.99,56.1
70425-1,Hidden Side,,2019,129.99,99.08
70659-1,Ninjago,Spinjitzu,2019,9.99,6.66
70660-1,Ninjago,Spinjitzu,2019,9.99,6.09
70661-1,Ninjago,Spinjitzu,2019,9.99,5.89
70662-1,Ninjago,Spinjitzu,2019,9.99,6.6
70663-1,Ninjago,Spinjitzu,2019,19.99,14.25
70664-1,Ninjago,Spinjitzu,2019,19.99,22.71
70665-1,Ninjago,Legacy,2019,14.99,12.04
70666-1,Ninjago,Legacy,2019,19.99,16.68
70667-1,Ninjago,Legacy,2019,29.99,20.36
70668-1,Ninjago,Legacy,2019,39.99,40.63
70669-1,Ninjago,Legacy,2019,49.99,71.08
70670-1,Ninjago,Legacy,2019,79.99,97.77
70671-1,Ninjago,Secrets of the Forbidden Spinjitzu,2019,14.99,8.63
70672-1,Ninjago,Secrets of the Forbidden Spinjitzu,2019,19.99,11.69
70673-1,Ninjago,Secrets of the Forbidden Spinjitzu,2019,29.99,26.71
70674-1,Ninjago,Secrets of the Forbidden Spinjitzu,2019,39.99,38.69
70675-1,Ninjago,Secrets of the Forbidden Spinjitzu,2019,49.99,35.0
70676-1,Ninjago,Secrets of the Forbidden Spinjitzu,2019,79.99,66.22
70677-1,Ninjago,Secrets of the Forbidden Spinjitzu,2019,129.99,117.76
70678-1,Ninjago,Secrets of the Forbidden Spinjitzu,2019,99.99,108.38
70679-1,Ninjago,Legacy,2019,84.99,60.0
70680-1,Ninjago,Legacy,2019,9.99,6.78
70681-1,Ninjago,Spinjitzu Slam,2019,9.99,5.83
70682-1,Ninjago,Spinjitzu Slam,2019,9.99,5.83
70683-1,Ninjago,Spinjitzu Slam,2019,9.99,5.83
70684-1,Ninjago,Spinjitzu Slam,2019,19.99,4.4
70820-1,The LEGO Movie 2,Miscellaneous,2019,49.99,20.02
70821-1,The LEGO Movie 2,,2019,19.99,11.4
70822-1,The LEGO Movie 2,,2019,9.99,5.1
70823-1,The LEGO Movie 2,,2019,14.99,4.75
70824-1,The LEGO Movie 2,,2019,19.99,5.47
70826-1,The LEGO Movie 2,,2019,29.99,15.38
70827-1,The LEGO Movie 2,,2019,29.99,19.99
70828-1,The LEGO Movie 2,,2019,79.99,41.0
70829-1,The LEGO Movie 2,,2019,49.99,33.04
70830-1,The LEGO Movie 2,,2019,69.99,28.0
70831-1,The LEGO Movie 2,,2019,69.99,41.33
70833-1,The LEGO Movie 2,,2019,29.99,3.99
70834-1,The LEGO Movie 2,,2019,59.99,40.5
70835-1,The LEGO Movie 2,,2019,119.99,74.57
70836-1,The LEGO Movie 2,,2019,19.99,7.9
70838-1,The LEGO Movie 2,,2019,99.99,45.0
70839-1,The LEGO Movie 2,,2019,149.99,158.68
70840-1,The LEGO Movie 2,,2019,299.99,495.46
70841-1,The LEGO Movie 2,,2019,9.99,10.75
70847-1,The LEGO Movie 2,,2019,9.99,13.99
71023-1,Collectable Minifigures,The LEGO Movie 2,2019,3.99,2.8
71023-2,Collectable Minifigures,The LEGO Movie 2,2019,3.99,2.5
71023-3,Collectable Minifigures,The LEGO Movie 2,2019,3.99,3.02
71023-4,Collectable Minifigures,The LEGO Movie 2,2019,3.99,4.95
71023-5,Collectable Minifigures,The LEGO Movie 2,2019,3.99,2.85
71023-6,Collectable Minifigures,The LEGO Movie 2,2019,3.99,3.07
71023-7,Collectable Minifigures,The LEGO Movie 2,2019,3.99,2.57
71023-8,Collectable Minifigures,The LEGO Movie 2,2019,3.99,3.16
71023-9,Collectable Minifigures,The LEGO Movie 2,2019,3.99,2.87
71023-10,Collectable Minifigures,The LEGO Movie 2,2019,3.99,2.5
71023-11,Collectable Minifigures,The LEGO Movie 2,2019,3.99,2.99
71023-12,Collectable Minifigures,The LEGO Movie 2,2019,3.99,2.73
71023-13,Collectable Minifigures,The LEGO Movie 2,2019,3.99,2.8
71023-14,Collectable Minifigures,The LEGO Movie 2,2019,3.99,2.8
71023-15,Collectable Minifigures,The LEGO Movie 2,2019,3.99,3.21
71023-16,Collectable Minifigures,The LEGO Movie 2,2019,3.99,7.92
71023-17,Collectable Minifigures,The LEGO Movie 2,2019,3.99,6.18
71023-18,Collectable Minifigures,The LEGO Movie 2,2019,3.99,5.12
71023-19,Collectable Minifigures,The LEGO Movie 2,2019,3.99,6.41
71023-20,Collectable Minifigures,The LEGO Movie 2,2019,3.99,1.55
71024-1,Collectable Minifigures,Disney Series 2,2019,3.99,3.5
71024-2,Collectable Minifigures,Disney Series 2,2019,3.99,3.09
71024-3,Collectable Minifigures,Disney Series 2,2019,3.99,8.81
71024-4,Collectable Minifigures,Disney Series 2,2019,3.99,7.2
71024-5,Collectable Minifigures,Disney Series 2,2019,3.99,5.5
71024-6,Collectable Minifigures,Disney Series 2,2019,3.99,3.91
71024-7,Collectable Minifigures,Disney Series 2,2019,3.99,2.89
71024-8,Collectable Minifigures,Disney Series 2,2019,3.99,3.24
71024-9,Collectable Minifigures,Disney Series 2,2019,3.99,4.12
71024-10,Collectable Minifigures,Disney Series 2,2019,3.99,3.66
71024-11,Collectable Minifigures,Disney Series 2,2019,3.99,3.48
71024-12,Collectable Minifigures,Disney Series 2,2019,3.99,3.44
71024-13,Collectable Minifigures,Disney Series 2,2019,3.99,2.85
71024-14,Collectable Minifigures,Disney Series 2,2019,3.99,3.32
71024-15,Collectable Minifigures,Disney Series 2,2019,3.99,4.08
71024-16,Collectable Minifigures,Disney Series 2,2019,3.99,7.7
71024-17,Collectable Minifigures,Disney Series 2,2019,3.99,2.88
71024-18,Collectable Minifigures,Disney Series 2,2019,3.99,2.96
71025-1,Collectable Minifigures,Series 19,2019,3.99,3.25
71025-2,Collectable Minifigures,Series 19,2019,3.99,4.99
71025-3,Collectable Minifigures,Series 19,2019,3.99,5.1
71025-4,Collectable Minifigures,Series 19,2019,3.99,6.7
71025-5,Collectable Minifigures,Series 19,2019,3.99,3.06
71025-6,Collectable Minifigures,Series 19,2019,3.99,2.77
71025-7,Collectable Minifigures,Series 19,2019,3.99,4.15
71025-8,Collectable Minifigures,Series 19,2019,3.99,2.67
71025-9,Collectable Minifigures,Series 19,2019,3.99,7.55
71025-10,Collectable Minifigures,Series 19,2019,3.99,3.84
71025-11,Collectable Minifigures,Series 19,2019,3.99,3.69
71025-12,Collectable Minifigures,Series 19,2019,3.99,6.97
71025-13,Collectable Minifigures,Series 19,2019,3.99,2.73
71025-14,Collectable Minifigures,Series 19,2019,3.99,6.38
71025-15,Collectable Minifigures,Series 19,2019,3.99,3.38
71025-16,Collectable Minifigures,Series 19,2019,3.99,4.69
71044-1,Disney,Disney Parks,2019,329.99,300.0
75223-1,Star Wars,MicroFighters,2019,9.99,5.78
75224-1,Star Wars,MicroFighters,2019,9.99,9.45
75225-1,Star Wars,The Last Jedi,2019,14.99,16.75
75226-1,Star Wars,Battlefront,2019,14.99,24.73
75227-1,Star Wars,Promotional,2019,39.99,65.0
75228-1,Star Wars,MicroFighters,2019,19.99,28.74
75229-1,Star Wars,Episode IV,2019,29.99,33.52
75232-1,BrickHeadz,Star Wars,2019,19.99,18.69
75233-1,Star Wars,Episode III,2019,49.99,75.0
75234-1,Star Wars,Episode III,2019,59.99,79.76
75235-1,Star Wars,Episode IV,2019,29.99,30.0
75236-1,Star Wars,The Force Awakens,2019,19.99,15.82
75237-1,Star Wars,Episode IV,2019,19.99,23.64
75239-1,Star Wars,Episode V,2019,29.99,13.55
75240-1,Star Wars,Resistance,2019,69.99,66.41
75241-1,Star Wars,Episode V,2019,59.99,30.85
75242-1,Star Wars,Resistance,2019,49.99,37.43
75243-1,Star Wars,Episode V,2019,119.99,166.9
75244-1,Star Wars,Episode IV,2019,199.99,206.5
75245-1,Star Wars,Seasonal,2019,39.99,21.68
75246-1,Star Wars,Episode IV,2019,19.99,14.87
75247-1,Star Wars,Episode VI,2019,14.99,15.0
