Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"345-2","Basic","",1993,"Small Play Bucket, 3+",,131,,17,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,29.3400,"",""
"365-3","Basic","",1993,"Build-n-Store Chest",,333,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1504-1","Basic","",1993,"Family Bucket, 3+",,229,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1540-1","Duplo","",1993,"Betsy's Bedroom",1,39,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,44.8500,"",""
"1547-1","Castle","Black Knights",1993,"Black Knights Boat",2,58,,4.25,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,81.0000,34.1300,"",""
"1579-1","Duplo","",1993,"Animal Fun",,30,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1595-1","Duplo","",1993,"Girl with Cat",,17,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,25.0000,,"",""
"1596-1","Castle","Wolfpack",1993,"Ghostly Hideout",2,37,,4.25,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,321.4200,35.0400,"",""
"1597-1","Castle","Bonus/Value Pack",1993,"Castle Value Pack",,117,,8,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,550.0000,40.0000,"",""
"1614-1","Duplo","",1993,"Build-A-Farm",2,23,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1624-1","Castle","Black Knights",1993,"King's Archer",1,22,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,30.0000,25.5700,"",""
"1651-1","Basic","",1993,"Basic Building Set Trial Size",,30,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,5.5800,0.3700,"",""
"1652-1","Basic","",1993,"Mini Box, 5+",,39,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1687-1","Town","Flight",1993,"Midnight Transport",3,262,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,123.0100,68.7500,"",""
"1688-1","Basic","",1993,"Large Play Bucket, 3+",,216,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,29.4300,"",""
"1699-1","Basic","",1993,"Small Bucket, 3+",,179,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1707-1","Basic","",1993,"20th Anniversary Jackpot Bucket",,400,,15,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1735-1","Duplo","",1993,"20th Anniversary Jackpot Bucket",2,50,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1816-1","Duplo","",1993,"20th Anniversary Jackpot Bucket",3,90,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1830-1","Duplo","",1993,"Large Bucket",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1845-1","Basic","",1993,"20th Anniversary Jackpot Bucket",2,714,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,60.0000,"",""
"1874-1","Basic","",1993,"Super Scoop",,140,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,54.8600,35.0000,"",""
"1903-1","Duplo","",1993,"Medium Bucket",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1908-1","Duplo","",1993,"Small Bucket",2,39,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,4.0000,"",""
"1916-1","Space","Space Police 2",1993,"Starion Patrol",1,23,,2,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,38.1300,23.2100,"",""
"1917-1","Castle","Black Knights",1993,"King's Catapult",1,22,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,49.5000,17.7300,"",""
"1932-2","Duplo","",1993,"Medium Bucket",,76,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1955-1","Promotional","Ferries",1993,"Color Line Ferry",,241,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,230.8600,153.6300,"",""
"1958-1","Town","Leisure",1993,"Windsurfer",1,21,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,5.5000,"",""
"1959-1","Town","Leisure",1993,"Ultra-Light",1,30,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,5.0000,5.9400,"",""
"1960-1","Castle","Bonus/Value Pack",1993,"Magical Adventure Pack",,204,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1967-1","Assorted","Bonus/Value Pack",1993,"Five Set Bonus Pack",,156,,10,,,,042884019679,,,,,"",0,0,0,,0,0,,,,,,,,,180.0000,80.0000,"",""
"1969-1","Space","Space Police 2",1993,"Mini Robot",1,38,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,20.0000,15.7500,"",""
"1970-1","Pirates","",1993,"Pirates Gun Cart",2,31,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,12.5000,17.3700,"",""
"1971-1","Castle","Black Knights",1993,"Battering Ram",1,36,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,21.9900,21.9200,"",""
"1990-1","Town","Racing",1993,"Octan F1 Race Car",1,35,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,17.5000,4.2300,"",""
"1991-1","Town","Racing",1993,"Racing Pick-Up Truck",1,81,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,15.0000,6.1800,"",""
"1992-1","Town","Racing",1993,"Dragsters",2,104,,7.75,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,16.9800,10.1200,"",""
"1993-1","Town","Bonus/Value Pack",1993,"Race Value Pack",,220,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,199.0000,49.0000,"",""
"2311-1","Duplo","",1993,"Clown",,16,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2369-1","Duplo","",1993,"Racing Bucket",2,38,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2372-1","Duplo","",1993,"Zoo Bucket",2,36,,,,,5702010923724,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2378-1","Duplo","",1993,"Farm Bucket",2,53,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2382-1","Duplo","",1993,"Train Bucket",2,41,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2389-1","Duplo","",1993,"Animal Bucket",4,43,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2452-1","Duplo","",1993,"Choo Choo Train",2,13,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2553-1","Duplo","",1993,"The Pony Stable",1,27,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2675-1","Duplo","",1993,"Police Helicopter",1,3,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,19.9900,5.7100,"",""
"2676-1","Duplo","",1993,"Private Plane",1,7,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,17.8900,9.2400,"",""
"2677-1","Duplo","",1993,"Fire Helicopter",2,7,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,23.2200,19.1600,"",""
"2678-1","Duplo","",1993,"Jumbo Jet",3,12,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,36.0000,"",""
"2679-1","Duplo","",1993,"Airport",3,23,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,66.1100,,"",""
"2730-1","Duplo","Trains",1993,"Electric Play Train Set",2,54,,85,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,17.7900,"",""
"2732-1","Duplo","Trains",1993,"Push-Along Play Train Set",3,46,,43,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,25.9100,"",""
"2733-1","Duplo","Trains",1993,"Push-Along Play Train",1,9,,20,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,55.0000,20.5400,"",""
"2734-1","Duplo","Trains",1993,"Straight Track (Straight Rails)",,6,7.49,4.99,7.99,,5702010927340,,,,,,"",0,0,0,,0,0,,,,,,,,,11.7700,6.8700,"",""
"2735-1","Duplo","Trains",1993,"Curved Track (Curved Rails)",,6,7.49,4.99,7.99,,5702010927357,673419128315,,,,,"",0,0,0,,0,0,,,,,,,,,10.9300,5.6100,"",""
"2736-1","Duplo","Trains",1993,"Train Points",,4,,12,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,22.2000,13.6000,"",""
"2737-1","Duplo","Trains",1993,"Diamond Crossing and Track Pack",,9,,9,,,5702010927371,,,,,,"",0,0,0,,0,0,,,,,,,,,24.7100,11.7100,"",""
"2740-1","Duplo","Trains",1993,"Level Crossing",,7,,10,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,16.2900,12.7500,"",""
"2905-1","Duplo","Toolo",1993,"Accessory Pack",,19,,10,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2950-1","Duplo","Toolo",1993,"Construction Site",3,47,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,52.8900,"",""
"4537-1","Trains","9V",1993,"Twin Tank Transporter",1,174,,23,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,240.9800,64.6500,"",""
"4547-1","Trains","9V",1993,"Railroad Club Car",5,293,,37.5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,630.5900,259.1200,"",""
"4549-1","Trains","9V",1993,"Road 'N Rail Hauler",2,451,,52,,,5702010945498,,,,,,"",0,0,0,,0,0,,,,,,,,,250.0000,132.0700,"",""
"4741-1","Space","Bonus/Value Pack",1993,"Blacktron II Space Value Pack",,209,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,766.9000,,"",""
"5011-1","Service Packs","",1993,"Motor for Basic Set 810, 9V",,1,,27,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,8.6800,8.1400,"",""
"5030-1","Service Packs","",1993,"Signs for Use with Lighting Bricks 9V",,16,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,12.4000,8.2800,"",""
