Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"1149-1","Town","Special",2002,"Air Police",,24,,3,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,7.5000,7.1200,"",""
"1359-1","Promotional","LEGOLAND",2002,"Audi TT Roadster ",,57,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1374-1","Studios","Spider-Man",2002,"Green Goblin",2,58,4.99,7,,,,673419012478,14.4,14.4,4.8,,"",0,0,0,,0,0,,,,,,,,,141.7800,47.9000,"23/04/2002","31/12/2003"
"1376-1","Studios","Spider-Man",2002,"Spider-Man Action Studio",5,248,24.99,30,,,,673419010382,28.8,28.8,6,,"",1,1,0,,0,1,,,,,,,,,120.0900,52.1300,"01/04/2002","30/06/2003"
"1380-1","Studios","",2002,"Werewolf Ambush",3,117,7.99,10,,,5702014151963,,19.2,14.4,4.8,,"",0,0,0,,0,0,,,,,,,,,46.6600,29.3600,"01/06/2002","31/12/2003"
"1381-1","Studios","",2002,"Vampire's Crypt",4,176,14.99,20,,,5702014151970,673419010436,28.8,19.2,7.2,,"",0,0,0,,0,0,,,,,,,,,198.9000,66.6100,"01/06/2002","31/12/2003"
"1382-1","Studios","",2002,"Scary Laboratory",6,493,39.99,50,,,5702014151987,,38.4,28.8,6,,"",0,0,0,,0,0,,,,,,,,,246.4800,98.2700,"01/06/2002","31/12/2003"
"1383-1","Studios","",2002,"Curse of the Pharaoh",2,50,2.99,4,,,,673419012492,14.4,9.6,4.8,,"",0,0,0,,0,0,,,,,,,,,43.6100,19.1700,"01/06/2002","31/12/2003"
"1384-1","Explore","Imagination",2002,"Bird",,6,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,3.4900,,"",""
"1425-1","Alpha Team","Mission Deep Sea",2002,"Alpha Team Jet Sub",1,22,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,9.1000,,"",""
"1426-1","Alpha Team","Mission Deep Sea",2002,"Alpha Team Wing Diver",1,21,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,16.3000,,"",""
"1427-1","Alpha Team","Mission Deep Sea",2002,"Ogel Underwater Slizer",1,21,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,16.2600,,"",""
"1428-1","Sports","Football",2002,"Kick 'n' Score",1,23,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,15.4800,0.7500,"",""
"1429-1","Sports","Football",2002,"Goalkeeper Training",1,23,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,13.0900,2.9800,"",""
"1430-1","Sports","Football",2002,"Precision Training",1,16,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,11.9000,1.8700,"",""
