Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"1100-1","Town","Special",2001,"Sky Pirates",2,109,,17,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,47.9900,27.2000,"",""
"1195-1","Space","Life On Mars",2001,"Alien Encounter",2,42,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,16.5400,5.4900,"",""
"1201-2","Duplo","",2001,"Chicken Run",,6,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1202-1","Racers","Xalax",2001,"Single Racers Figure Pack",1,1,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1237-1","Technic","",2001,"Honda Asimo",,56,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,36.1400,40.0000,"",""
"1238-1","Duplo","",2001,"Medium Bucket",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1239-1","Racers","Xalax",2001,"Subzero",1,4,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,19.9900,3.5500,"",""
"1351-1","Studios","",2001,"Movie Backdrop Studio",3,211,,60,,,,,48,28.8,6,,"",0,0,0,,0,0,,,,,,,,,52.1900,40.0000,"01/01/2001","31/12/2001"
"1352-1","Studios","",2001,"Explosion Studio",4,233,24.99,35,,,5702012012433,,,,,,"",0,0,0,,0,0,,,,,,,,,60.0000,31.5500,"",""
"1353-1","Studios","",2001,"Car Stunt Studio",2,166,14.99,20,,,5702012012440,,,,,,"",0,0,0,,0,0,,,,,,,,,29.0000,18.1100,"",""
"1354-1","Studios","",2001,"Dino Head Attack",2,94,,10,,,5702012010774,,,,,,"",0,0,0,,0,0,,,,,,,,,28.4000,12.9800,"",""
"1355-1","Studios","",2001,"Temple of Gloom",2,58,,7,,,,042884013554,,,,,"",1,1,0,,0,1,,,,,,,,,22.9800,14.9900,"",""
"1356-1","Studios","",2001,"Stuntman Catapult",2,29,2.99,4,,,5702012010798,042884013561,9.6,9.6,4.8,,"",0,0,0,,0,0,,,,,,,,,10.0000,4.2600,"01/01/2001","31/12/2002"
"1357-1","Studios","",2001,"Cameraman",1,21,1.99,2,,,5702012010804,042884013578,9.6,7.2,4.8,,"",0,0,0,,0,0,,,,,,,,,15.4400,5.5100,"01/01/2001","31/12/2002"
"1360-1","Studios","",2001,"Director's Copter",1,22,,3,,,5702012015144,,9.6,14.4,3.9,,"",0,0,0,,0,0,,,,,,,,,10.0000,3.4700,"15/02/2001","31/12/2001"
"1361-1","Studios","",2001,"Camera Car",1,20,,3,,,5702012015151,,9.6,14.4,3.9,,"",0,0,0,,0,0,,,,,,,,,12.6800,3.2400,"15/02/2001","31/12/2001"
"1362-1","Studios","",2001,"Air Boat",1,24,,3,,,5702012015168,,9.6,14.4,3.9,,"",0,0,0,,0,0,,,,,,,,,6.5000,3.7100,"15/02/2001","31/12/2001"
