Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"9664-1","Education","FIRST LEGO League",2013,"FLL Challenge 2013 Nature's Fury",3,2031,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,150.0000,166.9600,"",""
"10232-1","Creator Expert","Modular Buildings Collection",2013,"Palace Cinema",6,2196,129.99,149.99,199.99,139.99,5702014971899,673419189729,58.2,48,9.1,,"",1,1,0,,0,1,,,,,,,,,281.4100,264.9900,"01/03/2013","31/12/2017"
"10233-1","Creator Expert","Trains",2013,"Horizon Express",6,1351,79.99,129.99,169.99,,5702014971912,,53.5,27.8,8.6,1.82,"",0,0,0,,0,0,,,,,,,,,270.8400,227.8900,"01/01/2013","31/12/2014"
"10234-1","Creator Expert","Buildings",2013,"Sydney Opera House",,2989,249.99,319.99,379.99,279.99,5702014971929,,58.2,48,17,5.54,"",0,0,0,,0,0,,,,,,,,,376.7600,261.6300,"01/09/2013","31/12/2016"
"10235-1","Creator Expert","Winter Village",2013,"Winter Village Market",9,1261,79.99,99.99,129.99,,5702014971936,673419189767,47.5,37.1,6.5,,"",0,0,0,,0,0,,,,,,,,,178.7900,197.0500,"01/10/2013","31/12/2014"
"10236-1","Star Wars","Ultimate Collector Series",2013,"Ewok Village",17,1990,199.99,249.99,299.99,249.99,5702014974777,,58.1914,48.006,9.0932,3.15,"",0,0,0,,0,0,,,,,,,,,445.5900,420.1900,"01/09/2013","31/12/2016"
"10237-1","The Lord of the Rings","The Two Towers",2013,"Tower of Orthanc",5,2359,169.99,199.99,249.99,199.99,5702014975194,,48.006,58.1914,9.0932,3.18,"",1,1,0,,0,1,,,,,,,,,410.3100,389.0800,"01/07/2013","31/07/2015"
"10240-1","Star Wars","Ultimate Collector Series",2013,"Red Five X-wing Starfighter",1,1559,169.99,199.99,249.99,199.99,5702014975323,673419191869,58.1914,37.7952,8.7122,2.32,"",0,0,0,,0,0,,,,,,,,,369.0900,307.7700,"01/06/2013","31/12/2015"
"10250-1","Seasonal","Chinese Traditional Festivals",2013,"Year of the Snake",,243,,,,,5702015018883,,38.2,26.2,7.1,,"",0,0,0,,0,0,,,,,,,,,100.0600,75.0000,"01/01/2013","31/12/2013"
"10500-1","Duplo","",2013,"Horse Stable",2,44,24.99,29.99,34.99,29.99,5702014973275,673419215589,38.2016,26.1874,9.398,0.78,"",0,0,0,,0,0,,,,,,,,,27.4000,,"01/01/2013","31/12/2014"
"10501-1","Duplo","Zoo",2013,"Zoo Friends",,5,3.99,4.99,5.99,,5702014973350,673419190855,,,,,"",0,0,0,,0,0,,,,,,,,,8.1200,5.8400,"",""
"10502-1","Duplo","Zoo",2013,"Zoo Bus",2,19,24.99,29.99,39.99,,5702014973367,,,,,0.62,"",0,0,0,,0,0,,,,,,,,,42.2700,24.7500,"",""
"10503-1","Duplo","Circus",2013,"Circus Show",1,25,14.99,14.99,17.99,,5702014973282,673419190794,,,,,"",0,0,0,,0,0,,,,,,,,,23.6200,,"",""
"10504-1","Duplo","Circus",2013,"My First Circus",3,62,34.99,34.99,39.99,,5702014973299,673419190800,48,28.2,7.4,0.95,"",0,0,0,,0,0,,,,,,,,,60.0000,35.0000,"01/01/2013","31/12/2014"
"10505-1","Duplo","",2013,"Play House",3,83,49.99,59.99,69.99,59.99,5702014973305,,48.006,37.7952,11.2014,1.87,"",0,0,0,,0,0,,,,,,,,,80.0000,47.3300,"01/01/2013","30/09/2014"
"10506-1","Duplo","Trains",2013,"Train Accessory Set",,24,15.99,19.99,24.99,19.99,5702014973329,673419215770,28.194,26.1874,9.5504,0.66,"",0,0,0,,0,0,,,,,,,,,30.4400,23.6400,"01/06/2013","30/09/2014"
"10507-1","Duplo","Trains",2013,"My First Train Set",2,52,40.99,44.99,49.99,49.99,5702014973336,673419215787,54.0004,28.194,9.0932,1.238306,"",0,0,0,,0,0,,,,,,,,,80.8400,40.7100,"01/06/2013","31/01/2014"
"10508-1","Duplo","Trains",2013,"Deluxe Train Set",3,134,99.99,109.99,129.99,119.99,5702014973343,,58.1914,48.006,12.7,3.36,"",0,0,0,,0,0,,,,,,,,,140.0700,82.4600,"01/06/2013","31/01/2015"
"10509-1","Duplo","Disney Planes",2013,"Dusty and Chug",2,16,14.99,14.99,14.99,,5702014973428,673419190923,26.2,14.1,9.1,0.25,"",0,0,0,,0,0,,,,,,,,,26.2600,13.1300,"",""
