Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"1166-1","Duplo","",2003,"Stack-n-Learn Gift Item",2,42,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,18.0000,"",""
"1385-1","Clikits","",2003,"Clikits Bracelet",,13,1.49,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,2.4100,,"",""
"1431-1","Bionicle","Bohrok Va",2003,"Tahnok Va",,27,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,6.7900,"",""
"1432-1","Bionicle","Bohrok Va",2003,"Nuhvok Va",,26,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,34.6800,6.7900,"",""
"1433-1","Bionicle","Bohrok Va",2003,"Gahlok Va",,26,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,17.6700,,"",""
"1434-1","Bionicle","Bohrok Va",2003,"Lehvak Va",,25,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,18.6600,"",""
"1441-1","Bionicle","Rahi",2003,"Fikou",,13,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,14.5000,7.4400,"",""
"1729-2","Gear","Pens",2003,"Luke Skywalker pen",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1730-2","Gear","Pens",2003,"Paploo pen",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1731-2","Gear","Pens",2003,"Storm Trooper pen",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1732-2","Gear","Pens",2003,"Obi-Wan Kenobi pen",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1733-2","Gear","Pens",2003,"Tusken Raider pen",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1734-2","Gear","Pens",2003,"Yoda pen",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"3223-1","Creator","Designer Set",2003,"Little Fish",,43,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,6.9900,4.0500,"",""
"3284-1","Explore","Bob the Builder",2003,"Bob's Busy Day",1,9,4.99,5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,30.0000,,"",""
"3285-1","Explore","Bob the Builder",2003,"Wendy in the Office",1,9,4.99,5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,30.0000,13.2000,"",""
"3286-1","Explore","Bob the Builder",2003,"Spud and Bird",1,9,4.99,5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,9.1800,7.0000,"",""
"3287-1","Bionicle","Warriors",2003,"Takutanuva",,399,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,492.1500,214.2400,"",""
"3380-1","Adventurers","Orient Expedition",2003,"Johnny Thunder",1,6,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,36.7400,,"",""
"3381-1","Adventurers","Orient Expedition",2003,"Sam Sinister",1,5,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,34.9900,23.4000,"",""
"3382-1","Adventurers","Orient Expedition",2003,"China Girl",1,4,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,23.5900,10.0100,"",""
"3383-1","World City","Trains",2003,"Chef",1,6,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,16.6300,,"",""
"3384-1","World City","Trains",2003,"Construction Worker",1,4,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,40.0000,1.8800,"",""
"3385-1","World City","Trains",2003,"Train Conductor",1,6,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,40.0000,15.0000,"",""
"3386-1","Island Xtreme Stunts","",2003,"Pepper",1,4,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,13.4500,15.0000,"",""
"3387-1","Island Xtreme Stunts","",2003,"Brickster",1,4,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,5.3800,,"",""
