Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"1029-1","Town","Special",1999,"Milk Delivery Truck",1,95,,,,,,,19.2,9.6,4.8,,"",0,0,0,,0,0,,,,,,,,,226.7200,52.9500,"01/04/1999","31/12/1999"
"1054-1","Promotional","Ferries",1999,"Stena Line Ferry",,212,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,85.2800,66.7400,"",""
"1061-1","Technic","Slizer",1999,"Single Disc Pack",,1,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,5.6500,1.1100,"",""
"1068-1","Town","Extreme Team",1999,"Air Patrol",1,20,,,,,,,9.6,9.6,3.9,,"",0,0,0,,0,0,,,,,,,,,8.5000,3.7400,"01/01/1999","31/12/2001"
"1069-1","Town","Res-Q",1999,"Speedboat",1,22,,,,,,,9.6,9.6,3.9,,"",0,0,0,,0,0,,,,,,,,,13.9200,4.5000,"01/01/1999","31/12/1999"
"1070-1","Town","Extreme Team",1999,"Stunt Flyer",1,20,,3,,,,,9.6,9.6,3.9,,"",0,0,0,,0,0,,,,,,,,,10.0000,1.8200,"01/01/1999","31/12/1999"
"1076-1","Basic","Seasonal",1999,"Advent Calendar",,229,,,,,5702012005008,,,,,,"",0,0,0,,0,0,,,,,,,,,138.0000,34.6200,"",""
"1088-1","Town","Extreme Team",1999,"Road Burner",,25,,,,,,,0,0,0,,"",0,0,0,,0,0,,,,,,,,,9.0000,3.8500,"01/01/1999","31/12/2000"
"1094-1","Adventurers","Desert",1999,"Johnny Thunder",1,13,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,40.6300,4.4100,"",""
"1095-1","Aquazone","Hydronauts",1999,"Super Sub",1,24,,3,,,,,9.6,9.6,3.9,,"",0,0,0,,0,0,,,,,,,,,10.0000,9.0000,"01/01/1999","31/12/1999"
"1096-1","Town","Extreme Team",1999,"Race Buggy",1,23,,,,,,,9.6,9.6,3.9,,"",0,0,0,,0,0,,,,,,,,,7.5000,6.0000,"01/01/1999","31/12/2000"
"1097-1","Town","Res-Q",1999,"Res-Q Runner",1,18,,2,,,,,9.6,9.6,3.9,,"",0,0,0,,0,0,,,,,,,,,7.9700,7.5000,"01/01/1999","31/12/1999"
"1098-1","Town","Extreme Team",1999,"Hang Glider",1,19,,,,,,,9.6,9.6,3.9,,"",0,0,0,,0,0,,,,,,,,,,10.2500,"01/01/1999","31/12/1999"
"1099-1","Castle","Ninja",1999,"Ninja Blaster",1,24,,2,,,,,9.6,9.6,3.9,,"",0,0,0,,0,0,,,,,,,,,19.9500,10.8300,"01/01/1999","31/12/2001"
"1106-2","Basic","",1999,"Basic Building Set, 5+",2,411,,,,,5702012007651,,,,,,"",0,0,0,,0,0,,,,,,,,,,16.3100,"",""
"1127-1","Seasonal","Christmas",1999,"Santa",,39,,,,,,,9.6,7.2,4.8,,"",0,0,0,,0,0,,,,,,,,,8.3100,3.3900,"09/07/1999","31/12/2002"
"1128-1","Seasonal","Christmas",1999,"Santa on Skis",,21,,14,,,,,9.6,7.2,4.8,,"",0,0,0,,0,0,,,,,,,,,16.9900,3.4200,"09/07/1999","31/12/2001"
"1129-1","Seasonal","Christmas",1999,"Santa on Reindeer",,34,,14,,,,,9.6,7.2,4.8,,"",0,0,0,,0,0,,,,,,,,,,,"09/07/1999","31/12/2001"
"1180-1","Town","Space Port",1999,"Space Port Moon Buggy",1,25,,,,,,,7.2,7.2,4.8,,"",0,0,0,,0,0,,,,,,,,,15.0000,3.9000,"01/01/1999","31/12/1999"
"1181-1","Town","Space Port",1999,"Space Jet",1,23,,,,,,,7.2,7.2,4.8,,"",0,0,0,,0,0,,,,,,,,,13.4500,8.3000,"01/01/1999","31/12/1999"
