Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"10251-1","Creator Expert","Modular Buildings Collection",2016,"Brick Bank",5,2380,129.99,169.99,219.99,149.99,5702015591058,,58,37.5,8.2,,"",1,1,0,,0,1,,,,,,,,,471.2600,409.0000,"01/01/2016","31/12/2018"
"10252-1","Creator Expert","Vehicles",2016,"Volkswagen Beetle",,1167,74.99,99.99,129.99,87.72,5702015591171,,48,28,7,,"",0,0,0,,0,0,,,,,,,,,125.5700,104.3200,"01/08/2016","31/12/2020"
"10253-1","Creator Expert","Buildings",2016,"Big Ben",,4163,179.99,249.99,299.99,219.99,5702015591515,,58.2,48,9.1,,"",0,0,0,,0,0,,,,,,,,,381.8600,296.1800,"01/07/2016","31/12/2018"
"10254-1","Creator Expert","Winter Village",2016,"Winter Holiday Train",5,734,74.99,99.99,129.99,89.99,5702015591065,,48,28,9,,"",0,0,0,,0,0,,,,,,,,,173.7100,158.3600,"01/10/2016","31/12/2019"
"10654-1","Classic","Basic Set",2016,"XL Creative Brick Box",,1600,49.99,,,59.99,5702015779081,673419260787,,,,,"",0,0,0,,0,0,,,,,,,,,106.0300,60.0000,"",""
"10702-1","Classic","",2016,"Creative Building Set",,583,19.99,29.99,39.99,24.99,5702015604345,,26,22,16.2,,"",0,0,0,,0,0,,,,,,,,,39.4200,22.9900,"01/01/2016","31/12/2017"
"10705-1","Classic","",2016,"Creative Building Basket",,1000,39.99,59.99,79.99,39.99,5702015604352,673419250955,33.8,20.8,22.4,,"",0,0,0,,0,0,,,,,,,,,69.3800,46.2700,"01/06/2016","31/12/2017"
"10720-1","Juniors","City",2016,"Police Helicopter Chase",2,63,8.99,9.99,12.99,9.99,,673419247139,15.6972,14.097,6.096,0.1406135,"",0,0,0,,0,0,,,,,,,,,11.5700,7.5000,"01/01/2016","31/12/2017"
"10721-1","Juniors","Marvel Super Heroes",2016,"Iron Man vs. Loki",2,66,11.99,12.99,17.99,12.99,,673419247504,15.6972,14.097,4.4958,0.1362,"",0,0,0,,0,0,,,,,,,,,36.8100,22.8000,"01/01/2016","31/12/2016"
"10722-1","Juniors","Ninjago",2016,"Snake Showdown",2,92,12.99,14.99,17.99,14.99,,673419247535,19.1008,14.097,6.096,0.1950446,"",0,0,0,,0,0,,,,,,,,,15.4600,7.2200,"01/01/2016","31/12/2017"
"10723-1","Juniors","Disney Princess",2016,"Ariel's Dolphin Carriage",1,70,12.99,14.99,17.99,14.99,,673419247771,19.1008,14.097,4.5974,0.1542213,"",0,0,0,,0,0,,,,,,,,,20.4400,10.8000,"01/01/2016","31/07/2017"
"10724-1","Juniors","DC Comics Super Heroes",2016,"Batman & Superman vs. Lex Luthor",3,164,19.99,19.99,24.99,19.99,,673419247825,26.2128,19.1008,6.096,0.3583377,"",0,0,0,,0,0,,,,,,,,,41.1700,28.9300,"01/06/2016","31/12/2017"
"10725-1","Juniors","Ninjago",2016,"Lost Temple",3,172,24.99,29.99,39.99,34.99,,673419247962,28.194,26.2128,5.8928,0.4808075,"",0,0,0,,0,0,,,,,,,,,28.4800,25.0000,"01/01/2016","31/12/2017"
"10726-1","Juniors","Friends",2016,"Stephanie's Horse Carriage",1,58,8.99,12.99,15.99,9.99,,673419247993,15.6972,14.097,4.4958,0.1315417,"",0,0,0,,0,0,,,,,,,,,15.6900,9.7400,"01/06/2016","31/12/2017"
"10727-1","Juniors","Friends",2016,"Emma's Ice Cream Truck",2,136,17.99,19.99,24.99,19.99,,673419248013,26.2128,19.1008,6.096,0.3311222,"",0,0,0,,0,0,,,,,,,,,39.2700,15.9000,"01/06/2016","31/12/2017"
"10728-1","Juniors","Friends",2016,"Mia's Vet Clinic",2,173,24.99,29.99,39.99,29.99,,673419248044,28.194,26.2128,5.8928,0.4717357,"",0,0,0,,0,0,,,,,,,,,47.4200,20.3100,"01/06/2016","31/12/2017"
"10729-1","Juniors","Disney Princess",2016,"Cinderella's Carriage",2,116,19.99,24.99,24.99,24.99,,673419248266,26.2128,19.1008,4.5974,0.2948348,"",0,0,0,,0,0,,,,,,,,,35.1100,21.0000,"01/01/2016","31/12/2017"
"10801-1","Duplo","",2016,"Baby Animals",,13,9.99,9.99,12.99,9.99,5702015597883,673419250139,19.1,14.1,7.1,,"",0,0,0,,0,0,,,,,,,,,20.6000,11.4700,"01/01/2016","31/12/2017"
"10802-1","Duplo","",2016,"Savanna",1,18,16.99,19.99,24.99,19.99,5702015597890,673419250146,26.2,19.1,9.1,,"",0,0,0,,0,0,,,,,,,,,15.3500,,"01/01/2016","31/12/2016"
"10803-1","Duplo","",2016,"Arctic",2,40,24.99,29.99,39.99,29.99,5702015597906,673419250559,38.2,26.2,9.4,,"",0,0,0,,0,0,,,,,,,,,50.0000,32.9400,"01/01/2016","31/12/2017"
"10804-1","Duplo","",2016,"Jungle",2,86,44.99,49.99,64.99,59.99,5702015597913,673419250566,35.4,37.8,11.8,,"",0,0,0,,0,0,,,,,,,,,67.8800,,"01/01/2016","31/12/2017"
