Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"1298-1","Classic","",1998,"Advent Calendar",,158,,20,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,34.9900,20.0000,"",""
"1800-1","Duplo","",1998,"Turtle",,6,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,4.0000,,"",""
"2000-1","Primo","",1998,"Sally Starfish",,1,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,14.8400,2.1800,"",""
"2001-1","Primo","",1998,"Sun Set",,3,,7,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2002-1","Primo","",1998,"Jumbo Building Bag",,80,,20,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2007-1","Primo","",1998,"Singing Camel",1,1,,13,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,19.1500,"",""
"2011-1","Primo","",1998,"My Home Stack 'n' Learn Set",1,5,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2012-1","Primo","",1998,"Lucy Ladybug",,13,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2013-1","Primo","",1998,"My First Train Stack 'n' Learn Set",1,10,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,17.3900,"",""
"2017-1","Primo","",1998,"Choo Choo Train",1,13,,20,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2018-1","Primo","",1998,"Little Brother Stack 'n' Learn Set",1,19,,15,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,11.0000,"",""
"2019-1","Primo","",1998,"Bumper Stack and Learn Set",,30,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2021-1","Primo","",1998,"Clarence Caterpillar and Friends Gift Set",,7,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2022-1","Primo","",1998,"Edward Elephant",,11,,30,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2028-2","Primo","",1998,"Try-Me-Set with Bee",,5,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2130-1","Basic","",1998,"Duck",,7,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,5.0900,0.4100,"",""
"2131-1","Basic","",1998,"Hippo",,6,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,4.2900,0.5400,"",""
"2132-1","Basic","",1998,"Cow",,10,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,2.5200,2.1800,"",""
"2133-1","Basic","",1998,"Bull",,12,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,3.8200,,"",""
"2134-1","Basic","",1998,"Bison",,10,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,5.1900,0.4100,"",""
"2198-1","Duplo","",1998,"Building Plates",,3,8.49,6.99,9.99,,,673419125611,29.21,19.51,1.7,0.21,"",0,0,0,,0,0,,,,,,,,,8.1700,5.0700,"",""
"2222-1","Duplo","",1998,"Tunnel Fun",1,33,,18,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,39.6800,,"",""
"2223-1","Duplo","",1998,"Spooky House",2,39,,24,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,32.0000,"",""
"2224-1","Duplo","",1998,"Duplo Tub",2,118,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,26.9200,"",""
"2226-1","Duplo","",1998,"Duplo Bucket",,50,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,20.9200,,"",""
"2234-1","Town","Special",1998,"Police Chase",5,146,,,,,,,38.4,28.8,6,,"",0,0,0,,0,0,,,,,,,,,137.4100,74.2000,"01/01/1998","31/12/2001"
"2268-1","Duplo","",1998,"Katie Cat Bucket",1,49,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2269-1","Duplo","",1998,"Build a Zoo",1,89,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2270-1","Duplo","",1998,"Spotty Dog Set",,6,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2271-1","Duplo","",1998,"Boy with Barrow",1,4,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,4.1700,"",""
"2277-1","Duplo","",1998,"Boy with Cat",1,8,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2279-1","Duplo","Basic Set",1998,"Tubular Motion",2,90,,,,,,,29.6,23.8,23.8,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2431-1","Duplo","",1998,"Big Chief Brown Bear and Canoe",1,3,,5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,10.9900,4.8600,"",""
"2432-1","Duplo","",1998,"Big Chief's Camp",3,18,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,40.0600,17.8100,"",""
"2433-1","Duplo","",1998,"Stagecoach",2,8,,13,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,48.4700,19.3100,"",""
"2434-1","Duplo","Western",1998,"Sheriff Jake",2,33,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,178.9200,31.0000,"",""
"2435-1","Duplo","",1998,"Western Town",4,37,,30,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,24.9900,"",""
"2436-1","Duplo","",1998,"Big Chief Brown Bear's Camp",4,45,,35,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,49.5700,23.3500,"",""
"2437-1","Duplo","Western",1998,"Sheriff Canister",2,69,,,,,,,31.5,24,22,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2438-1","Duplo","",1998,"Big Western Set",6,62,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2449-1","Basic","",1998,"Basic Building Set, 3+",,466,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2453-1","Basic","",1998,"Large Bulk Bucket",,1000,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2490-1","Space","Bonus/Value Pack",1998,"Insectoids Combined Set",,172,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2494-1","Basic","",1998,"Purple Bucket Set",,400,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,50.0000,"",""
"2531-1","Town","Special",1998,"Rescue Chopper",2,97,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,26.0000,16.6500,"",""
"2532-1","Town","Special",1998,"Aircraft and Ground Crew",3,143,,19.75,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,175.0000,30.6000,"",""
"2535-1","Town","Racing",1998,"Formula 1 Racing Car",1,29,,2,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,10.3000,4.0400,"",""
"2536-1","Town","Divers",1998,"Divers Jet Ski",1,23,,2,,,,,9.6,9.6,3.9,,"",0,0,0,,0,0,,,,,,,,,6.0200,2.7500,"01/01/1998","31/12/1999"
"2537-1","Town","Extreme Team",1998,"Extreme Team Raft",1,24,,2,,,5702010925377,,,,,,"",0,0,0,,0,0,,,,,,,,,4.5900,4.3600,"",""
"2538-1","Castle","Fright Knights",1998,"Fire-Cart",1,20,,2,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,20.3000,8.5800,"",""
"2539-1","Castle","Fright Knights",1998,"Flying Machine",1,21,,2,,,5702010925391,,9.6,9.6,3.9,,"",0,0,0,,0,0,,,,,,,,,20.6500,11.3600,"01/01/1998","31/12/1999"
"2540-1","Castle","Fright Knights",1998,"Catapault Cart",1,28,,2,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,14.0900,8.8200,"",""
"2541-1","Adventurers","Desert",1998,"Adventurers Car",1,24,,2,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,13.2200,7.1900,"",""
"2542-1","Adventurers","Desert",1998,"Adventurers Aeroplane",1,21,,2,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,15.6600,5.9700,"",""
"2543-1","Space","UFO",1998,"Spacecraft",1,18,,2,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,14.3800,6.2400,"",""
"2544-1","Technic","",1998,"Motorcycle",,27,,1.5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,5.6500,2.6100,"",""
"2554-1","Town","Racing",1998,"Formula 1 Pit Stop",5,168,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,36.6300,21.8800,"",""
"2555-1","Belville","",1998,"Belville Swing Set",2,47,,9,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,49.0000,29.5200,"",""
"2556-1","Model Team","",1998,"Ferrari Formula 1 Racing Car",,580,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,82.0000,60.8900,"",""
"2583-1","Duplo","",1998,"Fire Truck",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
