Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"75547-1","Minions: The Rise of Gru","",2021,"Minion Pilot in Training",2,119,29.99,29.99,39.99,34.99,5702016619171,673419320153,35.4,19.1,5.9,0.36,"",0,0,0,,0,0,,,,,,,,,27.4000,,"26/04/2021","31/12/2022"
"75550-1","Minions: The Rise of Gru","",2021,"Minions Kung Fu Battle",3,310,34.99,39.99,49.99,39.99,5702016619201,673419320184,28.2,26.2,5.9,0.42,"",0,0,0,,0,0,,,,,,,,,30.3400,,"26/04/2021","31/12/2022"
"76145-1","Marvel Super Heroes","Eternals",2021,"Eternals' Aerial Assault",2,133,8.99,9.99,13.99,9.99,5702016831337,673419333900,0,0,0,0,"",0,0,0,,0,0,,,,,,,,,9.0000,,"01/10/2021","31/12/2022"
"76154-1","Marvel Super Heroes","Eternals",2021,"Deviant Ambush!",3,197,17.99,24.99,29.99,19.99,5702016619355,673419320450,0,0,0,0,"",0,0,0,,0,0,,,,,,,,,18.6600,,"01/10/2021","31/12/2022"
"76155-1","Marvel Super Heroes","Eternals",2021,"In Arishem's Shadow",4,493,59.99,59.99,79.99,69.99,5702016619409,673419320467,0,0,0,0,"",0,0,0,,0,0,,,,,,,,,57.6200,,"01/10/2021","31/12/2022"
"76156-1","Marvel Super Heroes","Eternals",2021,"Rise of the Domo",6,1040,89.99,89.99,119.99,99.99,5702016619362,673419320474,0,0,0,0,"",0,0,0,,0,0,,,,,,,,,87.5100,,"01/10/2021","31/12/2022"
"76168-1","Marvel Super Heroes","Avengers",2021,"Captain America Mech Armor",1,121,8.99,9.99,13.99,9.99,5702016912739,,14.1,15.7,4.5,,"",0,0,0,,0,0,,,,,,,,,10.9800,,"01/01/2021","31/12/2021"
"76169-1","Marvel Super Heroes","Avengers",2021,"Thor Mech Armor",1,139,8.99,9.99,13.99,9.99,5702016912746,,14.1,15.7,4.5,,"",0,0,0,,0,0,,,,,,,,,9.2000,,"01/01/2021","31/12/2021"
"76170-1","Marvel Super Heroes","Avengers",2021,"Iron Man vs. Thanos",2,103,17.99,19.99,24.99,19.99,5702016912753,673419339568,20.5,19.1,6.1,,"",0,0,0,,0,0,,,,,,,,,20.3200,,"01/03/2021","31/12/2021"
"76171-1","Marvel Super Heroes","Spider-Man",2021,"Miles Morales Mech Armor",1,125,8.99,9.99,13.99,9.99,5702016912760,,14.1,15.7,4.5,,"",0,0,0,,0,0,,,,,,,,,10.4300,9.0000,"01/01/2021","31/12/2021"
"76172-1","Marvel Super Heroes","Spider-Man",2021,"Spider-Man and Sandman Showdown",2,45,8.99,9.99,13.99,9.99,5702016912777,,14.1,12.2,6.1,,"",0,0,0,,0,0,,,,,,,,,9.4300,,"01/01/2021","31/12/2021"
"76173-1","Marvel Super Heroes","Spider-Man",2021,"Spider-Man and Ghost Rider vs. Carnage",3,212,17.99,19.99,24.99,19.99,5702016912784,,26.2,19.1,4.6,,"",0,0,0,,0,0,,,,,,,,,18.7300,16.5000,"01/01/2021","31/12/2021"
"76174-1","Marvel Super Heroes","Spider-Man",2021,"Spider-Man's Monster Truck vs. Mysterio",4,439,44.99,39.99,49.99,49.99,5702016912791,,26.2,22.2,9.5,,"",0,0,0,,0,0,,,,,,,,,42.1400,30.0000,"01/01/2021","31/12/2021"
"76175-1","Marvel Super Heroes","Spider-Man",2021,"Attack on the Spider Lair",6,466,69.99,69.99,89.99,79.99,5702016912876,673419339230,48,28.2,6.1,,"",0,0,0,,0,0,,,,,,,,,68.2900,,"01/03/2021","31/12/2022"
"76176-1","Marvel Super Heroes","Shang-Chi and the Legend of the Ten Rings",2021,"Escape from The Ten Rings",4,321,24.99,29.99,39.99,29.99,5702016912883,673419339247,35.4,19.1,5.9,,"",0,0,0,,0,0,,,,,,,,,19.8800,,"26/04/2021","31/12/2022"
"76177-1","Marvel Super Heroes","Shang-Chi and the Legend of the Ten Rings",2021,"Battle at the Ancient Village",4,400,34.99,39.99,49.99,39.99,5702016912890,673419339650,22.2,26.2,6.2,,"",0,0,0,,0,0,,,,,,,,,32.4800,,"26/04/2021","31/12/2022"
"76178-1","Marvel Super Heroes","Spider-Man",2021,"Daily Bugle",25,3772,264.99,299.99,399.99,299.99,5702016912807,673419339612,48,58.2,17,,"",0,0,0,,0,0,,,,,,,,,345.7300,328.4000,"01/06/2021","31/12/2023"
"76180-1","DC Comics Super Heroes","Batman",2021,"Batman vs. The Joker: Batmobile Chase",3,136,24.99,29.99,39.99,29.99,5702016912975,673419339483,35.4,19.1,5.9,,"",0,0,0,,0,0,,,,,,,,,28.6500,,"26/04/2021","31/12/2022"
"76182-1","DC Comics Super Heroes","Batman",2021,"Batman Cowl",,410,54.99,59.99,79.99,59.99,5702016912999,673419339506,19.1,35.4,9.1,,"",0,0,0,,0,0,,,,,,,,,50.5400,41.0000,"26/04/2021","31/12/2022"
"76184-1","Marvel Super Heroes","Spider-Man: Far From Home",2021,"Spider-Man vs. Mysterio's Drone Attack",3,73,17.99,19.99,24.99,19.99,5702016913019,,26.2,14.1,4.8,,"",0,0,0,,0,0,,,,,,,,,19.6000,,"01/10/2021","31/12/2022"
"76185-1","Marvel Super Heroes","Spider-Man: No Way Home",2021,"Spider-Man at the Sanctum Workshop",4,355,34.99,39.99,49.99,39.99,5702016913026,,26.2,22.2,7.6,,"",0,0,0,,0,0,,,,,,,,,43.1100,,"01/10/2021","31/12/2022"
"76186-1","Marvel Super Heroes","Avengers: Endgame",2021,"Black Panther Dragon Flyer",3,202,17.99,19.99,24.99,19.99,5702016913033,673419339544,26.2,19.1,4.6,,"",0,0,0,,0,0,,,,,,,,,16.1300,,"01/06/2021","31/12/2022"
"76187-1","Marvel Super Heroes","Spider-Man",2021,"Venom",,565,54.99,59.99,79.99,59.99,5702016913088,673419339759,19.1,35.4,9.1,,"",0,0,0,,0,0,,,,,,,,,54.9400,45.0900,"26/04/2021","31/12/2023"
