Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"2064-1","City","Airport",2007,"Rescue plane",2,116,,,,,,673419098175,19.2,9.6,6,,"",0,0,0,,0,0,,,,,,,,,56.8000,21.3500,"01/03/2007","31/12/2008"
"3288-1","Duplo","Bob the Builder",2007,"Packer",2,19,14.99,19.99,,,5702014500235,,,,,,"",0,0,0,,0,0,,,,,,,,,44.6400,24.9900,"",""
"3289-1","Duplo","Bob the Builder",2007,"Muck & Roley in the Sunflower Factory",3,37,24.99,29.99,,,5702014500228,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"3352-1","Duplo","Thomas the Tank Engine",2007,"Salty the Dockyard Diesel",1,8,14.65,12.99,,,,673419091763,28.8,19.2,6,0.31,"",0,0,0,,0,0,,,,,,,,,75.0000,15.2800,"",""
"3353-1","Duplo","Thomas the Tank Engine",2007,"Spencer and Sir Topham Hatt",2,45,24.49,29.99,,,,673419091732,43.2,28.8,7.2,0.97,"",0,0,0,,0,0,,,,,,,,,79.6700,28.2800,"",""
"3354-1","Duplo","Thomas the Tank Engine",2007,"Gordon's Express",1,13,19.55,19.99,,,,673419093675,38.4,19.2,7.2,0.5,"",0,0,0,,0,0,,,,,,,,,63.6400,51.2700,"",""
"3573-1","Sports","Football",2007,"Superstar Figure ",1,6,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,349.0000,258.8700,"",""
"3870-1","Exo-Force","Golden City",2007,"Red Walker",1,29,,,,,5702014507692,,14,14,1,,"",0,0,0,,0,0,,,,,,,,,28.1800,9.5400,"01/02/2007","31/12/2007"
"3871-1","Exo-Force","Golden City",2007,"White Flyer",1,21,,,,,,,14,14,1,,"",0,0,0,,0,0,,,,,,,,,22.2600,9.5400,"01/02/2007","31/12/2007"
"3885-1","Exo-Force","Golden City",2007,"Mini Jet Fighter",1,22,,,,,,,14,14,1,,"",0,0,0,,0,0,,,,,,,,,11.8400,4.9400,"01/02/2007","31/12/2007"
"3886-1","Exo-Force","Golden City",2007,"Green Exo Fighter",1,19,,,,,,,14,14,1,,"",0,0,0,,0,0,,,,,,,,,5.8500,4.2800,"01/02/2007","31/12/2007"
"4206-1","Trains","9V",2007,"9V Train Switching Track Collection",,27,,44.99,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,115.0000,,"",""
"4825-1","Duplo","Princess Castle",2007,"Princess and Horse",1,8,7.99,9.99,,,5702014500136,,,,,,"",0,0,0,,0,0,,,,,,,,,43.0000,36.9000,"",""
"4826-1","Duplo","Princess Castle",2007,"Princess and Pony Picnic",1,19,19.55,19.99,,,5702014499843,,,,,,"",0,0,0,,0,0,,,,,,,,,37.8400,59.5500,"",""
"4828-1","Duplo","Princess Castle",2007,"Princess Royal Stables",2,49,34.99,39.99,,,5702014500143,,38.4,38.4,7.2,,"",0,0,0,,0,0,,,,,,,,,140.0000,76.7500,"01/03/2007","31/12/2008"
"4861-1","Duplo","LEGO Ville",2007,"Police Boat",3,27,19.55,24.99,,,5702014500341,,,,,,"",0,0,0,,0,0,,,,,,,,,54.9200,32.6000,"",""
"4915-1","Creator","3 in 1",2007,"Mini Construction",,68,3.99,4.99,,,5702014500013,673419091633,10.2,14.35,4.8,0.1,"",0,0,0,,0,0,,,,,,,,,14.3900,3.8200,"01/01/2007","31/12/2008"
"4916-1","Creator","3 in 1",2007,"Mini Animals",,77,3.99,4.99,,,5702014500006,673419091626,10.2,14.35,4.8,0.12,"",0,0,0,,0,0,,,,,,,,,7.4400,3.8900,"01/01/2007","31/12/2007"
"4917-1","Creator","3 in 1",2007,"Mini Robots",,77,3.99,4.99,,,5702014499997,673419091619,10.2,14.35,4.8,0.11,"",0,0,0,,0,0,,,,,,,,,13.0000,2.6700,"01/01/2007","31/12/2007"
"4918-1","Creator","3 in 1",2007,"Mini Flyers",,76,3.99,4.99,,,5702014499980,673419091602,10.2,14.35,4.8,0.1,"",0,0,0,,0,0,,,,,,,,,11.2800,2.8200,"01/01/2007","31/12/2008"
"4936-1","City","Medical",2007,"Doc & Patient",2,18,,2.99,,,5702014482876,,,,,,"",0,0,0,,0,0,,,,,,,,,15.0000,5.5000,"",""
"4937-1","City","General",2007,"Life Guard",1,38,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,35.3300,15.0000,"",""
"4938-1","City","Fire",2007,"Fire 4x4",1,28,,,,,5702014521490,,,,,,"",0,0,0,,0,0,,,,,,,,,8.2600,5.0000,"",""
"4939-1","Creator","3 in 1",2007,"Cool Cars",,206,7.99,12.99,,,5702014499904,673419091503,28.8,19.2,4.8,0.29,"",0,0,0,,0,0,,,,,,,,,25.2000,7.0600,"",""
"4953-1","Creator","3 in 1",2007,"Fast Flyers",,312,,19.99,,,5702014499973,673419091596,28.8,28.8,6,0.59,"",0,0,0,,0,0,,,,,,,,,64.9900,18.0400,"01/01/2007","31/12/2008"
"4954-1","Creator","3 in 1",2007,"Model Town House",,1174,44.99,69.99,,,5702014499836,673419091589,57.6,38.4,9.6,2.33,"",0,0,0,,0,0,,,,,,,,,312.1100,167.1200,"01/07/2007","31/12/2008"
"4955-1","Creator","3 in 1",2007,"Big Rig",,550,19.99,30,,,,673419091657,38.4,28.8,7.2,1.07,"",0,0,0,,0,0,,,,,,,,,123.1500,57.7700,"01/07/2007","31/12/2008"
"4956-1","Creator","3 in 1",2007,"House",,731,36.19,49.99,,,5702014500020,673419091640,48,38.4,7.2,1.63,"",0,0,0,,0,0,,,,,,,,,189.5200,77.4100,"01/01/2007","31/12/2009"
"4957-1","Creator","3 in 1",2007,"Ferris Wheel",,1063,48.95,69.99,,,,673419091671,57.6,38.4,7.2,1.96,"",0,0,0,,0,0,,,,,,,,,294.2400,94.1600,"01/07/2007","31/12/2008"
"4958-1","Creator","3 in 1",2007,"Monster Dino",,792,68.49,89.99,,,5702014500044,673419091664,65.2,38.4,7.2,1.65,"",0,0,0,,0,0,,,,,,,,,325.2700,106.5200,"01/07/2007","31/12/2008"
"4972-1","Duplo","LEGO Ville",2007,"Animals",1,13,7.79,12.99,,,5702014500211,,,,,,"",0,0,0,,0,0,,,,,,,,,22.4000,8.5000,"",""
"4973-1","Duplo","LEGO Ville",2007,"Harvester",1,11,17.99,24.99,,,5702014500204,,,,,,"",0,0,0,,0,0,,,,,,,,,127.9300,33.1300,"",""
"4974-1","Duplo","LEGO Ville",2007,"Horse Stables",2,36,24.49,39.99,,,5702014500198,,38.4,28.8,9.6,,"",0,0,0,,0,0,,,,,,,,,52.2600,18.0000,"01/02/2007","31/12/2009"
"4975-1","Duplo","LEGO Ville",2007,"Farm",2,42,29.35,49.99,,,5702014500181,673419126823,48,28.8,9.6,,"",0,0,0,,0,0,,,,,,,,,80.0000,43.6700,"01/02/2007","31/12/2009"
"4976-1","Duplo","LEGO Ville",2007,"Cement Mixer",1,11,12.99,16.99,,,5702014500174,,,,,,"",0,0,0,,0,0,,,,,,,,,50.8300,19.9800,"",""
"4977-1","Duplo","LEGO Ville",2007,"Fire Truck",2,26,17.99,29.99,39.99,,5702014500167,673419124553,38.4,19.2,9.6,0.68,"",0,0,0,,0,0,,,,,,,,,58.7200,21.5700,"",""
"4978-1","Duplo","LEGO Ville",2007,"Road Sweeper",1,11,9.79,14.99,,,5702014500358,,,,,,"",0,0,0,,0,0,,,,,,,,,38.2400,14.4200,"",""
"4979-1","Duplo","LEGO Ville",2007,"Ambulance",1,6,12.99,14.99,,,5702014500150,,,,,,"",0,0,0,,0,0,,,,,,,,,35.5800,15.8300,"",""
"4981-1","SpongeBob SquarePants","",2007,"The Chum Bucket",1,337,24.49,34.99,,,5702014500747,673419092098,38.4,28.8,4.8,0.5,"",0,0,0,,0,0,,,,,,,,,132.1100,54.2400,"01/08/2007","31/12/2008"
"4982-1","SpongeBob SquarePants","",2007,"Mrs. Puff's Boating School",3,393,37.19,49.99,,,5702014500730,673419092081,48,28.8,6,0.75,"",0,0,0,,0,0,,,,,,,,,153.0700,80.3300,"01/08/2007","31/12/2008"
"4986-1","Duplo","LEGO Ville",2007,"Digger",1,19,19.99,22.99,,,5702014623248,,,,,,"",0,0,0,,0,0,,,,,,,,,85.0400,41.1500,"",""
"4987-1","Duplo","LEGO Ville",2007,"Gravel Pit",2,40,29.35,39.99,,,5702014500259,,48,28.8,9.6,,"",0,0,0,,0,0,,,,,,,,,76.7500,41.5000,"01/08/2007","31/12/2009"
"4988-1","Duplo","LEGO Ville",2007,"Construction Site",3,84,48.95,59.99,,,5702014500242,673419128322,57.6,38.4,9.6,,"",0,0,0,,0,0,,,,,,,,,129.9000,61.1100,"01/08/2007","31/12/2009"
"4991-1","City","Police",2007,"Police Helicopter",1,31,,,,,5702014516410,,14,14,1,,"",0,0,0,,0,0,,,,,,,,,6.7700,3.5400,"01/07/2007","31/12/2008"
"4992-1","City","Fire",2007,"Fire Boat",1,27,,,,,5702014509405,,14,14,1,,"",0,0,0,,0,0,,,,,,,,,5.2800,4.1600,"01/07/2007","31/12/2008"
"5378-1","Harry Potter","Order of the Phoenix",2007,"Hogwarts Castle",9,943,69.99,89.99,,,5702014499522,673419091282,57.6,38.4,7.2,1.65,"",0,0,0,,0,0,,,,,,,,,697.0400,368.0000,"01/06/2007","31/12/2007"
"5380-1","Duplo","",2007,"Duplo Large Brick Box",1,71,19.99,29.99,,,5702014499775,673419091497,38.4,19.2,22.8,1.18,"",0,0,0,,0,0,,,,,,,,,,20.5000,"",""
"5416-1","Duplo","",2007,"Duplo Brick Box",,33,13.99,19.99,21.99,,,673419093682,28.8,19.2,20.3,0.65,"",0,0,0,,0,0,,,,,,,,,,12.0000,"01/01/2007","31/12/2011"
"5417-1","Duplo","",2007,"Duplo Deluxe Brick Box",1,95,34.25,49.99,,,5702014499737,,,,,,"",0,0,0,,0,0,,,,,,,,,,29.1600,"",""
"5419-1","Duplo","",2007,"Build a Farm",1,107,24.99,29.99,,,5702014525528,,48,28.8,7.2,,"",0,0,0,,0,0,,,,,,,,,43.9600,,"01/06/2007","31/07/2008"
"5491-2","Make and Create","",2007,"LEGO XXL 2000 Barrel",,2000,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5493-1","Make and Create","",2007,"Emergency Rescue Box",,705,,30,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,58.0900,,"",""
