Number,Theme,Subtheme,Year,RRP (USD),Value new (USD),Minifigs,Pieces,Launch date,Retired Date
76238-1,DC Comics Super Heroes,Batman Classic TV Series,2021,59.99,60.56,,372.0,01/10/2021,31/12/2022
76239-1,DC Comics Super Heroes,The Dark Knight Trilogy,2021,39.99,44.18,2.0,422.0,01/10/2021,31/12/2022
76240-1,DC Comics Super Heroes,The Dark Knight Trilogy,2021,229.99,197.06,2.0,2049.0,01/11/2021,31/12/2023
76382-1,Harry Potter,Hogwarts Moments,2021,29.99,25.45,3.0,241.0,01/01/2021,31/12/2022
76383-1,Harry Potter,Hogwarts Moments,2021,29.99,27.49,3.0,271.0,01/01/2021,31/12/2022
76384-1,Harry Potter,Hogwarts Moments,2021,29.99,28.54,3.0,233.0,01/01/2021,31/12/2021
76385-1,Harry Potter,Hogwarts Moments,2021,29.99,30.49,3.0,256.0,01/01/2021,31/12/2022
76386-1,Harry Potter,Chamber of Secrets,2021,19.99,19.61,4.0,217.0,01/06/2021,31/12/2022
76387-1,Harry Potter,Philosopher's Stone,2021,39.99,36.89,4.0,397.0,01/06/2021,31/12/2022
76388-1,Harry Potter,Prisoner of Azkaban,2021,79.99,73.95,7.0,851.0,01/09/2021,31/12/2024
76389-1,Harry Potter,Chamber of Secrets,2021,129.99,130.5,11.0,1176.0,01/06/2021,31/12/2024
76390-1,Harry Potter,Seasonal,2021,39.99,30.97,6.0,274.0,01/09/2021,31/12/2021
76391-1,Harry Potter,General,2021,249.99,268.43,3.0,3010.0,02/09/2021,31/12/2024
76392-1,Harry Potter,Philosopher's Stone,2021,59.99,83.3,4.0,876.0,01/06/2021,31/12/2023
76393-1,Harry Potter,General,2021,119.99,86.23,,1673.0,01/06/2021,31/12/2023
76394-1,Harry Potter,General,2021,39.99,46.28,1.0,597.0,01/06/2021,31/12/2022
76395-1,Harry Potter,Philosopher's Stone,2021,29.99,33.09,5.0,264.0,01/06/2021,31/12/2022
76900-1,Speed Champions,,2021,19.99,18.47,1.0,280.0,01/06/2021,31/12/2022
76901-1,Speed Champions,Toyota,2021,19.99,20.13,1.0,299.0,01/06/2021,31/12/2022
76902-1,Speed Champions,McLaren,2021,19.99,19.24,1.0,263.0,01/06/2021,31/12/2022
76903-1,Speed Champions,Chevrolet,2021,29.99,33.77,2.0,512.0,01/06/2021,31/12/2022
76904-1,Speed Champions,Dodge,2021,49.99,53.23,2.0,627.0,01/06/2021,31/12/2022
76905-1,Speed Champions,Ford,2021,49.99,57.8,2.0,660.0,01/06/2021,31/12/2022
76939-1,Jurassic World, Camp Cretaceous,2021,39.99,38.66,3.0,129.0,01/09/2021,31/12/2022
76940-1,Jurassic World, Camp Cretaceous,2021,29.99,27.91,2.0,198.0,01/09/2021,31/12/2022
76941-1,Jurassic World, Camp Cretaceous,2021,49.99,47.57,3.0,240.0,01/09/2021,31/12/2022
76942-1,Jurassic World, Camp Cretaceous,2021,79.99,72.78,4.0,308.0,01/09/2021,31/12/2022
80018-1,Monkie Kid,Season 2,2021,24.99,26.85,3.0,203.0,01/03/2021,31/12/2021
80019-1,Monkie Kid,Season 2,2021,34.99,33.13,3.0,299.0,01/03/2021,31/12/2022
80020-1,Monkie Kid,Season 2,2021,49.99,47.3,3.0,565.0,01/03/2021,31/12/2022
80021-1,Monkie Kid,Season 2,2021,79.99,71.18,5.0,774.0,01/03/2021,31/12/2023
80022-1,Monkie Kid,Season 2,2021,119.99,140.26,6.0,1170.0,01/03/2021,31/12/2022
80023-1,Monkie Kid,Season 2,2021,149.99,154.21,9.0,1462.0,01/03/2021,31/12/2022
80024-1,Monkie Kid,Season 2,2021,169.99,202.93,8.0,1949.0,01/10/2021,31/12/2022
80026-1,Monkie Kid,Season 2,2021,59.99,57.61,4.0,662.0,01/07/2021,31/12/2022
80028-1,Monkie Kid,Season 2,2021,119.99,108.26,5.0,1375.0,01/07/2021,31/12/2022
80106-1,Seasonal,Chinese Traditional Festivals,2021,79.99,81.41,7.0,1067.0,01/01/2021,31/12/2021
80107-1,Seasonal,Chinese Traditional Festivals,2021,119.99,114.74,8.0,1793.0,01/01/2021,31/12/2021
3594-1,Duplo,Bob the Builder,2009,14.99,29.95,2.0,14.0,,
3595-1,Duplo,Bob the Builder,2009,19.99,29.95,1.0,28.0,,
3596-1,Duplo,Bob the Builder,2009,29.99,34.95,1.0,39.0,01/03/2009,31/12/2009
3833-1,SpongeBob SquarePants,,2009,24.99,148.77,3.0,209.0,01/01/2009,31/07/2012
3834-1,SpongeBob SquarePants,,2009,39.99,246.52,3.0,425.0,01/01/2009,31/12/2011
3836-1,Games,,2009,9.99,10.0,,108.0,01/08/2009,31/07/2011
3837-1,Games,,2009,14.99,18.0,,141.0,01/08/2009,31/07/2011
3838-1,Games,,2009,14.99,9.0,4.0,131.0,01/08/2009,31/12/2011
3840-1,Games,,2009,9.99,18.12,1.0,268.0,01/08/2009,31/07/2011
3841-1,Games,,2009,24.99,39.64,12.0,211.0,01/08/2009,31/12/2013
3843-1,Games,,2009,29.99,35.0,13.0,217.0,01/08/2009,31/12/2011
3844-1,Games,,2009,34.99,55.46,2.0,338.0,,
5487-1,Bricks and More,,2009,29.99,19.95,,700.0,,
5488-1,Duplo,,2009,39.99,55.27,2.0,102.0,01/06/2009,31/12/2010
5489-1,Bricks and More,,2009,44.99,50.77,1.0,675.0,01/06/2009,31/12/2011
5545-1,Duplo,Thomas the Tank Engine,2009,19.99,40.0,1.0,19.0,,
5546-1,Duplo,Thomas the Tank Engine,2009,29.99,40.0,1.0,22.0,,
5547-1,Duplo,Thomas the Tank Engine,2009,29.99,43.65,2.0,34.0,01/06/2009,31/12/2009
5560-1,Bricks and More,,2009,29.99,36.89,1.0,402.0,01/06/2009,31/12/2013
5592-1,Duplo,LEGO Ville,2009,14.99,33.8,2.0,8.0,,
5594-1,Duplo,LEGO Ville,2009,49.99,58.73,2.0,28.0,,
5595-1,Duplo,LEGO Ville,2009,89.99,117.45,4.0,59.0,01/08/2009,31/12/2011
5632-1,Duplo,LEGO Ville,2009,7.99,5.9,1.0,4.0,,
5633-1,Duplo,LEGO Ville,2009,29.99,45.0,1.0,32.0,,
5634-1,Duplo,LEGO Ville,2009,49.99,80.37,3.0,53.0,01/03/2009,31/12/2011
5635-1,Duplo,LEGO Ville,2009,89.99,203.66,4.0,125.0,01/03/2009,31/12/2011
5636-1,Duplo,LEGO Ville,2009,24.99,80.0,3.0,14.0,,
5637-1,Duplo,LEGO Ville,2009,16.99,62.64,1.0,12.0,,
5638-1,Duplo,LEGO Ville,2009,9.99,17.49,1.0,9.0,,
5639-1,Duplo,LEGO Ville,2009,69.99,117.45,4.0,71.0,01/06/2009,31/12/2012
5640-1,Duplo,LEGO Ville,2009,24.99,33.0,1.0,24.0,,
5641-1,Duplo,LEGO Ville,2009,49.99,54.96,2.0,51.0,,
5969-1,Space,Space Police 3,2009,5.99,13.32,2.0,42.0,01/06/2009,31/12/2010
5970-1,Space,Space Police 3,2009,9.99,22.03,2.0,80.0,01/06/2009,31/12/2010
5971-1,Space,Space Police 3,2009,19.99,60.0,2.0,205.0,01/06/2009,31/12/2010
5972-1,Space,Space Police 3,2009,29.99,100.33,2.0,282.0,01/06/2009,31/12/2010
5973-1,Space,Space Police 3,2009,49.99,81.68,3.0,456.0,01/06/2009,31/12/2010
5974-1,Space,Space Police 3,2009,99.99,171.35,7.0,825.0,01/06/2009,31/12/2010
5979-1,Space,Space Police 3,2009,39.99,116.75,3.0,330.0,01/08/2009,31/12/2009
5980-1,Space,Space Police 3,2009,49.99,83.38,4.0,389.0,01/08/2009,31/12/2009
6191-1,Bricks and More,,2009,9.99,15.0,1.0,117.0,,
6192-1,Bricks and More,,2009,9.99,18.0,1.0,150.0,,
6193-1,Bricks and More,,2009,9.99,15.0,1.0,137.0,,
6194-1,Bricks and More,,2009,29.99,32.44,2.0,516.0,01/06/2009,31/12/2011
6239-1,Pirates,,2009,5.99,21.16,2.0,45.0,,
6240-1,Pirates,,2009,9.99,45.49,2.0,78.0,,
6241-1,Pirates,,2009,19.99,97.49,3.0,142.0,,
6242-1,Pirates,,2009,49.99,256.27,6.0,367.0,,
6243-1,Pirates,,2009,99.99,367.61,8.0,592.0,,
6253-1,Pirates,,2009,39.99,224.17,6.0,310.0,,
6741-1,Creator,3 in 1,2009,5.99,13.59,,63.0,01/01/2009,31/12/2010
6742-1,Creator,3 in 1,2009,5.99,8.38,,64.0,01/01/2009,31/12/2010
6743-1,Creator,3 in 1,2009,12.99,19.81,,165.0,,
6745-1,Creator,3 in 1,2009,19.99,23.0,,247.0,,
6747-1,Creator,3 in 1,2009,19.99,43.73,,266.0,01/01/2009,31/12/2010
6751-1,Creator,3 in 1,2009,39.99,58.88,,479.0,01/07/2009,31/12/2010
6752-1,Creator,3 in 1,2009,59.99,80.0,,771.0,01/08/2009,31/12/2010
6753-1,Creator,3 in 1,2009,89.99,184.36,,1294.0,01/08/2009,31/12/2010
6754-1,Creator,3 in 1,2009,59.99,142.45,,976.0,01/08/2009,31/12/2010
7078-1,Castle,Fantasy Era,2009,19.99,78.8,4.0,103.0,01/06/2009,31/07/2010
7079-1,Castle,Fantasy Era,2009,39.99,232.75,7.0,335.0,01/06/2009,31/07/2010
7097-1,Castle,Fantasy Era,2009,99.99,259.65,10.0,844.0,01/06/2009,31/12/2010
7195-1,Indiana Jones,Raiders of the Lost Ark,2009,10.99,66.56,4.0,79.0,01/06/2009,31/07/2010
7196-1,Indiana Jones,Kingdom of the Crystal Skull,2009,19.99,113.65,5.0,187.0,01/06/2009,31/07/2010
7197-1,Indiana Jones,Last Crusade,2009,39.99,125.73,4.0,420.0,01/06/2009,31/07/2010
7198-1,Indiana Jones,Last Crusade,2009,49.99,276.25,3.0,384.0,01/06/2009,31/07/2010
7199-1,Indiana Jones,Temple of Doom,2009,89.99,429.27,6.0,652.0,01/06/2009,31/12/2010
7630-1,City,Construction,2009,12.99,41.51,1.0,108.0,01/01/2009,31/07/2011
7631-1,City,Construction,2009,19.99,65.18,1.0,189.0,,
7632-1,City,Construction,2009,59.99,145.48,2.0,481.0,01/01/2009,31/12/2010
7633-1,City,Construction,2009,99.99,229.07,5.0,898.0,,
7634-1,City,Farm,2009,12.99,49.6,1.0,78.0,01/03/2009,31/07/2011
7635-1,City,Farm,2009,17.48,57.98,2.0,176.0,,
7636-1,City,Farm,2009,44.99,198.28,1.0,360.0,01/03/2009,31/12/2010
7637-1,City,Farm,2009,89.99,259.28,3.0,609.0,01/03/2009,31/07/2011
7638-1,City,Traffic,2009,12.99,41.6,1.0,129.0,01/06/2009,31/12/2010
7639-1,City,Traffic,2009,16.99,47.5,2.0,165.0,01/06/2009,31/12/2011
7641-1,City,Town,2009,59.99,99.07,5.0,483.0,01/06/2009,31/12/2011
7642-1,City,Traffic,2009,99.99,269.92,4.0,953.0,01/06/2009,31/12/2010
7682-1,Indiana Jones,Temple of Doom,2009,29.99,174.94,5.0,244.0,01/01/2009,31/12/2009
7683-1,Indiana Jones,Raiders of the Lost Ark,2009,49.99,316.74,4.0,376.0,01/01/2009,31/12/2009
7685-1,City,Construction,2009,39.99,73.14,1.0,352.0,01/01/2009,31/12/2009
7686-1,City,Traffic,2009,39.99,81.67,3.0,377.0,01/06/2009,31/12/2009
7687-1,City,Seasonal,2009,29.99,32.01,9.0,257.0,,
7746-1,City,Construction,2009,29.99,51.91,2.0,208.0,01/02/2009,31/12/2010
7747-1,City,Town,2009,59.99,140.28,2.0,444.0,01/07/2009,31/12/2010
7748-1,Star Wars,The Clone Wars,2009,24.99,77.34,4.0,216.0,01/06/2009,31/12/2010
7749-1,Star Wars,Episode V,2009,24.99,50.71,5.0,155.0,01/06/2009,31/12/2010
7751-1,Star Wars,The Clone Wars,2009,39.99,151.53,4.0,291.0,01/01/2009,31/12/2009
7752-1,Star Wars,The Clone Wars,2009,54.99,166.08,4.0,385.0,01/02/2009,31/12/2010
7753-1,Star Wars,The Clone Wars,2009,39.99,95.94,3.0,372.0,01/08/2009,31/12/2010
7754-1,Star Wars,Episode VI,2009,109.99,157.37,6.0,789.0,01/08/2009,31/12/2010
7778-1,Star Wars,Episode IV,2009,39.99,108.29,,356.0,01/07/2009,31/12/2010
7802-1,Racers,Tiny Turbos,2009,2.99,5.74,,29.0,15/02/2009,31/12/2011
8014-1,Star Wars,The Clone Wars,2009,11.99,64.8,4.0,72.0,01/01/2009,31/12/2010
8015-1,Star Wars,The Clone Wars,2009,11.99,31.66,5.0,94.0,01/01/2009,31/12/2010
8016-1,Star Wars,The Clone Wars,2009,19.99,85.24,3.0,232.0,01/01/2009,31/12/2010
8017-1,Star Wars,Episode IV,2009,29.99,151.07,1.0,251.0,01/01/2009,31/12/2010
8018-1,Star Wars,The Clone Wars,2009,49.99,198.03,7.0,407.0,01/01/2009,31/12/2010
8019-1,Star Wars,The Clone Wars,2009,59.99,244.04,3.0,636.0,01/01/2009,31/12/2010
8033-1,Star Wars,The Clone Wars,2009,3.99,7.11,,44.0,01/01/2009,31/12/2010
8036-1,Star Wars,The Clone Wars,2009,29.99,94.4,5.0,259.0,01/06/2009,31/12/2010
8037-1,Star Wars,The Clone Wars,2009,59.99,206.29,3.0,570.0,01/06/2009,31/12/2010
8038-1,Star Wars,Episode VI,2009,99.99,221.6,12.0,890.0,01/06/2009,31/12/2011
8039-1,Star Wars,The Clone Wars,2009,119.99,576.05,5.0,1170.0,01/06/2009,31/12/2011
8063-1,Technic,,2009,99.99,209.95,,1100.0,01/09/2009,31/12/2009
8119-1,Racers,Tiny Turbos,2009,4.99,15.0,,48.0,,
8120-1,Racers,Tiny Turbos,2009,4.99,12.0,,47.0,,
8121-1,Racers,Tiny Turbos,2009,4.99,7.99,,48.0,,
8122-1,Racers,Tiny Turbos,2009,4.99,20.99,,41.0,,
8123-1,Racers,Tiny Turbos,2009,14.99,38.94,,139.0,01/01/2009,31/12/2009
8124-1,Racers,Tiny Turbos,2009,14.99,26.24,,170.0,,
8125-1,Racers,Tiny Turbos,2009,14.99,23.56,,160.0,,
8126-1,Racers,Tiny Turbos,2009,14.99,35.23,,144.0,,
8162-1,Racers,Power Racers,2009,12.99,9.99,,104.0,,
8163-1,Racers,Power Racers,2009,12.99,19.6,,110.0,,
8164-1,Racers,Power Racers,2009,12.99,8.0,,87.0,,
8165-1,Racers,Power Racers,2009,12.99,9.95,,91.0,,
8166-1,Racers,Power Racers,2009,19.99,23.16,,203.0,,
8167-1,Racers,Power Racers,2009,19.99,15.0,,209.0,,
8168-1,Racers,Ferrari,2009,19.99,99.99,3.0,202.0,,
8169-1,Racers,Lamborghini,2009,59.99,333.05,,741.0,01/06/2009,31/12/2010
8182-1,Racers,Tiny Turbos,2009,39.99,152.15,,388.0,01/06/2009,31/12/2009
8183-1,Racers,Remote Control,2009,39.99,112.05,,92.0,01/01/2009,31/12/2010
8185-1,Racers,Ferrari,2009,79.99,247.0,5.0,534.0,01/06/2009,31/12/2010
8186-1,Racers,Tiny Turbos,2009,69.99,137.75,,757.0,01/06/2009,31/12/2010
8256-1,Technic,,2009,14.99,82.58,,144.0,01/01/2009,31/12/2010
8258-1,Technic,,2009,149.99,449.38,,1877.0,01/08/2009,31/12/2011
8259-1,Technic,,2009,9.99,27.59,,165.0,01/01/2009,31/12/2010
8260-1,Technic,,2009,9.99,28.36,,104.0,01/01/2009,31/12/2010
8261-1,Technic,,2009,24.99,60.0,,198.0,,
8262-1,Technic,,2009,39.99,79.51,,308.0,01/01/2009,31/12/2010
8263-1,Technic,,2009,49.99,244.46,,590.0,01/08/2009,31/12/2010
8264-1,Technic,,2009,69.99,145.0,,575.0,01/01/2009,31/12/2010
8265-1,Technic,,2009,79.99,250.0,,1061.0,01/08/2009,31/12/2010
8396-1,Pirates,,2009,3.49,15.32,1.0,17.0,,
8397-1,Pirates,,2009,3.49,14.14,1.0,16.0,,
8398-1,City,General,2009,3.49,11.78,1.0,22.0,01/01/2009,31/05/2010
8399-1,Space,Space Police 3,2009,3.49,13.52,1.0,22.0,01/06/2009,31/12/2009
8400-1,Space,Space Police 3,2009,3.49,10.35,1.0,14.0,01/06/2009,31/12/2009
8401-1,City,General,2009,9.99,21.44,4.0,60.0,01/01/2009,31/12/2010
8402-1,City,Traffic,2009,9.99,14.57,1.0,68.0,01/06/2009,31/12/2010
8547-1,Mindstorms,NXT 2.0,2009,279.99,250.0,,619.0,01/08/2009,31/12/2012
8707-1,Power Miners,,2009,26.99,157.42,2.0,293.0,01/02/2009,31/12/2009
8708-1,Power Miners,,2009,49.99,148.4,3.0,259.0,01/08/2009,31/12/2009
8709-1,Power Miners,,2009,79.99,317.43,4.0,637.0,01/08/2009,31/12/2009
8866-1,Power Functions,Trains,2009,10.99,13.25,,7.0,,
8867-1,City,Trains,2009,24.99,75.67,,64.0,,
8869-1,Power Functions,Accessories,2009,5.79,9.98,,1.0,,
8870-1,Power Functions,Accessories,2009,6.49,12.96,,1.0,,
8871-1,Power Functions,Accessories,2009,3.99,8.76,,1.0,,
8878-1,Power Functions,Accessories,2009,49.99,113.86,,1.0,,
8879-1,Power Functions,Accessories,2009,12.99,19.63,,1.0,,
8887-1,Power Functions,Accessories,2009,29.99,34.95,,1.0,,
8956-1,Power Miners,,2009,5.99,25.19,2.0,31.0,01/01/2009,31/12/2009
8957-1,Power Miners,,2009,7.99,36.39,2.0,67.0,01/01/2009,31/12/2009
8958-1,Power Miners,,2009,9.99,63.35,2.0,94.0,01/01/2009,31/12/2009
8959-1,Power Miners,,2009,19.99,54.5,2.0,197.0,01/01/2009,31/12/2009
8960-1,Power Miners,,2009,29.99,105.43,3.0,235.0,01/01/2009,31/07/2010
8961-1,Power Miners,,2009,69.99,234.49,4.0,474.0,01/01/2009,31/12/2009
8962-1,Power Miners,,2009,19.99,78.09,2.0,168.0,01/06/2009,31/12/2010
8963-1,Power Miners,,2009,34.99,65.0,2.0,225.0,01/06/2009,31/12/2010
8964-1,Power Miners,,2009,99.99,231.59,5.0,706.0,01/06/2009,31/12/2010
8967-1,Agents,,2009,9.99,28.47,2.0,68.0,01/06/2009,31/12/2009
8968-1,Agents,,2009,19.99,33.58,3.0,203.0,01/06/2009,31/12/2009
8969-1,Agents,,2009,29.99,40.32,2.0,320.0,01/06/2009,31/12/2009
8970-1,Agents,,2009,49.99,79.37,6.0,414.0,01/06/2009,31/12/2009
8971-1,Agents,,2009,79.99,200.0,7.0,733.0,01/06/2009,31/12/2009
8972-1,Bionicle,Agori,2009,6.99,55.63,,13.0,01/01/2009,31/12/2009
8973-1,Bionicle,Agori,2009,6.99,24.19,,14.0,01/01/2009,31/12/2009
8974-1,Bionicle,Agori,2009,6.99,23.45,,17.0,01/01/2009,31/12/2009
8975-1,Bionicle,Agori,2009,6.99,36.0,,15.0,01/01/2009,31/12/2009
8976-1,Bionicle,Agori,2009,6.99,21.38,,14.0,01/01/2009,31/12/2009
8977-1,Bionicle,Agori,2009,6.99,28.0,,16.0,01/01/2009,31/12/2009
8978-1,Bionicle,Glatorian,2009,12.99,58.52,,50.0,01/01/2009,31/12/2009
8979-1,Bionicle,Glatorian,2009,12.99,62.35,,59.0,01/01/2009,31/12/2009
8980-1,Bionicle,Glatorian,2009,12.99,67.17,,55.0,01/01/2009,31/12/2009
8981-1,Bionicle,Glatorian,2009,12.99,41.17,,57.0,01/01/2009,31/12/2009
8982-1,Bionicle,Glatorian,2009,12.99,70.58,,46.0,01/01/2009,31/12/2009
8983-1,Bionicle,Glatorian,2009,12.99,62.26,,51.0,01/01/2009,31/12/2009
8984-1,Bionicle,Glatorian Legends,2009,12.99,41.27,,55.0,01/07/2009,31/07/2010
8985-1,Bionicle,Glatorian Legends,2009,12.99,44.99,,55.0,01/08/2009,31/07/2010
8986-1,Bionicle,Glatorian Legends,2009,12.99,32.99,,52.0,01/07/2009,31/07/2010
8987-1,Bionicle,Glatorian Legends,2009,12.99,36.72,,43.0,01/07/2009,31/07/2010
8988-1,Bionicle,Glatorian Legends,2009,12.99,44.99,,52.0,01/07/2009,31/07/2010
8989-1,Bionicle,Glatorian Legends,2009,12.99,99.87,,52.0,01/07/2009,31/07/2010
8990-1,Bionicle,Vehicles/Creatures,2009,19.99,100.0,,148.0,01/01/2009,31/12/2009
8991-1,Bionicle,Warriors,2009,19.99,125.0,,188.0,01/01/2009,31/12/2009
8992-1,Bionicle,Vehicles/Creatures,2009,19.99,57.2,,151.0,01/07/2009,31/07/2010
8993-1,Bionicle,Vehicles/Creatures,2009,29.99,68.0,,251.0,01/08/2009,31/07/2010
8994-1,Bionicle,Vehicles/Creatures,2009,39.99,79.77,,263.0,01/08/2009,31/07/2010
8995-1,Bionicle,Vehicles/Creatures,2009,59.99,100.0,,438.0,01/08/2009,31/07/2010
8996-1,Bionicle,Vehicles/Creatures,2009,89.99,452.53,,849.0,01/08/2009,31/07/2010
8998-1,Bionicle,Warriors,2009,49.99,678.98,,366.0,01/08/2009,31/12/2009
9078-1,Education,Duplo,2009,90.0,77.79,,109.0,,
9079-1,Education,Duplo,2009,40.0,42.42,,15.0,,
9580-1,Education,,2009,130.0,133.1,,158.0,,
9686-1,Education,,2009,199.95,228.58,2.0,396.0,01/01/2009,31/12/2020
10193-1,Castle,Fantasy Era,2009,99.99,335.44,8.0,1601.0,01/01/2009,01/02/2009
10194-1,Creator Expert,Trains,2009,99.99,665.01,3.0,1085.0,01/04/2009,31/12/2011
10195-1,Star Wars,The Clone Wars,2009,249.99,1309.14,8.0,1758.0,01/05/2009,31/12/2011
10196-1,Creator Expert,Fairground,2009,249.99,2027.34,9.0,3263.0,01/07/2009,31/05/2010
10197-1,Creator Expert,Modular Buildings Collection,2009,149.99,518.03,4.0,2231.0,01/09/2009,31/12/2013
10198-1,Star Wars,Episode IV,2009,149.99,300.1,5.0,1408.0,01/09/2009,31/12/2011
10199-1,Creator Expert,Winter Village,2009,59.99,192.64,7.0,815.0,01/10/2009,31/12/2011
10287-1,Mindstorms,NXT,2009,169.99,139.64,,1.0,,
21002-1,Architecture,Landmark Series,2009,19.99,61.64,,77.0,,
21003-1,Architecture,Landmark Series,2009,19.99,84.66,,57.0,,
21004-1,Architecture,Architect Series,2009,39.99,120.67,,208.0,01/05/2009,30/04/2011
21005-1,Architecture,Architect Series,2009,99.99,392.42,,811.0,01/07/2009,30/04/2011
30002-1,City,Police,2009,2.99,4.72,1.0,30.0,01/09/2009,31/12/2010
30005-1,Star Wars,Episode VI,2009,3.99,10.8,1.0,33.0,,
30008-1,Creator,Seasonal,2009,3.5,7.92,,44.0,,
30009-1,Creator,Seasonal,2009,3.5,6.57,,47.0,,
40000-1,Seasonal,Christmas,2009,9.99,22.64,,152.0,,
40001-1,Seasonal,Christmas,2009,4.99,15.64,,42.0,,
40002-1,Seasonal,Christmas,2009,4.99,6.97,,61.0,,
40003-1,Seasonal,Christmas,2009,4.99,9.46,,44.0,,
852535-1,Miscellaneous,Minifigure collection,2009,17.99,92.87,5.0,24.0,,
852697-1,Miscellaneous,Minifigure collection,2009,17.99,56.1,5.0,22.0,,
852701-1,Castle,Battle Pack,2009,14.99,61.76,5.0,36.0,,
852702-1,Castle,Battle Pack,2009,14.99,69.97,5.0,45.0,,
852741-1,Gear,Seasonal,2009,19.99,327.16,,,,
852744-1,Seasonal,Christmas,2009,19.99,28.59,,66.0,,
852747-1,Pirates,Accessories,2009,14.99,82.07,4.0,37.0,,
852753-1,Miscellaneous,Minifigure collection,2009,17.99,63.45,5.0,41.0,,
COMCON004-1,Star Wars,Promotional,2009,49.99,495.95,3.0,5.0,,
COMCON005-1,Star Wars,Promotional,2009,49.99,372.54,3.0,2.0,,
COMCON006-1,Star Wars,Promotional,2009,49.99,450.0,3.0,15.0,,
COMCON007-1,Star Wars,Promotional,2009,49.99,381.96,3.0,4.0,,
COMCON008-1,Star Wars,Promotional,2009,49.99,800.0,3.0,5.0,,
COMCON009-1,Star Wars,Promotional,2009,49.99,232.04,3.0,5.0,,
COMCON010-1,Star Wars,The Clone Wars,2009,50.0,520.77,,94.0,,
CONCORD-1,Promotional,LEGO brand store opening set,2009,0.0,50.0,,70.0,,
HANOVER-1,Promotional,LEGO brand store opening set,2009,0.0,75.0,,69.0,,
3830-1,SpongeBob SquarePants,,2008,19.99,130.69,3.0,210.0,01/01/2008,31/12/2009
3831-1,SpongeBob SquarePants,,2008,29.99,190.83,3.0,279.0,01/01/2008,31/12/2009
3832-1,SpongeBob SquarePants,,2008,29.99,131.25,3.0,236.0,01/08/2008,31/12/2008
4210-1,City,Coast Guard,2008,49.99,187.22,4.0,469.0,01/08/2008,31/12/2008
4837-1,Creator,3 in 1,2008,4.99,17.75,,73.0,01/01/2008,31/12/2009
4838-1,Creator,3 in 1,2008,4.99,18.49,,79.0,01/01/2008,31/12/2009
4862-1,Duplo,Castle,2008,16.99,29.94,2.0,15.0,,
4863-1,Duplo,Castle,2008,24.99,84.8,2.0,41.0,01/06/2008,31/12/2008
4864-1,Duplo,Castle,2008,79.99,198.07,3.0,115.0,01/06/2008,31/12/2009
4993-1,Creator,3 in 1,2008,49.99,75.0,,648.0,01/07/2008,31/12/2010
4994-1,Creator,3 in 1,2008,12.99,39.71,,193.0,,
4995-1,Creator,3 in 1,2008,19.99,40.0,,272.0,01/01/2008,31/12/2009
4996-1,Creator,3 in 1,2008,34.99,100.0,,522.0,01/01/2008,31/12/2010
4997-1,Creator,3 in 1,2008,69.99,193.78,,1279.0,01/07/2008,31/12/2009
4998-1,Creator,3 in 1,2008,49.99,119.26,,731.0,01/07/2008,31/12/2009
5522-1,Bricks and More,,2008,39.99,58.68,,700.0,,
5543-1,Duplo,Thomas the Tank Engine,2008,19.99,30.0,1.0,34.0,,
5574-1,Bricks and More,,2008,12.99,21.82,,280.0,,
5575-1,Duplo,,2008,14.99,21.5,,45.0,,
5584-1,Bricks and More,,2008,29.99,46.18,,650.0,01/01/2008,31/07/2009
5585-1,Bricks and More,,2008,19.99,50.86,,216.0,,
5593-1,Duplo,LEGO Ville,2008,49.99,127.5,3.0,61.0,01/06/2008,31/12/2010
5596-1,Duplo,Dino,2008,12.99,38.54,,9.0,,
5597-1,Duplo,Dino,2008,24.99,54.81,1.0,28.0,01/01/2008,30/06/2009
5598-1,Duplo,Dino,2008,49.99,316.22,3.0,52.0,01/01/2008,30/06/2009
5601-1,Duplo,LEGO Ville,2008,59.99,177.0,3.0,72.0,01/01/2008,31/12/2011
5602-1,Duplo,LEGO Ville,2008,39.99,57.09,2.0,28.0,01/01/2008,31/12/2010
5603-1,Duplo,LEGO Ville,2008,8.99,12.17,1.0,7.0,,
5604-1,Duplo,LEGO Ville,2008,39.99,58.73,2.0,62.0,01/01/2008,31/12/2010
5605-1,Duplo,LEGO Ville,2008,24.99,54.95,1.0,17.0,,
5606-1,Duplo,LEGO Ville,2008,16.99,19.99,1.0,10.0,,
5607-1,Duplo,LEGO Ville,2008,16.99,44.09,1.0,16.0,,
5608-1,Duplo,LEGO Ville,2008,59.99,75.46,3.0,64.0,01/06/2008,31/05/2013
5609-1,Duplo,LEGO Ville,2008,119.99,153.24,3.0,116.0,01/06/2008,31/05/2013
5610-1,City,Construction,2008,3.49,9.04,1.0,23.0,01/01/2008,31/12/2009
5611-1,City,Traffic,2008,3.49,6.51,1.0,31.0,01/01/2008,31/12/2008
5612-1,City,Police,2008,3.49,6.23,1.0,21.0,01/01/2008,31/05/2010
5613-1,City,Fire,2008,3.49,6.63,1.0,25.0,01/01/2008,31/12/2009
5615-1,Castle,Fantasy Era,2008,3.49,15.53,1.0,21.0,01/01/2008,30/06/2009
5616-1,Space,Mars Mission,2008,3.49,9.32,2.0,24.0,01/01/2008,31/12/2008
5618-1,Castle,Fantasy Era,2008,3.49,13.3,1.0,19.0,01/06/2008,31/12/2008
