Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"1386-1","Clikits","",2004,"Jewelry Sample",,16,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,5.4900,,"",""
"3125-1","Explore","Imagination",2004,"Preschool Playtable",,18,19.99,20,,,,673419020374,66,36,23,4.02,"",0,0,0,,0,0,,,,,,,,,,,"",""
"3194-1","Clikits","",2004,"Heart",,9,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,1.7800,,"",""
"3195-1","Clikits","",2004,"Daisy",,9,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,2.3500,,"",""
"3196-1","Clikits","",2004,"Star",,9,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,6.2800,2.3000,"",""
"3259-1","Bionicle","Accessories",2004,"Shooter + Disk",,2,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,54.1300,,"",""
"3578-1","Sports","Hockey",2004,"NHL Championship Challenge",8,374,29.99,40,,,,673419035873,48,28.8,7.2,0.92,"",0,0,0,,0,0,,,,,,,,,200.0000,126.5200,"01/08/2004","31/12/2005"
"3579-1","Sports","Hockey",2004,"NHL Street Hockey",2,114,12.99,20,,,5702014376519,673419035880,28.8,19.2,6,0.36,"",0,0,0,,0,0,,,,,,,,,24.9500,35.7000,"01/08/2004","31/07/2005"
"4037-1","Creator","Designer Set",2004,"Helicopter",,9,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"4296-1","Duplo","",2004,"Green Duplo Strata",,139,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"4308-1","Racers","Drome Racers",2004,"Yellow Racer",,28,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,3.8200,4.7700,"",""
"4309-1","Racers","Drome Racers",2004,"Blue Racer",,31,,1,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,5.6300,2.0000,"",""
"4310-1","Racers","Drome Racers",2004,"Orange Racer",,24,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,5.0300,2.4500,"",""
"4335-1","Creator","3 in 1",2004,"Black Robot Pod",,50,,3.5,,,5702014441675,,11,15.7,6,,"",0,0,0,,0,0,,,,,,,,,15.0000,10.9900,"01/10/2004","31/12/2004"
"4346-1","Creator","3 in 1",2004,"Robo Pod",,50,3.99,3.5,,,5702014366770,,11,15.7,6,,"",0,0,0,,0,0,,,,,,,,,11.2700,3.0600,"01/04/2004","31/12/2004"
"4346-2","Creator","",2004,"Robo Pod",,47,,,,,,,11,15.7,6,,"",0,0,0,,0,0,,,,,,,,,11.0500,2.9900,"01/04/2004","31/12/2004"
"4347-1","Creator","3 in 1",2004,"Auto Pod",,39,3.99,3.5,,,5702014366794,,11,15.7,6,,"",0,0,0,,0,0,,,,,,,,,15.0000,3.3800,"01/04/2004","31/12/2004"
"4347-2","Creator","",2004,"Auto Pod",,36,,,,,,,11,15.7,6,,"",0,0,0,,0,0,,,,,,,,,4.0600,3.0000,"01/04/2004","31/12/2004"
"4348-1","Creator","3 in 1",2004,"Aero Pod",,36,3.99,3.5,,,5702014366831,,11,15.7,6,,"",0,0,0,,0,0,,,,,,,,,21.9900,3.5600,"01/04/2004","31/12/2004"
"4348-2","Creator","",2004,"Aero Pod",,33,,,,,,,11,15.7,6,,"",0,0,0,,0,0,,,,,,,,,3.7200,2.4400,"01/04/2004","31/12/2004"
"4349-1","Creator","3 in 1",2004,"Wild Pod",,44,3.99,3.5,,,5702014366848,673419034500,11,15.7,6,,"",0,0,0,,0,0,,,,,,,,,12.4100,10.2800,"01/04/2004","31/12/2004"
"4349-2","Creator","",2004,"Wild Pod",,41,,,,,,,11,15.7,6,,"",0,0,0,,0,0,,,,,,,,,7.0700,2.9900,"01/04/2004","31/12/2004"
"4406-1","Creator","",2004,"Buildings",,506,24.99,30,,,5702014365858,,38.4,28.8,9.6,,"",0,0,0,,0,0,,,,,,,,,101.2000,38.2600,"01/01/2004","31/12/2005"
"4407-1","Creator","",2004,"Transportation",,301,14.99,20,,,,,28.8,28.8,9.6,,"",0,0,0,,0,0,,,,,,,,,46.5100,31.1600,"01/01/2004","31/12/2005"
"4408-1","Creator","",2004,"Animals",,202,9.99,10,,,5702014365872,,28.8,19.2,6,,"",0,0,0,,0,0,,,,,,,,,35.6200,12.1500,"01/01/2004","31/12/2005"
"4410-1","Creator","",2004,"Build and Create",,500,9.99,,,,5702014365896,,28.8,28.8,9.6,,"",0,0,0,,0,0,,,,,,,,,32.4900,,"01/01/2004","31/12/2005"
"4411-1","Creator","Bucket",2004,"Blue Strata XXL",,1200,,,,,,,37.6,25.2,27.3,,"",0,0,0,,0,0,,,,,,,,,93.9200,26.6800,"01/09/2004","31/12/2004"
"4412-1","Creator","Bucket",2004,"Olympia Bucket",,200,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,21.2300,"",""
"4414-1","Creator","Bucket",2004,"Creator Half Tub Blue",,500,9.99,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"4425-1","Creator","Bucket",2004,"Better Building More Fun",,2000,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"4492-1","Star Wars","Mini Building Set",2004,"Star Destroyer",,87,6.99,7,,,5702014365414,673419034043,14.4,14.4,4.4,,"",0,0,0,,0,0,,,,,,,,,19.5900,11.1600,"01/01/2004","31/12/2004"
"4493-1","Star Wars","Mini Building Set",2004,"Sith Infiltrator",,55,6.99,6.99,,,5702014371187,673419034050,14.4,14.4,4.4,,"",0,0,0,,0,0,,,,,,,,,16.6200,13.0900,"01/01/2004","31/12/2004"
"4494-1","Star Wars","Mini Building Set",2004,"Imperial Shuttle",,82,6.99,7,,,5702014365575,673419034067,14.4,14.4,4.4,,"",0,0,0,,0,0,,,,,,,,,28.0000,11.2000,"01/01/2004","31/12/2004"
