Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"4962-2","Duplo","Zoo",2014,"Baby Zoo (Re-release)",1,18,,,,,,673419215824,,,,,"",0,0,0,,0,0,,,,,,,,,17.7200,14.3100,"",""
"10241-1","Creator Expert","Maersk",2014,"Maersk Line Triple-E",,1518,109.99,149.99,179.99,129.99,5702015122450,,58.2,37.8,10.3,,"",0,0,0,,0,0,,,,,,,,,286.8300,242.0200,"01/01/2014","31/12/2014"
"10242-1","Creator Expert","Vehicles",2014,"MINI Cooper MK VII",,1077,79.99,99.99,119.99,89.99,5702015122467,,37.5,35,9,1.32,"",0,0,0,,0,0,,,,,,,,,216.8800,147.9500,"01/08/2014","31/08/2015"
"10243-1","Creator Expert","Modular Buildings Collection",2014,"Parisian Restaurant",5,2469,142.99,159.99,189.99,149.99,5702015122672,,58.2,37.8,10.3,,"",0,0,0,"Yes",1,1,,,,,,,,,290.4000,244.2700,"01/01/2014","31/12/2019"
"10244-1","Creator Expert","Fairground",2014,"Fairground Mixer",12,1746,119.99,149.99,179.99,129.99,5702015122689,,57.8,37.4,8.3,,"",0,0,0,,0,0,,,,,,,,,201.1500,173.2200,"01/06/2014","31/12/2016"
"10245-1","Creator Expert","Winter Village",2014,"Santa's Workshop",6,883,59.99,69.99,89.99,69.99,5702015122696,,48,28,6,0.99,"",0,0,0,,0,0,,,,,,,,,210.7600,185.4400,"01/10/2014","31/12/2016"
"10521-1","Duplo","",2014,"Baby Calf",1,9,5.99,6.99,8.99,6.99,5702015125079,673419211468,14.097,12.192,6.096,0.11,"",0,0,0,,0,0,,,,,,,,,7.2900,6.1000,"",""
"10522-1","Duplo","",2014,"Farm Animals",,12,8.99,9.99,12.99,9.99,5702015125086,673419211475,19.1008,14.097,9.0932,0.2,"",0,0,0,,0,0,,,,,,,,,29.4700,11.5800,"",""
"10524-1","Duplo","",2014,"Farm Tractor",1,29,16.99,19.99,24.99,19.99,5702015125093,,26.1874,19.1008,11.811,0.54,"",0,0,0,,0,0,,,,,,,,,23.5600,21.3700,"01/01/2014","31/12/2017"
"10525-1","Duplo","",2014,"Big Farm",2,121,54.99,59.99,59.99,59.99,5702015125109,673419211499,48.006,37.7952,11.2014,1.855191,"",0,0,0,,0,0,,,,,,,,,91.6000,65.2800,"01/01/2014","31/12/2017"
"10526-1","Duplo","Jake and the Never Land Pirates",2014,"Peter Pan's Visit",2,39,19.99,29.99,29.99,29.99,5702015125048,673419211444,35.4076,19.1008,9.0932,0.59,"",0,0,0,,0,0,,,,,,,,,33.0200,24.9500,"01/06/2014","31/12/2015"
"10527-1","Duplo","",2014,"Ambulance",1,14,12.99,14.99,17.99,14.99,5702015125116,673419211505,20.4978,19.1008,9.1948,0.36,"",0,0,0,,0,0,,,,,,,,,19.0000,17.5700,"",""
"10528-1","Duplo","",2014,"School Bus",3,26,17.99,19.99,19.99,19.99,5702015125123,673419211512,26.1874,19.1008,11.811,0.5,"",0,0,0,,0,0,,,,,,,,,13.2900,16.9600,"01/06/2014","31/12/2015"
"10529-1","Duplo","",2014,"Truck",1,16,12.99,14.99,17.99,14.99,5702015125130,673419211529,20.4978,19.1008,9.1948,0.38,"",0,0,0,,0,0,,,,,,,,,25.2000,11.6900,"",""
"10532-1","Duplo","",2014,"My First Police Set",2,39,19.99,24.99,24.99,24.99,5702015125147,673419211536,35.4076,19.1008,11.811,0.69,"",0,0,0,,0,0,,,,,,,,,46.3700,16.0000,"01/01/2014","31/12/2015"
"10538-1","Duplo","Disney Planes",2014,"Fire and Rescue Team",3,30,25.99,29.99,29.99,29.99,5702015125284,673419211659,35.4076,19.1008,11.811,0.56,"",0,0,0,,0,0,,,,,,,,,67.6400,40.4800,"01/06/2014","31/12/2015"
"10539-1","Duplo","Jake and the Never Land Pirates",2014,"Beach Racing",1,37,19.99,24.99,24.99,24.99,5702015125062,673419211451,35.4076,19.1008,9.0932,0.5,"",0,0,0,,0,0,,,,,,,,,21.5000,18.9500,"01/06/2014","31/12/2015"
"10542-1","Duplo","Disney Princess",2014,"Sleeping Beauty's Fairy Tale",2,55,29.99,34.99,39.99,34.99,5702015125291,673419211666,38.2016,26.1874,9.398,0.75,"",0,0,0,,0,0,,,,,,,,,64.9800,28.1800,"01/01/2014","31/12/2015"
"10543-1","Duplo","Superman",2014,"Superman Rescue",1,19,14.99,19.99,19.99,19.99,5702015125178,673419211321,26.1874,14.097,9.0932,0.31,"",0,0,0,,0,0,,,,,,,,,18.6100,12.5400,"",""
"10544-1","Duplo","Batman",2014,"The Joker Challenge",2,40,24.99,29.99,29.99,29.99,5702015125260,673419211338,35.4076,19.1008,9.0932,0.51302,"",0,0,0,,0,0,,,,,,,,,45.0000,18.5500,"01/06/2014","31/12/2016"
"10545-1","Duplo","Batman",2014,"Batcave Adventure",2,59,39.99,49.99,49.99,49.99,5702015125277,673419211345,35.4076,37.7952,9.398,0.96,"",0,0,0,,0,0,,,,,,,,,80.3800,25.0000,"01/06/2014","31/12/2015"
"10546-1","Duplo","",2014,"My First Shop",2,39,19.99,24.99,24.99,24.99,5702015125154,673419211543,35.4076,19.1008,11.811,0.66,"",0,0,0,,0,0,,,,,,,,,28.3800,,"01/01/2014","31/12/2015"
