set_number,min_value_new,max_value_new,mean_value_new,quantity_new,min_value_used,max_value_used,mean_value_used,quantity_used
10831-1,16.795619702381618,16.795619702381618,16.795619702381618,1.0,11.758398718098615,11.758398718098615,11.758398718098615,1.0
10837-1,50.38685910714486,50.38685910714486,50.38685910714486,1.0,45.0,45.0,45.0,1.0
10847-1,23.513867583334267,29.79249527044138,26.653181426887823,3.0,11.123634704666827,16.73963430337368,13.931634504020254,2.0
10857-1,59.58499054088276,59.58499054088276,59.58499054088276,1.0,125.0,125.0,125.0,1.0
10868-1,55.86092863207759,55.86092863207759,55.86092863207759,1.0,38.62992531547772,38.62992531547772,38.62992531547772,1.0
10870-1,20.67976362044118,20.67976362044118,20.67976362044118,1.0,12.259682674758423,12.259682674758423,12.259682674758423,1.0
10871-1,40.129,40.129,40.129,1.0,26.87299152381059,26.87299152381059,26.87299152381059,1.0
10872-1,20.88591295390162,58.22481496825628,32.826351786120846,1921.0,12.596714776786214,12.596714776786214,12.596714776786214,1.0
10874-1,71.10145674008218,132.12554165873541,89.09675396656553,269.0,40.30948728571589,65.77907020494916,53.04427874533253,2.0
10879-1,22.3829625233739,22.3829625233739,22.3829625233739,2.0,17.859342283532452,17.859342283532452,17.859342283532452,1.0
10886-1,30.0,30.0,30.0,1.0,75.0,75.0,75.0,1.0
10894-1,18.61286142020825,26.068433361636206,22.34064739092223,2.0,20.0,20.0,20.0,1.0
10898-1,11.18588272178616,11.18588272178616,11.18588272178616,33.0,6.449517965714541,10.762,7.957926815886417,4.0
10908-1,29.99,29.99,29.99,9.0,8.061897457143177,19.0,13.530948728571587,2.0
10921-1,49.95,49.95,49.95,4.0,49.985,49.985,49.985,1.0
10925-1,17.545824049087997,17.545824049087997,17.545824049087997,2.0,11.4210213976195,11.4210213976195,11.4210213976195,1.0
10927-1,14.433035864246605,14.433035864246605,14.433035864246605,5.0,11.525971607752009,11.525971607752009,11.525971607752009,1.0
10933-1,145.55084034083913,162.3576571230223,156.58529231376457,18.0,95.17517831349583,95.17517831349583,95.17517831349583,1.0
10937-1,257.4768500375102,438.9,351.2722638657844,14.0,197.372,197.372,197.372,1.0
10938-1,27.25,27.25,27.25,2.0,11.362,11.362,11.362,1.0
10941-1,21.99,44.788319206350984,37.67669414616668,15.0,25.0,25.0,25.0,1.0
10944-1,18.61286142020825,39.18977930555711,25.99361970391613,270.0,15.116057732143457,15.116057732143457,15.116057732143457,1.0
10949-1,7.558028866071728,11.18588272178616,9.415972616518033,479.0,7.830117905250311,7.830117905250311,7.830117905250311,1.0
10950-1,63.23998701138743,63.23998701138743,63.23998701138743,4.0,17.71937878601261,17.71937878601261,17.71937878601261,1.0
10954-1,14.55620374206407,31.35182344444569,21.184250005711753,47.0,20.602626834921452,20.602626834921452,20.602626834921452,1.0
10955-1,17.906370018699125,22.3829625233739,20.144666271036513,40.0,10.637225811508358,10.637225811508358,10.637225811508358,1.0
11001-1,7.175986047283303,29.48,13.178359179694823,9.0,7.725985063095545,7.725985063095545,7.725985063095545,1.0
11006-1,4.322,7.79,5.566076640735564,35.0,3.0,3.0,3.0,1.0
1118-1,6.852612838571701,6.852612838571701,6.852612838571701,1.0,1.1197079801587746,1.1197079801587746,1.1197079801587746,1.0
112325-1,1.3418135952553472,14.55620374206407,6.303792852649956,349.0,1.1197079801587746,1.1197079801587746,1.1197079801587746,1.0
112326-1,3.8977034789326943,10.734508762042777,6.873635234521475,62.0,1.1197079801587746,1.1197079801587746,1.1197079801587746,1.0
112402-1,3.5599632794918485,11.197079801587746,6.528578981571206,90.0,1.1197079801587746,1.1197079801587746,1.1197079801587746,1.0
1128-1,21.834305613096106,21.834305613096106,21.834305613096106,1.0,10.077371821428972,10.077371821428972,10.077371821428972,1.0
1145-1,8.610554367420978,8.610554367420978,8.610554367420978,2.0,8.748542858946601,8.748542858946601,8.748542858946601,8.0
11911-1,12.076322357298125,12.076322357298125,12.076322357298125,1.0,9.99,10.0,9.995000000000001,2.0
11912-1,19.7246598502536,22.3829625233739,20.699207457875833,11.0,6.775,6.775,6.775,1.0
11914-1,4.012022649813488,24.21256536295334,14.112294006383415,13.0,24.01846335507071,24.01846335507071,24.01846335507071,1.0
11923-1,24.65,39.16738514595393,31.908692572976964,2.0,19.31496265773886,19.31496265773886,19.31496265773886,1.0
11951-1,3.247153142460446,3.7580898389491555,3.5026214907048008,4.0,3.354533988138368,3.354533988138368,3.354533988138368,1.0
11955-1,4.2359090049179065,5.689289643882672,4.833345361178472,81.0,7.725985063095545,7.725985063095545,7.725985063095545,1.0
11965-1,3.135182344444569,5.1928186136381935,4.368692506767407,32.0,4.025440785766041,4.025440785766041,4.025440785766041,1.0
1198-1,77.25985063095544,77.25985063095544,77.25985063095544,1.0,27.981502424167775,53.518682327648946,38.32648445285469,3.0
121801-1,5.067593906413236,9.321568934821798,6.561573030573158,82.0,6.709067976276736,6.709067976276736,6.709067976276736,1.0
122005-1,3.898149158779412,7.837955861111422,4.797271504580785,29.0,2.951989909561764,3.8912594262405067,3.4216246679011353,2.0
122401-1,2.8916479262095653,7.634919357002926,4.723193690482342,27.0,4.937912192500196,4.937912192500196,4.937912192500196,2.0
1253-1,25.652509825437527,25.652509825437527,25.652509825437527,1.0,8.397809851190809,8.397809851190809,8.397809851190809,1.0
1254-1,61.583938908732605,61.583938908732605,61.583938908732605,1.0,21.834305613096106,30.791969454366303,26.313137533731204,2.0
1256-1,95.3095432711149,95.3095432711149,95.3095432711149,1.0,25.19342955357243,36.95036334523956,29.065984391270757,5.0
1353-1,67.1712817297249,67.1712817297249,67.1712817297249,1.0,20.602626834921452,26.87299152381059,23.252602387963886,3.0
