Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"1086-1","Duplo","",2000,"Bulk Bucket",,48,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1177-1","Town","Special",2000,"Santa's Truck",1,27,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,47.0500,,"",""
"1196-1","Town","Telekom",2000,"Telekom Race Cyclist",1,7,,,,,5702012012303,,,,,,"",0,0,0,,0,0,,,,,,,,,23.5700,9.2100,"",""
"1197-1","Town","Telekom",2000,"Telekom Race Cyclist and Television Motorbike",3,26,,,,,5702012012310,,14.4,9.6,4.8,,"",0,0,0,,0,0,,,,,,,,,34.5600,23.4800,"16/06/2000","31/12/2000"
"1198-1","Town","Telekom",2000,"Telekom Race Cyclists and Service Crew",3,81,,,,,5702012012327,,24,14.4,4.8,,"",0,0,0,,0,0,,,,,,,,,57.3200,31.2400,"16/06/2000","31/12/2000"
"1199-1","Town","Telekom",2000,"Telekom Race Cyclists and Winners' Podium",8,129,,,,,5702012012334,,28.8,19.2,4.8,,"",0,0,0,,0,0,,,,,,,,,120.3800,73.4200,"16/06/2000","31/12/2000"
"1261-1","Duplo","Little Forest Friends",2000,"Tea With Bumble Bee",2,10,,5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,30.4900,5.8500,"",""
"1263-1","Seasonal","Easter",2000,"Easter Bunny",,27,,3,,,,,9.6,7.2,4.8,,"",0,0,0,,0,0,,,,,,,,,6.9900,2.5500,"01/01/2000","31/12/2002"
"1264-1","Seasonal","Easter",2000,"Easter Chicks",,26,,,,,,,9.6,7.2,4.8,,"",0,0,0,,0,0,,,,,,,,,9.1400,3.4000,"01/01/2000","31/12/2001"
"1272-1","Town","Race",2000,"Blue Racer",1,23,,3.95,,,,,9.6,9.6,3.9,,"",0,0,0,,0,0,,,,,,,,,9.5000,2.7300,"01/04/2000","31/12/2000"
